species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Gentoo,Biscoe,50.3,16.0,223.3,5214.4,FEMALE
Adelie,Biscoe,35.5,17.3,190.1,3357.3,FEMALE
Chinstrap,Dream,41.0,20.1,194.2,5376.0,MALE
Gentoo,Biscoe,47.2,15.7,228.8,5381.3,MALE
Chinstrap,Dream,51.1,19.0,193.3,3777.2,MALE
Gentoo,Biscoe,42.9,13.3,209.7,5048.8,FEMALE
Gentoo,Biscoe,50.6,16.3,229.0,6188.5,MALE
Adelie,Dream,38.5,17.6,192.2,3690.9,FEMALE
Gentoo,Dream,46.6,19.5,194.4,4258.1,MALE
Chinstrap,Dream,48.1,21.2,205.0,4376.8,MALE
Adelie,Torgersen,36.8,19.1,190.8,3599.4,FEMALE
Gentoo,Dream,52.8,16.2,224.2,5769.9,MALE
Adelie,Dream,35.7,17.8,191.0,3404.9,FEMALE
Adelie,Biscoe,42.2,16.4,185.1,3951.6,FEMALE
Adelie,Torgersen,35.4,17.9,185.5,3892.8,FEMALE
Chinstrap,Dream,49.1,19.1,193.3,4237.5,FEMALE
Chinstrap,Dream,49.3,18.4,200.9,3753.8,MALE
Adelie,Biscoe,39.5,19.6,193.5,4091.6,MALE
Adelie,Dream,38.3,18.1,188.4,4774.8,FEMALE
Adelie,Dream,36.1,18.9,189.4,3999.2,MALE
Gentoo,Biscoe,50.3,16.6,223.3,5604.4,MALE
Adelie,Biscoe,37.8,18.4,189.6,4810.6,MALE
Chinstrap,Dream,49.0,19.6,197.6,5111.2,MALE
Chinstrap,Dream,48.7,20.6,199.3,4214.4,MALE
Adelie,Biscoe,37.6,17.8,187.9,3544.0,FEMALE
Adelie,Dream,37.8,17.9,186.5,3608.1,FEMALE
Adelie,Biscoe,39.3,19.4,194.8,3437.4,MALE
Adelie,Dream,43.0,20.3,196.6,4011.0,MALE
Adelie,Biscoe,38.8,19.7,191.6,5222.3,FEMALE
Gentoo,Biscoe,48.6,15.1,223.6,5194.3,FEMALE
Adelie,Dream,38.5,18.9,189.9,3544.4,MALE
Gentoo,Dream,39.2,19.0,189.6,3676.5,FEMALE
Chinstrap,Dream,47.7,18.4,194.3,4193.1,MALE
Adelie,Dream,39.2,19.2,198.8,4164.4,MALE
Gentoo,Biscoe,49.1,21.3,231.0,6300.0,MALE
Adelie,Biscoe,37.2,17.9,187.2,3484.3,FEMALE
Gentoo,Biscoe,48.2,16.1,224.6,5494.8,MALE
Adelie,Dream,36.0,20.0,191.5,5195.7,FEMALE
Adelie,Torgersen,38.2,19.6,195.8,5077.8,MALE
Adelie,Dream,48.9,19.1,194.1,3734.5,MALE
Adelie,Dream,37.9,19.3,188.8,3603.9,FEMALE
Chinstrap,Biscoe,52.1,20.5,223.9,5445.6,MALE
Chinstrap,Dream,47.2,18.5,193.5,3692.0,FEMALE
Gentoo,Biscoe,52.2,16.7,227.6,6205.8,MALE
Adelie,Dream,37.5,18.2,194.4,3858.1,FEMALE
Chinstrap,Dream,37.4,18.2,190.3,3827.0,MALE
Gentoo,Biscoe,47.5,15.6,222.6,5191.3,MALE
Adelie,Dream,48.1,19.9,199.9,3801.8,FEMALE
Adelie,Biscoe,37.6,17.5,185.7,3172.8,FEMALE
Gentoo,Biscoe,49.0,15.4,221.4,5458.9,MALE
Gentoo,Biscoe,48.7,16.0,216.8,4878.1,MALE
Chinstrap,Dream,49.3,19.1,202.6,4001.5,FEMALE
Gentoo,Biscoe,45.4,14.5,215.4,4951.1,FEMALE
Gentoo,Biscoe,50.5,15.9,223.9,6205.2,FEMALE
Gentoo,Biscoe,48.5,15.2,220.8,5585.1,FEMALE
Gentoo,Biscoe,45.5,14.1,208.6,4609.3,FEMALE
Gentoo,Biscoe,47.5,14.9,215.8,5491.3,FEMALE
Gentoo,Biscoe,44.2,15.1,223.9,5564.8,FEMALE
Adelie,Dream,38.3,16.1,183.8,3163.2,FEMALE
Gentoo,Biscoe,47.9,15.3,222.4,5398.9,FEMALE
Adelie,Biscoe,35.8,17.0,192.3,3123.5,FEMALE
Chinstrap,Dream,39.9,17.2,192.2,3889.7,FEMALE
Adelie,Dream,34.8,15.9,191.0,3190.5,FEMALE
Adelie,Biscoe,38.3,19.0,184.7,3881.0,FEMALE
Gentoo,Biscoe,41.1,14.6,215.2,5540.2,FEMALE
Chinstrap,Biscoe,38.0,16.3,186.8,3622.0,FEMALE
Chinstrap,Dream,48.8,18.5,195.4,4128.7,FEMALE
Gentoo,Biscoe,49.9,15.5,219.6,4997.0,MALE
Gentoo,Biscoe,46.4,15.4,224.2,5715.1,FEMALE
Chinstrap,Dream,53.5,19.9,200.8,5399.6,MALE
Adelie,Torgersen,37.2,20.6,187.9,4280.2,MALE
Adelie,Torgersen,39.6,20.1,219.9,3764.0,MALE
Gentoo,Biscoe,47.9,15.0,220.8,5297.3,FEMALE
Adelie,Dream,38.1,17.6,188.2,3370.7,FEMALE
Adelie,Dream,37.2,19.1,188.0,3876.8,MALE
Gentoo,Biscoe,53.9,17.0,230.0,5652.9,MALE
Gentoo,Biscoe,49.3,15.3,216.5,5445.7,FEMALE
Chinstrap,Dream,50.3,20.4,191.9,4008.9,FEMALE
Adelie,Dream,36.9,18.2,185.3,3886.7,MALE
Chinstrap,Dream,50.9,20.5,205.1,4042.9,MALE
Chinstrap,Torgersen,39.7,18.5,215.9,3659.4,FEMALE
Gentoo,Biscoe,53.2,16.5,224.5,5676.0,MALE
Gentoo,Biscoe,46.1,15.1,214.1,5226.9,FEMALE
Chinstrap,Biscoe,49.1,19.6,212.3,5624.2,MALE
Gentoo,Biscoe,43.1,14.2,219.8,4559.4,FEMALE
Adelie,Torgersen,35.2,19.6,195.8,4270.8,MALE
Adelie,Biscoe,35.8,18.3,190.1,3478.4,FEMALE
Chinstrap,Dream,49.2,19.8,200.6,3614.5,MALE
Chinstrap,Dream,47.4,19.2,200.1,3968.5,MALE
Adelie,Biscoe,39.3,17.2,189.7,2990.9,FEMALE
Gentoo,Biscoe,48.6,16.1,226.7,5611.2,FEMALE
Gentoo,Biscoe,48.6,15.8,225.8,5843.6,MALE
Adelie,Biscoe,36.5,18.9,182.7,3558.3,FEMALE
Adelie,Dream,37.1,19.4,194.1,3494.9,FEMALE
Chinstrap,Dream,45.5,16.5,195.6,3852.7,FEMALE
Adelie,Torgersen,36.7,19.6,192.6,3532.0,FEMALE
Adelie,Torgersen,38.2,18.7,189.4,3522.5,FEMALE
Adelie,Torgersen,39.2,19.2,195.4,4754.2,MALE
Adelie,Biscoe,39.5,19.5,192.9,5467.8,MALE
Adelie,Torgersen,45.1,14.0,213.3,3348.3,FEMALE
Chinstrap,Dream,48.2,18.5,195.8,3970.1,MALE
Gentoo,Biscoe,49.3,15.4,217.5,5375.0,FEMALE
Adelie,Torgersen,39.4,18.6,186.1,3494.0,FEMALE
Gentoo,Biscoe,48.2,16.2,225.3,5830.7,MALE
Adelie,Dream,38.5,19.5,184.9,5082.9,MALE
Adelie,Biscoe,38.0,17.5,191.7,3561.7,FEMALE
Adelie,Biscoe,39.5,19.8,193.8,3616.3,FEMALE
Adelie,Biscoe,36.3,18.4,192.2,3782.5,MALE
Adelie,Dream,39.4,18.9,190.7,4062.6,MALE
Adelie,Dream,39.2,19.8,185.9,3963.5,MALE
Adelie,Dream,39.4,18.6,191.1,4088.9,FEMALE
Adelie,Biscoe,38.0,17.1,184.7,3387.0,FEMALE
Gentoo,Biscoe,50.1,15.1,221.4,5539.3,FEMALE
Gentoo,Biscoe,52.1,15.9,223.8,5772.1,FEMALE
Adelie,Biscoe,46.0,14.9,214.4,5089.5,FEMALE
Chinstrap,Dream,47.5,19.2,191.8,3683.5,MALE
Adelie,Biscoe,38.2,18.0,190.9,3632.2,FEMALE
Chinstrap,Dream,39.0,17.2,201.1,3200.0,FEMALE
Chinstrap,Dream,44.8,18.6,196.2,3597.9,FEMALE
Adelie,Dream,41.6,21.3,200.6,4116.2,MALE
Gentoo,Biscoe,50.6,16.3,230.0,5664.4,MALE
Adelie,Torgersen,37.8,17.7,190.5,3688.5,FEMALE
Gentoo,Biscoe,47.7,15.1,220.8,5202.3,FEMALE
Adelie,Biscoe,38.0,18.8,188.8,3543.5,MALE
Adelie,Biscoe,37.0,16.3,181.3,2937.6,FEMALE
Adelie,Biscoe,44.0,18.0,190.9,3269.1,FEMALE
Adelie,Torgersen,40.8,21.1,195.8,4333.3,MALE
Adelie,Biscoe,37.2,18.8,191.7,3443.2,FEMALE
Gentoo,Biscoe,48.7,15.6,219.6,5193.8,MALE
Chinstrap,Dream,49.5,20.8,213.3,3940.3,MALE
Gentoo,Biscoe,47.5,14.7,211.7,4780.5,FEMALE
Gentoo,Biscoe,50.4,15.9,222.5,5668.5,FEMALE
Chinstrap,Dream,47.6,18.2,195.0,3749.3,FEMALE
Adelie,Biscoe,51.8,19.1,225.8,4942.7,MALE
Gentoo,Biscoe,48.5,15.6,221.7,5374.2,MALE
Adelie,Dream,37.5,18.2,192.2,3444.3,FEMALE
Adelie,Torgersen,37.3,18.8,193.2,3853.4,FEMALE
Adelie,Torgersen,37.2,21.1,188.9,5526.6,MALE
Gentoo,Biscoe,50.5,16.2,225.1,5659.9,MALE
Adelie,Dream,36.2,19.0,189.6,3329.9,MALE
Adelie,Torgersen,39.0,19.4,190.6,3713.7,MALE
Chinstrap,Dream,45.6,17.4,194.6,3475.2,FEMALE
Gentoo,Biscoe,48.3,14.6,213.2,5285.7,FEMALE
Gentoo,Biscoe,51.8,16.3,222.3,5677.0,MALE
Adelie,Torgersen,36.1,19.4,184.1,3468.5,FEMALE
Adelie,Biscoe,36.4,18.8,185.8,3614.0,MALE
Gentoo,Biscoe,51.3,16.3,229.1,5911.0,FEMALE
Adelie,Dream,37.4,18.8,190.9,3784.4,MALE
Gentoo,Biscoe,44.2,14.9,223.6,5059.9,FEMALE
Adelie,Biscoe,35.6,17.8,188.1,3497.8,FEMALE
Adelie,Biscoe,37.3,18.9,191.4,3775.9,FEMALE
Adelie,Biscoe,48.5,16.2,222.8,5271.8,MALE
Gentoo,Biscoe,48.4,15.3,221.6,5645.3,MALE
Adelie,Biscoe,37.7,20.4,187.6,3741.1,MALE
Chinstrap,Dream,48.8,20.1,197.1,4051.0,FEMALE
Adelie,Dream,37.3,19.0,196.1,3877.7,FEMALE
Chinstrap,Dream,50.9,20.4,202.8,4081.3,MALE
Gentoo,Biscoe,50.8,16.5,224.2,6300.0,FEMALE
Adelie,Torgersen,38.4,19.9,191.5,4485.6,FEMALE
Gentoo,Biscoe,47.4,16.3,225.1,5627.3,MALE
Gentoo,Biscoe,50.0,20.7,223.8,5673.6,MALE
Gentoo,Biscoe,47.8,15.7,225.8,5314.9,FEMALE
Adelie,Torgersen,38.8,18.0,193.3,3517.8,FEMALE
Gentoo,Biscoe,47.7,19.4,213.7,5037.2,FEMALE
Adelie,Biscoe,36.8,15.2,192.8,3666.8,FEMALE
Adelie,Dream,38.0,20.3,194.6,3990.8,MALE
Adelie,Dream,48.5,18.7,195.8,3813.5,MALE
Chinstrap,Dream,49.8,19.9,205.7,4181.0,FEMALE
Gentoo,Biscoe,51.7,15.6,226.8,5877.1,MALE
Gentoo,Biscoe,54.0,17.4,231.0,6300.0,MALE
Chinstrap,Biscoe,37.3,17.2,193.0,3843.7,FEMALE
Gentoo,Biscoe,49.8,16.1,225.5,5762.8,MALE
Adelie,Biscoe,37.7,19.3,190.3,4950.7,MALE
Adelie,Biscoe,39.2,19.6,191.5,3499.4,FEMALE
Gentoo,Biscoe,45.5,14.7,220.1,4647.9,FEMALE
Adelie,Biscoe,35.2,18.2,188.5,3262.1,FEMALE
Gentoo,Biscoe,44.1,15.1,223.0,4817.6,FEMALE
Gentoo,Biscoe,45.9,15.1,222.8,4854.8,FEMALE
Adelie,Dream,41.4,21.5,203.3,4501.5,MALE
Gentoo,Biscoe,46.9,15.3,220.2,5468.6,MALE
Gentoo,Biscoe,47.5,19.6,213.2,5447.3,MALE
Gentoo,Biscoe,50.9,16.6,228.0,6300.0,MALE
Chinstrap,Biscoe,46.1,18.5,218.5,3822.5,FEMALE
Adelie,Torgersen,39.0,18.0,192.2,3416.0,FEMALE
Adelie,Dream,36.3,17.7,187.2,3679.7,FEMALE
Adelie,Dream,36.3,19.8,190.4,3829.3,MALE
Adelie,Dream,34.3,17.5,195.6,3517.5,FEMALE
Gentoo,Biscoe,50.6,15.6,229.6,5244.2,FEMALE
Adelie,Biscoe,37.3,18.6,188.6,3787.6,FEMALE
Adelie,Dream,35.6,19.6,198.5,3837.8,FEMALE
Adelie,Torgersen,38.2,17.9,189.3,3524.4,FEMALE
Chinstrap,Dream,54.5,20.4,206.7,5317.6,MALE
Adelie,Dream,37.4,17.1,189.3,3341.9,FEMALE
Adelie,Biscoe,38.1,19.7,194.8,4080.4,MALE
Adelie,Biscoe,49.6,15.2,218.9,5138.8,FEMALE
Gentoo,Biscoe,46.6,15.3,218.4,4807.2,MALE
Chinstrap,Dream,48.9,20.2,201.5,3933.5,FEMALE
Chinstrap,Dream,38.2,18.0,192.6,3874.9,MALE
Gentoo,Biscoe,47.7,14.8,218.3,5187.9,MALE
Adelie,Biscoe,39.0,19.1,197.1,5078.6,MALE
Gentoo,Biscoe,47.7,18.9,222.2,5013.9,MALE
Chinstrap,Biscoe,50.7,16.4,225.7,5798.3,FEMALE
Adelie,Torgersen,34.8,20.5,189.2,3926.2,MALE
Gentoo,Biscoe,42.5,14.9,219.4,5069.3,FEMALE
Gentoo,Biscoe,46.0,15.3,212.4,5245.6,FEMALE
Gentoo,Biscoe,36.3,16.6,210.8,3272.4,FEMALE
Gentoo,Biscoe,46.4,15.0,197.8,5093.4,FEMALE
Adelie,Biscoe,39.9,19.8,192.8,5926.3,MALE
Adelie,Biscoe,35.4,17.5,182.0,3332.2,FEMALE
Gentoo,Biscoe,45.5,15.4,215.5,5098.9,FEMALE
Gentoo,Biscoe,46.7,15.1,209.3,4948.5,MALE
Gentoo,Biscoe,44.9,15.1,215.4,5313.3,MALE
Adelie,Biscoe,39.6,14.3,192.8,3435.8,FEMALE
Adelie,Biscoe,37.5,19.7,191.0,3824.5,MALE
Gentoo,Biscoe,43.4,14.6,208.8,4937.8,FEMALE
Adelie,Biscoe,40.1,19.8,196.5,3899.9,FEMALE
Adelie,Biscoe,54.6,21.5,231.0,6064.5,MALE
Chinstrap,Dream,48.1,18.3,218.8,3727.7,MALE
Chinstrap,Dream,46.3,19.3,198.1,4130.6,FEMALE
Chinstrap,Dream,44.0,19.2,201.7,3864.6,MALE
Gentoo,Biscoe,43.3,14.6,214.4,4774.7,FEMALE
Gentoo,Biscoe,51.4,16.7,230.8,5980.0,MALE
Adelie,Dream,39.1,19.4,195.5,3704.7,MALE
Gentoo,Biscoe,47.0,15.3,212.6,5243.7,FEMALE
Gentoo,Biscoe,45.7,14.8,220.7,5133.1,FEMALE
Adelie,Dream,35.6,18.9,195.5,3477.8,FEMALE
Gentoo,Biscoe,53.5,16.4,226.6,5945.5,MALE
Adelie,Torgersen,37.7,18.9,196.9,4355.5,MALE
Adelie,Dream,37.3,18.1,190.1,3681.1,FEMALE
Chinstrap,Dream,40.1,16.9,191.7,3470.5,FEMALE
Adelie,Biscoe,41.1,20.5,197.9,5501.8,FEMALE
Gentoo,Biscoe,51.8,16.5,229.3,5923.4,FEMALE
Chinstrap,Dream,49.0,19.5,205.2,3880.2,MALE
Gentoo,Biscoe,50.3,15.6,220.6,5415.5,MALE
Adelie,Biscoe,44.1,16.0,187.7,3690.9,FEMALE
Adelie,Dream,36.5,19.9,193.9,3654.3,FEMALE
Gentoo,Biscoe,48.8,16.4,222.9,5996.6,FEMALE
Adelie,Dream,36.7,18.9,217.0,3849.6,MALE
Adelie,Biscoe,37.0,18.7,194.1,5128.5,FEMALE
Gentoo,Biscoe,44.9,14.2,210.4,5076.1,FEMALE
Chinstrap,Dream,48.6,18.9,193.4,3661.8,FEMALE
Adelie,Dream,46.3,18.9,190.2,3956.3,MALE
Gentoo,Biscoe,45.6,14.6,212.6,5431.3,FEMALE
Chinstrap,Dream,47.7,20.2,199.3,4213.5,MALE
Chinstrap,Dream,54.0,21.3,197.5,5546.8,MALE
Adelie,Biscoe,37.9,19.7,187.8,3825.8,FEMALE
Adelie,Dream,42.9,17.3,214.9,3584.6,FEMALE
Chinstrap,Torgersen,40.9,19.2,189.7,4001.6,MALE
Chinstrap,Dream,54.7,21.2,207.7,4624.2,MALE
Gentoo,Biscoe,46.9,14.7,216.1,5313.7,FEMALE
Chinstrap,Dream,46.1,14.9,214.2,5477.4,MALE
Adelie,Torgersen,38.1,19.9,196.1,3803.7,MALE
Chinstrap,Torgersen,39.4,18.3,190.2,3676.7,FEMALE
Adelie,Torgersen,37.9,20.1,194.1,5646.4,MALE
Gentoo,Biscoe,50.6,20.7,226.6,4452.0,MALE
Adelie,Biscoe,36.3,19.2,199.7,4092.2,MALE
Adelie,Dream,34.4,17.4,192.9,3373.0,FEMALE
Gentoo,Biscoe,48.6,15.9,220.5,5694.1,FEMALE
Chinstrap,Biscoe,43.1,17.3,190.6,3483.9,FEMALE
Gentoo,Biscoe,51.1,16.7,231.0,6008.3,MALE
Adelie,Biscoe,36.6,20.0,189.8,3826.9,MALE
Gentoo,Biscoe,51.5,16.3,231.0,6095.7,MALE
Chinstrap,Dream,47.9,19.3,192.7,3972.6,MALE
Gentoo,Biscoe,37.5,15.9,214.0,5692.8,MALE
Adelie,Dream,47.1,19.6,196.2,3915.3,FEMALE
Adelie,Dream,37.9,17.0,188.0,3384.8,FEMALE
Gentoo,Biscoe,50.8,15.8,228.8,5555.8,FEMALE
Adelie,Biscoe,37.8,19.6,192.2,3388.4,MALE
Gentoo,Biscoe,53.1,16.9,231.0,6277.3,MALE
Adelie,Biscoe,34.7,19.0,195.5,4028.9,MALE
Adelie,Biscoe,35.5,21.0,193.1,3908.5,MALE
Adelie,Torgersen,37.9,18.7,190.4,3873.9,MALE
Adelie,Dream,39.1,20.7,192.1,4282.4,MALE
Adelie,Biscoe,35.9,18.7,190.5,2946.7,FEMALE
Adelie,Dream,46.2,20.2,189.1,4233.2,MALE
Gentoo,Biscoe,44.9,15.2,219.5,5216.5,FEMALE
Gentoo,Biscoe,47.4,15.1,215.2,4633.9,FEMALE
Chinstrap,Dream,49.8,18.9,201.0,4262.2,FEMALE
Adelie,Biscoe,38.8,20.2,192.5,3685.4,MALE
Chinstrap,Dream,50.1,19.5,199.8,3941.9,MALE
Gentoo,Biscoe,50.5,16.4,226.6,6126.8,MALE
Gentoo,Dream,48.9,15.6,228.8,5379.0,FEMALE
Adelie,Biscoe,36.5,18.0,194.8,3428.0,FEMALE
Adelie,Dream,36.9,15.7,181.9,2777.3,FEMALE
Adelie,Biscoe,38.4,21.0,199.4,4486.7,MALE
Adelie,Dream,35.1,17.5,187.8,3514.8,FEMALE
Adelie,Dream,34.5,18.5,187.2,3650.7,FEMALE
Gentoo,Biscoe,49.4,15.5,223.9,5522.0,MALE
Gentoo,Biscoe,50.0,15.8,218.4,5867.6,MALE
Adelie,Dream,40.2,17.7,186.3,3593.5,FEMALE
Gentoo,Biscoe,45.2,15.5,222.9,5862.1,MALE
Adelie,Dream,37.5,19.3,185.1,3789.8,MALE
Adelie,Biscoe,36.2,19.0,188.4,3629.6,MALE
Chinstrap,Biscoe,47.3,15.5,220.8,5050.2,FEMALE
Adelie,Biscoe,38.3,19.2,197.8,3741.4,MALE
Adelie,Torgersen,36.1,18.9,189.2,3504.0,FEMALE
Gentoo,Biscoe,46.6,15.3,215.2,5218.5,FEMALE
Adelie,Biscoe,38.0,17.7,189.1,3410.7,FEMALE
Adelie,Biscoe,38.2,18.8,191.4,3663.9,MALE
Chinstrap,Biscoe,46.4,19.3,218.2,3942.1,MALE
Chinstrap,Biscoe,47.4,20.4,225.1,5558.9,MALE
Gentoo,Biscoe,48.7,16.6,224.0,5398.9,MALE
Adelie,Dream,36.6,20.6,188.8,3992.7,MALE
Adelie,Torgersen,37.5,19.3,186.0,3505.4,FEMALE
Chinstrap,Biscoe,44.7,16.9,181.1,3528.6,FEMALE
Gentoo,Biscoe,51.3,16.6,227.7,5689.4,MALE
Adelie,Biscoe,35.2,18.8,186.4,3713.1,FEMALE
Gentoo,Biscoe,46.9,15.5,222.4,5562.5,FEMALE
Gentoo,Biscoe,49.2,15.7,224.8,5473.0,MALE
Chinstrap,Dream,49.7,20.6,198.4,4181.2,MALE
Gentoo,Biscoe,52.6,16.9,231.0,6300.0,FEMALE
Gentoo,Biscoe,47.7,15.2,222.1,5252.7,MALE
Gentoo,Biscoe,44.3,15.4,215.4,5738.5,FEMALE
Chinstrap,Dream,36.5,18.2,192.3,3917.4,FEMALE
Chinstrap,Biscoe,44.3,18.0,192.2,3646.8,FEMALE
Adelie,Torgersen,37.5,18.9,193.1,3055.6,FEMALE
Adelie,Biscoe,37.3,17.8,185.7,3151.3,FEMALE
Adelie,Biscoe,35.8,19.3,188.3,3325.3,FEMALE
Adelie,Dream,37.2,18.1,191.3,3696.1,FEMALE
Chinstrap,Dream,46.6,19.6,198.6,4063.2,MALE
Adelie,Torgersen,49.9,19.9,199.5,3791.8,FEMALE
Adelie,Torgersen,40.4,19.8,194.0,4985.0,MALE
Chinstrap,Dream,51.6,20.9,205.6,4114.3,MALE
Adelie,Biscoe,36.6,19.9,186.7,3998.6,MALE
Adelie,Biscoe,36.5,17.9,192.6,3493.0,FEMALE
Adelie,Torgersen,36.2,19.9,184.4,3969.7,FEMALE
Adelie,Biscoe,35.1,19.5,185.7,3551.5,MALE
Adelie,Biscoe,46.7,19.9,217.5,5721.7,MALE
Adelie,Dream,37.2,16.8,183.3,3503.8,FEMALE
Adelie,Dream,39.2,17.8,198.1,3418.1,FEMALE
Adelie,Biscoe,39.8,17.3,188.8,4253.2,FEMALE
Adelie,Torgersen,33.7,17.1,188.9,3229.5,FEMALE
Gentoo,Biscoe,49.0,15.5,222.7,5469.6,FEMALE
Adelie,Biscoe,35.5,20.0,180.3,3521.0,MALE
Adelie,Biscoe,34.1,14.8,192.4,3543.5,FEMALE
Adelie,Dream,43.9,20.5,209.0,4560.2,MALE
Chinstrap,Dream,36.6,18.1,188.9,3532.9,FEMALE
Gentoo,Biscoe,49.1,15.2,231.0,5445.9,MALE
Adelie,Dream,37.4,20.3,190.9,4069.6,MALE
Adelie,Biscoe,36.7,19.8,188.7,3792.9,MALE
Adelie,Biscoe,38.3,18.7,211.0,3699.4,MALE
Adelie,Torgersen,34.6,18.8,187.6,3884.6,FEMALE
Gentoo,Biscoe,43.2,15.4,227.8,5613.1,FEMALE
Adelie,Dream,35.5,18.5,192.2,3776.9,FEMALE
Chinstrap,Dream,51.4,19.8,194.7,4079.6,MALE
Chinstrap,Torgersen,42.7,18.7,197.7,4287.3,FEMALE
Chinstrap,Dream,48.7,18.9,191.1,3907.6,MALE
Adelie,Biscoe,35.2,19.8,187.1,3812.2,MALE
Gentoo,Biscoe,45.7,19.2,220.4,5374.7,MALE
Adelie,Dream,51.6,20.1,229.3,4009.5,MALE
Adelie,Torgersen,34.9,18.0,190.5,3644.3,FEMALE
Chinstrap,Dream,42.9,17.6,196.3,3897.6,FEMALE
Gentoo,Biscoe,52.0,16.8,218.3,5649.3,MALE
Gentoo,Biscoe,50.7,17.8,231.0,6300.0,MALE
Adelie,Biscoe,37.9,19.8,198.6,3677.7,FEMALE
Adelie,Torgersen,36.9,20.8,193.3,3953.6,MALE
Gentoo,Biscoe,45.0,15.4,224.5,5619.6,FEMALE
Adelie,Biscoe,39.8,20.4,217.3,6150.3,MALE
Chinstrap,Biscoe,35.6,18.7,187.5,3929.9,MALE
Adelie,Torgersen,36.7,18.5,191.4,3935.9,FEMALE
Gentoo,Biscoe,41.1,15.3,225.7,5971.7,FEMALE
Adelie,Dream,37.8,19.9,195.2,3905.9,MALE
Gentoo,Biscoe,44.8,15.7,192.7,5755.1,MALE
Adelie,Biscoe,33.9,18.3,187.9,3178.0,FEMALE
Gentoo,Biscoe,43.1,15.4,221.4,5445.0,FEMALE
Chinstrap,Dream,49.6,19.3,196.8,4151.0,FEMALE
Gentoo,Biscoe,35.5,13.8,215.1,4800.3,FEMALE
Gentoo,Biscoe,49.0,15.6,222.0,6035.4,FEMALE
Adelie,Dream,36.3,19.4,196.4,4346.4,MALE
Chinstrap,Dream,49.6,20.9,204.1,4493.2,MALE
Adelie,Torgersen,35.8,18.7,193.4,3094.0,MALE
