species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Dream,36.3,16.6,192.4,4322.3,FEMALE
Adelie,Torgersen,38.8,17.6,191.0,3275.0,FEMALE
Adelie,Torgersen,38.0,19.7,199.2,5942.0,MALE
Adelie,Dream,35.7,19.9,195.7,4073.0,MALE
Gentoo,Biscoe,43.7,15.3,231.0,6292.5,MALE
Gentoo,Biscoe,45.8,13.7,218.0,6056.8,MALE
Adelie,Torgersen,41.0,19.3,198.2,4324.0,MALE
Adelie,Biscoe,36.6,15.5,194.3,3969.3,FEMALE
Adelie,Biscoe,35.3,19.1,230.2,3900.4,FEMALE
Adelie,Torgersen,37.8,19.1,209.1,4034.0,MALE
Adelie,Dream,40.2,17.1,193.0,3400.0,FEMALE
Adelie,Dream,45.7,20.9,199.5,3975.3,MALE
Adelie,Biscoe,36.3,19.4,199.6,3814.4,MALE
Gentoo,Biscoe,45.9,15.1,222.8,4854.8,FEMALE
Adelie,Torgersen,35.9,16.6,190.0,3050.0,FEMALE
Chinstrap,Dream,46.4,18.9,196.9,3667.7,FEMALE
Chinstrap,Dream,52.2,17.2,229.2,6205.1,MALE
Chinstrap,Dream,46.6,20.5,212.7,4409.7,MALE
Adelie,Torgersen,46.2,19.1,215.8,5373.9,FEMALE
Adelie,Torgersen,39.0,17.1,191.0,3050.0,FEMALE
Adelie,Biscoe,36.0,19.2,219.0,4131.0,MALE
Adelie,Torgersen,37.9,19.6,202.1,4286.0,FEMALE
Adelie,Biscoe,36.8,18.6,195.5,3713.4,FEMALE
Gentoo,Biscoe,38.4,19.9,231.0,6290.3,FEMALE
Gentoo,Biscoe,50.3,15.6,220.6,5415.5,MALE
Adelie,Biscoe,37.2,16.5,202.3,4480.1,FEMALE
Gentoo,Biscoe,47.2,16.1,223.9,6300.0,MALE
Adelie,Biscoe,34.9,14.9,187.1,3767.1,FEMALE
Chinstrap,Biscoe,46.4,19.4,230.1,4419.2,MALE
Chinstrap,Biscoe,54.6,18.7,200.0,3968.0,MALE
Adelie,Dream,37.9,18.8,197.7,3923.4,FEMALE
Gentoo,Biscoe,47.3,16.2,230.5,6251.4,FEMALE
Chinstrap,Dream,48.2,19.4,220.4,4221.6,FEMALE
Adelie,Torgersen,44.6,15.7,186.6,3986.3,MALE
Adelie,Biscoe,38.0,18.4,192.3,3856.1,FEMALE
Chinstrap,Torgersen,45.4,20.1,200.3,4188.7,MALE
Adelie,Torgersen,38.3,18.2,198.4,3916.2,FEMALE
Gentoo,Biscoe,53.1,16.9,231.0,6277.3,MALE
Gentoo,Biscoe,50.7,16.2,231.0,6135.7,MALE
Adelie,Dream,36.1,16.8,195.8,3335.3,FEMALE
Gentoo,Biscoe,46.4,19.9,226.5,5939.9,MALE
Chinstrap,Dream,47.4,18.8,217.0,3578.1,FEMALE
Chinstrap,Dream,45.3,20.4,196.6,4598.8,MALE
Adelie,Dream,38.6,19.5,190.6,4861.6,FEMALE
Gentoo,Biscoe,53.4,15.8,219.0,5500.0,MALE
Gentoo,Biscoe,46.2,14.9,221.0,5300.0,MALE
Chinstrap,Dream,51.2,20.2,197.9,4206.0,MALE
Gentoo,Biscoe,45.2,15.0,221.3,5431.9,MALE
Chinstrap,Dream,44.8,20.8,202.3,4461.4,FEMALE
Gentoo,Biscoe,49.5,16.7,228.7,5897.6,MALE
Adelie,Biscoe,36.6,20.5,202.4,4386.9,MALE
Adelie,Biscoe,37.8,20.4,195.7,3998.9,MALE
Adelie,Dream,51.6,19.2,190.2,5866.9,MALE
Gentoo,Biscoe,50.0,15.9,224.0,5350.0,MALE
Adelie,Biscoe,37.3,19.7,196.4,5485.7,MALE
Chinstrap,Dream,48.3,19.6,195.6,4089.8,MALE
Gentoo,Biscoe,43.4,14.4,218.0,4600.0,FEMALE
Adelie,Torgersen,35.5,17.5,190.0,3700.0,FEMALE
Adelie,Torgersen,35.6,19.9,200.4,4435.7,MALE
Adelie,Torgersen,36.1,18.4,195.1,4142.5,MALE
Gentoo,Biscoe,47.5,16.6,231.0,5914.8,MALE
Chinstrap,Dream,52.7,19.8,197.0,3725.0,MALE
Adelie,Torgersen,37.2,20.6,196.3,5436.3,MALE
Adelie,Dream,45.5,19.4,196.0,3995.4,MALE
Adelie,Biscoe,36.7,19.0,200.5,3957.6,FEMALE
Gentoo,Biscoe,48.7,16.4,230.1,6200.0,MALE
Chinstrap,Biscoe,35.3,18.8,197.7,3912.9,FEMALE
Gentoo,Biscoe,46.9,17.0,231.0,6300.0,FEMALE
Chinstrap,Dream,47.2,18.5,193.5,3692.0,FEMALE
Gentoo,Biscoe,46.2,15.7,221.0,5631.9,MALE
Chinstrap,Dream,44.8,19.5,199.0,5534.7,FEMALE
Chinstrap,Dream,55.9,21.1,210.7,4801.0,MALE
Chinstrap,Dream,46.8,17.7,198.7,3641.5,FEMALE
Adelie,Dream,37.5,18.2,194.4,3858.1,FEMALE
Adelie,Dream,36.2,18.6,193.9,3850.9,FEMALE
Adelie,Torgersen,35.3,19.7,198.6,4559.0,MALE
Chinstrap,Dream,45.7,19.4,196.2,3530.2,FEMALE
Gentoo,Biscoe,37.8,14.6,211.8,3614.4,FEMALE
Adelie,Dream,37.1,18.8,192.2,3925.9,MALE
Adelie,Biscoe,37.0,19.8,186.5,5104.2,MALE
Chinstrap,Dream,47.5,19.7,215.0,4073.4,MALE
Chinstrap,Dream,52.8,20.0,205.0,4550.0,MALE
Gentoo,Biscoe,42.4,15.1,222.8,5572.7,FEMALE
Gentoo,Biscoe,46.5,16.0,227.7,5921.3,FEMALE
Adelie,Biscoe,35.9,19.8,202.3,4516.4,MALE
Adelie,Biscoe,40.1,18.9,188.0,4300.0,MALE
Adelie,Biscoe,36.2,19.3,192.1,3325.3,FEMALE
Gentoo,Biscoe,46.3,15.9,231.0,6300.0,FEMALE
Gentoo,Biscoe,48.2,16.1,229.3,5417.5,MALE
Chinstrap,Biscoe,37.9,19.7,197.0,3996.5,MALE
Adelie,Dream,37.7,18.9,190.1,3712.8,FEMALE
Adelie,Dream,38.1,19.0,194.3,3992.2,MALE
Adelie,Biscoe,48.5,15.2,223.0,3936.7,FEMALE
Gentoo,Biscoe,46.4,15.6,221.0,5000.0,MALE
Adelie,Dream,46.3,17.5,185.2,3403.6,FEMALE
Gentoo,Dream,40.8,17.4,229.4,5951.2,FEMALE
Gentoo,Biscoe,45.5,16.3,229.9,6222.3,MALE
Chinstrap,Dream,36.7,19.2,211.3,4022.2,FEMALE
Adelie,Biscoe,35.7,19.1,198.8,4114.6,FEMALE
Adelie,Torgersen,36.2,17.9,192.7,3693.7,FEMALE
Adelie,Biscoe,36.7,19.3,186.8,3699.1,FEMALE
Chinstrap,Dream,47.6,21.5,204.5,4481.7,MALE
Gentoo,Biscoe,41.6,13.7,215.5,5612.4,FEMALE
Adelie,Biscoe,46.3,20.2,202.0,4260.4,MALE
Gentoo,Biscoe,46.2,14.4,220.3,5561.6,FEMALE
Chinstrap,Dream,41.8,20.3,198.1,4472.2,FEMALE
Adelie,Biscoe,36.0,19.7,188.0,2850.0,FEMALE
Adelie,Biscoe,35.9,17.8,191.1,3639.0,FEMALE
Chinstrap,Dream,49.4,19.2,204.8,4222.5,MALE
Gentoo,Biscoe,50.5,15.9,222.0,5550.0,MALE
Gentoo,Biscoe,38.2,19.8,198.1,4077.5,MALE
Gentoo,Biscoe,44.5,16.0,213.8,5719.0,MALE
Adelie,Biscoe,39.7,18.9,184.0,3550.0,MALE
Chinstrap,Dream,46.0,19.1,204.7,6166.1,FEMALE
Gentoo,Biscoe,39.1,15.8,230.2,5727.9,FEMALE
Adelie,Dream,42.4,19.8,197.0,4311.8,MALE
Chinstrap,Dream,47.7,20.8,205.1,4374.9,MALE
Adelie,Biscoe,44.3,19.9,198.3,5941.6,MALE
Chinstrap,Dream,48.3,18.9,202.3,4250.4,FEMALE
Adelie,Dream,37.3,18.7,200.8,4360.5,MALE
Chinstrap,Dream,47.7,18.4,194.3,4193.1,MALE
Adelie,Biscoe,46.2,16.9,213.5,5982.6,MALE
Adelie,Dream,35.5,19.6,189.8,4570.0,MALE
Gentoo,Biscoe,48.0,15.7,231.0,6209.5,MALE
Gentoo,Biscoe,46.6,15.1,223.2,5577.8,MALE
Adelie,Biscoe,34.1,17.3,186.8,3485.1,MALE
Adelie,Torgersen,45.3,18.7,217.1,4981.7,FEMALE
Adelie,Biscoe,38.8,17.2,180.0,3800.0,MALE
Chinstrap,Dream,47.7,20.6,205.0,4362.3,MALE
Adelie,Biscoe,34.1,14.8,192.4,3543.5,FEMALE
Gentoo,Biscoe,47.6,14.5,215.0,5400.0,MALE
Adelie,Biscoe,47.1,19.6,189.5,4873.0,FEMALE
Adelie,Biscoe,35.4,15.3,197.5,4212.6,FEMALE
Adelie,Torgersen,37.0,18.7,198.9,4293.0,MALE
Adelie,Biscoe,38.5,18.6,199.7,4289.6,MALE
Adelie,Biscoe,37.5,19.7,199.3,4365.3,MALE
Adelie,Dream,48.3,20.1,217.3,4563.8,MALE
Adelie,Dream,37.1,15.8,185.3,3374.3,FEMALE
Chinstrap,Dream,47.1,20.8,206.0,4318.0,MALE
Gentoo,Biscoe,47.1,16.0,220.3,5270.4,FEMALE
Gentoo,Biscoe,46.7,14.0,221.7,5447.3,FEMALE
Gentoo,Biscoe,47.9,16.9,231.0,5758.5,MALE
Adelie,Dream,50.5,20.5,228.6,4425.7,MALE
Adelie,Torgersen,39.0,18.0,192.2,3416.0,FEMALE
Adelie,Dream,35.9,19.1,204.6,4114.0,FEMALE
Chinstrap,Dream,48.5,19.2,208.8,4398.3,FEMALE
Adelie,Biscoe,39.0,18.5,195.4,3788.8,FEMALE
Gentoo,Biscoe,46.0,14.8,223.0,5593.2,FEMALE
Chinstrap,Dream,43.0,19.6,196.0,4122.9,FEMALE
Adelie,Biscoe,36.8,18.4,192.1,3149.3,FEMALE
Gentoo,Biscoe,53.2,15.5,225.9,5556.3,FEMALE
Chinstrap,Dream,46.8,20.3,229.1,6048.5,MALE
Adelie,Biscoe,37.7,16.6,197.0,3722.1,FEMALE
Chinstrap,Dream,49.2,20.1,199.6,4725.4,MALE
Chinstrap,Torgersen,46.0,20.8,197.9,4114.8,MALE
Chinstrap,Dream,51.2,19.3,198.4,4401.8,MALE
Gentoo,Biscoe,48.5,15.2,222.7,5326.4,MALE
Gentoo,Biscoe,47.6,17.4,231.0,6300.0,MALE
Gentoo,Biscoe,46.1,13.2,211.0,4500.0,FEMALE
Adelie,Biscoe,36.0,18.6,201.0,4284.4,MALE
Chinstrap,Dream,46.6,19.1,199.3,4221.8,MALE
Adelie,Biscoe,37.3,18.0,194.1,3954.9,FEMALE
Chinstrap,Dream,39.2,19.2,196.5,4265.0,FEMALE
Adelie,Torgersen,35.3,17.3,194.9,3798.3,FEMALE
Gentoo,Biscoe,45.7,16.9,231.0,6300.0,MALE
Chinstrap,Dream,48.1,16.4,199.0,3325.0,FEMALE
Adelie,Biscoe,35.9,19.5,200.1,6083.9,MALE
Gentoo,Biscoe,54.1,17.3,231.0,6300.0,MALE
Adelie,Dream,34.9,18.8,188.6,3116.7,FEMALE
Adelie,Biscoe,44.8,19.2,194.3,3924.4,FEMALE
Adelie,Dream,37.0,21.1,202.2,4867.6,MALE
Adelie,Biscoe,36.5,18.6,193.1,4946.2,FEMALE
Adelie,Biscoe,37.3,20.3,204.0,4459.0,MALE
Adelie,Dream,36.6,18.8,198.8,4646.2,FEMALE
Gentoo,Biscoe,46.5,15.4,224.7,5790.7,FEMALE
Adelie,Biscoe,44.1,16.0,187.7,3690.9,FEMALE
Gentoo,Biscoe,45.9,15.8,226.1,6060.6,FEMALE
Adelie,Biscoe,35.5,20.0,194.5,4189.0,FEMALE
Chinstrap,Biscoe,41.7,15.1,195.1,3805.3,FEMALE
Adelie,Dream,39.0,18.7,185.0,3650.0,MALE
Adelie,Dream,37.4,18.5,194.7,3879.4,FEMALE
Gentoo,Biscoe,46.4,16.6,231.0,6078.4,MALE
Chinstrap,Dream,45.7,21.2,199.9,4650.3,MALE
Adelie,Biscoe,35.6,18.8,194.2,3678.3,FEMALE
Adelie,Biscoe,37.9,19.5,202.1,4167.2,MALE
Chinstrap,Dream,49.5,20.8,213.3,3940.3,MALE
Chinstrap,Dream,48.2,19.5,213.0,4454.7,MALE
Gentoo,Biscoe,46.9,16.1,229.5,5853.2,MALE
Gentoo,Biscoe,43.1,15.4,220.4,4438.3,MALE
Adelie,Biscoe,36.6,20.0,189.8,3826.9,MALE
Chinstrap,Dream,45.7,20.6,216.7,4564.4,MALE
Adelie,Biscoe,38.2,18.0,190.9,3632.2,FEMALE
Adelie,Dream,43.4,19.1,188.8,4421.4,MALE
Gentoo,Biscoe,47.7,17.2,231.0,6300.0,MALE
Gentoo,Biscoe,34.9,16.3,190.7,4317.7,FEMALE
Gentoo,Biscoe,48.9,15.9,229.3,5255.2,FEMALE
Adelie,Dream,49.3,20.8,205.3,4173.9,MALE
Adelie,Biscoe,46.1,15.5,229.1,6070.6,FEMALE
Adelie,Torgersen,35.9,19.2,199.7,4310.8,MALE
Chinstrap,Dream,45.8,20.3,207.5,4812.7,MALE
Gentoo,Dream,46.7,15.3,222.6,5560.0,MALE
Chinstrap,Dream,39.0,17.2,201.1,3200.0,FEMALE
Chinstrap,Biscoe,46.4,19.0,218.4,3804.3,MALE
Gentoo,Biscoe,47.1,14.7,215.1,5012.4,MALE
Gentoo,Biscoe,43.7,16.4,229.8,6213.8,FEMALE
Adelie,Dream,38.2,19.2,183.2,3883.3,FEMALE
Chinstrap,Biscoe,36.2,16.6,216.0,4262.3,FEMALE
Adelie,Biscoe,35.9,21.0,193.3,4029.9,FEMALE
Adelie,Dream,47.5,20.2,190.1,3929.3,MALE
Gentoo,Biscoe,49.0,17.8,229.5,6149.6,MALE
Chinstrap,Dream,47.2,20.0,201.1,3960.6,MALE
Chinstrap,Torgersen,45.8,20.6,229.3,5787.2,MALE
Chinstrap,Dream,50.1,17.9,190.0,3400.0,FEMALE
Gentoo,Biscoe,47.7,16.2,230.4,5502.7,MALE
Gentoo,Biscoe,47.2,16.7,231.0,6253.2,FEMALE
Chinstrap,Dream,49.7,19.9,203.4,4118.8,MALE
Gentoo,Biscoe,51.1,17.8,225.3,5398.3,MALE
Adelie,Dream,38.0,16.7,190.9,3588.6,FEMALE
Gentoo,Biscoe,48.8,15.7,223.4,5330.5,MALE
Gentoo,Biscoe,45.8,15.6,227.7,5759.5,MALE
Gentoo,Biscoe,47.8,16.4,231.0,6300.0,MALE
Adelie,Biscoe,38.1,19.0,201.1,4161.3,FEMALE
Chinstrap,Dream,41.9,18.9,198.2,4303.5,FEMALE
Adelie,Biscoe,38.0,20.4,199.3,5402.2,FEMALE
Adelie,Biscoe,37.1,19.7,198.9,4643.3,FEMALE
Gentoo,Biscoe,37.8,19.8,223.4,4469.7,MALE
Chinstrap,Biscoe,43.6,16.1,217.8,4446.9,FEMALE
Adelie,Biscoe,36.0,19.2,192.5,3462.8,FEMALE
Gentoo,Biscoe,49.1,21.3,231.0,6300.0,MALE
Adelie,Torgersen,39.3,20.1,203.0,3927.4,MALE
Adelie,Torgersen,37.8,19.3,196.8,4509.8,MALE
Gentoo,Biscoe,48.1,16.8,231.0,6201.0,MALE
Gentoo,Biscoe,52.6,16.6,231.0,6300.0,FEMALE
Adelie,Biscoe,35.9,20.2,200.8,3807.3,FEMALE
Chinstrap,Dream,50.8,18.5,201.0,4450.0,MALE
Adelie,Biscoe,39.3,19.1,231.0,3914.2,MALE
Adelie,Biscoe,39.6,20.7,191.0,3900.0,FEMALE
Gentoo,Biscoe,49.1,16.4,231.0,6300.0,FEMALE
Gentoo,Biscoe,48.1,17.2,231.0,6300.0,MALE
Gentoo,Biscoe,48.6,15.1,222.9,5233.2,MALE
Gentoo,Biscoe,41.2,16.1,228.4,6187.5,FEMALE
