,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
0,Gentoo,Biscoe,50.320770692464286,15.98660074277566,223.28639204125787,5214.389699512943,FEMALE
1,Adelie,Biscoe,35.545212313296624,17.2572508858355,190.12258374828485,3357.2541656404724,FEMALE
2,Chinstrap,Dream,40.9636144785006,20.069044983924684,194.1619060163103,5375.9999180519,MALE
3,Gentoo,Biscoe,47.15886109434509,15.721131326029479,228.78709877699666,5381.3067448445945,MALE
4,Chinstrap,Dream,51.118670717796526,19.027416174853908,193.31168060978607,3777.2166739482304,MALE
5,Gentoo,Biscoe,42.86878355027708,13.349663365584409,209.70333799717986,5048.7575026208115,FEMALE
6,Gentoo,Biscoe,50.58942530508651,16.28505578993615,229.0071827196352,6188.513935930144,MALE
7,Adelie,Dream,38.539797992432405,17.640712810739327,192.19931317410905,3690.899970202351,FEMALE
8,Gentoo,Dream,46.64739538011742,19.5270019505969,194.44454176204047,4258.053210780125,MALE
9,Chinstrap,Dream,48.05565458701341,21.16958670627684,205.03719137667525,4376.843931811676,MALE
10,Adelie,Torgersen,36.777868741992414,19.111138045237887,190.77693557195013,3599.3748963262456,FEMALE
11,Gentoo,Dream,52.77098535033234,16.179931871833006,224.22885208635654,5769.944822271916,MALE
12,Adelie,Dream,35.70383754687107,17.79412183248364,190.97331720892302,3404.892483050457,FEMALE
13,Adelie,Biscoe,42.16852225849694,16.41107778447636,185.05904054652396,3951.6274989929007,FEMALE
14,Adelie,Torgersen,35.422835066469354,17.855315335619718,185.53421421804066,3892.7721171332832,FEMALE
15,Chinstrap,Dream,49.10532166253827,19.077235409140474,193.3448568587436,4237.465562088357,FEMALE
16,Chinstrap,Dream,49.30613270638927,18.39360219181458,200.860541175114,3753.7686939186246,MALE
17,Adelie,Biscoe,39.450592454418214,19.571171226857864,193.5336671493225,4091.590552940578,MALE
18,Adelie,Dream,38.275433221986574,18.06465416566931,188.3603186336502,4774.796983443438,FEMALE
19,Adelie,Dream,36.122396380609345,18.90120375953307,189.43087260482312,3999.1823931409226,MALE
20,Gentoo,Biscoe,50.258844886863635,16.599624914829786,223.25632850839008,5604.363221085896,MALE
21,Adelie,Biscoe,37.79710858086305,18.39973660241049,189.58458902792012,4810.570384088617,MALE
22,Chinstrap,Dream,49.04370404706131,19.581357308589457,197.63018964951215,5111.226105056237,MALE
23,Chinstrap,Dream,48.68828647908251,20.64984893478518,199.345393739162,4214.366860203234,MALE
24,Adelie,Biscoe,37.615528380027015,17.80048064598691,187.92945622798254,3543.9781863242324,FEMALE
25,Adelie,Dream,37.8235266564594,17.94928275415535,186.4938239906146,3608.1186980077864,FEMALE
26,Adelie,Biscoe,39.33136286252745,19.378685061531673,194.81174388362183,3437.3766221310734,MALE
27,Adelie,Dream,43.023778711102864,20.342913405174603,196.6408384127564,4011.0338536651698,MALE
28,Adelie,Biscoe,38.8419226452057,19.675031869247906,191.61064921977106,5222.342605678728,FEMALE
29,Gentoo,Biscoe,48.60173002649266,15.111330447902652,223.57492340171063,5194.294801750173,FEMALE
30,Adelie,Dream,38.54392542007315,18.8996511477541,189.88815205075935,3544.3856303948796,MALE
31,Gentoo,Dream,39.1523604408919,18.97580972135492,189.63664604974068,3676.500170966796,FEMALE
32,Chinstrap,Dream,47.73265915848302,18.39355011273149,194.27434737825436,4193.073986610419,MALE
33,Adelie,Dream,39.198462845391525,19.19899659110297,198.79493504033965,4164.369455282598,MALE
34,Gentoo,Biscoe,49.101127815437344,21.255942305396236,231.0,6300.0,MALE
35,Adelie,Biscoe,37.23307847803326,17.90090813337345,187.15775257520593,3484.3128980063148,FEMALE
36,Gentoo,Biscoe,48.20527286681878,16.116381567211434,224.55924915947156,5494.839344357853,MALE
37,Adelie,Dream,35.98458451984742,19.978269766831556,191.48846190975715,5195.704292367634,FEMALE
38,Adelie,Torgersen,38.24447079942172,19.608027925455513,195.80837223682892,5077.753550484522,MALE
39,Adelie,Dream,48.903731374574164,19.106489215725677,194.0688593935323,3734.5393396831455,MALE
40,Adelie,Dream,37.925097081946596,19.29347453212391,188.8446041709592,3603.913522317572,FEMALE
41,Chinstrap,Biscoe,52.11500210796473,20.54699344883013,223.92959057068418,5445.639130839219,MALE
42,Chinstrap,Dream,47.17508127901015,18.542768136353246,193.4894534345931,3691.9724015223896,FEMALE
43,Gentoo,Biscoe,52.158432608897314,16.656413133713308,227.62577005073126,6205.8303435098405,MALE
44,Adelie,Dream,37.50336193057988,18.227276069806372,194.44367424683116,3858.0803809885806,FEMALE
45,Chinstrap,Dream,37.44112032175742,18.242115195454346,190.25419991596158,3826.977341194481,MALE
46,Gentoo,Biscoe,47.45725764357042,15.617884585329437,222.597451394341,5191.282347170908,MALE
47,Adelie,Dream,48.05143466425892,19.930591638869128,199.86611412697007,3801.8124301888715,FEMALE
48,Adelie,Biscoe,37.60048898366764,17.49740751459792,185.6730584309995,3172.8033258687205,FEMALE
49,Gentoo,Biscoe,48.99024716247715,15.446885724261145,221.40759330146915,5458.911576104676,MALE
