,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
0,Chinstrap,Dream,47.33357863720149,19.348910557265295,204.2612515245584,4124.673398544661,MALE
1,Adelie,Dream,36.933127639936174,20.520225902230294,198.1027591857798,3784.1567000413934,FEMALE
2,Chinstrap,Dream,47.765505352300664,18.99485238630358,203.3937432295847,4121.296714562076,MALE
3,Gentoo,Biscoe,53.40138853406983,16.253616079747296,202.3879862206865,4413.461050215949,MALE
4,Chinstrap,Dream,46.431483937169716,21.28909807309909,204.961529398203,4368.36878617327,MALE
5,Gentoo,Biscoe,38.44822602985876,16.47885732401145,196.2224025587376,5527.790603171579,MALE
6,Chinstrap,Biscoe,48.3906135688868,20.6634833356858,228.8354397874871,5804.7549417928085,FEMALE
7,Gentoo,Biscoe,48.233492993140054,19.17905261341823,202.9050755365233,5285.832431255338,FEMALE
8,Gentoo,Biscoe,46.73882422567039,16.37850215069307,231.0,6152.765096528019,FEMALE
9,Adelie,Biscoe,40.65405157110761,19.16458655270884,197.52488181187604,4588.624720385845,MALE
10,Gentoo,Biscoe,47.421416707408206,16.37485369357508,231.0,6150.645504599363,FEMALE
11,Chinstrap,Dream,47.03306326781103,20.861231166731457,200.5649076004464,3996.3577743297433,MALE
12,Adelie,Torgersen,37.90422608240683,19.38095237300845,202.37511603171532,4481.211652231221,MALE
13,Gentoo,Biscoe,45.574915197033754,14.889598723708133,226.1919937946701,6143.947917210099,MALE
14,Chinstrap,Dream,43.535781461266204,19.02319620837191,202.27870087591248,4451.330407603708,FEMALE
15,Chinstrap,Torgersen,36.959505932831725,16.32166282483091,195.44230453464723,3827.298629665678,FEMALE
16,Adelie,Biscoe,37.26704722979042,17.633644218366253,200.39800072697534,3733.0767937544915,FEMALE
17,Chinstrap,Dream,48.05176992376571,19.082308784023986,227.80855302195476,4660.209722919982,MALE
18,Gentoo,Biscoe,46.7103990131259,15.389607619076893,224.7603523973985,6273.504055409335,FEMALE
19,Gentoo,Biscoe,46.764762605627396,16.163094613252888,231.0,6210.180659224582,FEMALE
20,Gentoo,Biscoe,45.91532338166337,16.401205385509332,231.0,6167.776457453321,FEMALE
21,Adelie,Torgersen,45.39788062594336,19.381995164682202,203.65719704531148,4725.745542333089,MALE
22,Chinstrap,Dream,36.66630121202315,19.0014574030019,198.42325963204794,4065.776629232817,FEMALE
23,Chinstrap,Dream,48.27262715287373,19.07265629445725,200.1731190519969,4255.324332463198,FEMALE
24,Adelie,Biscoe,37.580093058769634,19.36434005233695,205.64104886805973,4550.602750152952,MALE
25,Adelie,Dream,37.3563163936659,19.301844755419793,202.68582457065705,4334.465635653686,MALE
26,Adelie,Biscoe,37.125173132820095,18.968894417206375,204.32779898451574,4148.604323855951,FEMALE
27,Adelie,Dream,41.70017784324326,18.978838097482992,196.51576797298088,4337.083901321503,FEMALE
28,Gentoo,Biscoe,46.329896508821946,14.864928563276385,217.37671919855822,4188.877165149969,FEMALE
29,Adelie,Biscoe,37.08440484764254,17.682501880276558,200.5273170775546,3779.341857335823,FEMALE
30,Gentoo,Biscoe,42.754057278447995,16.248972318642224,195.04020279196686,5453.677223062449,FEMALE
31,Adelie,Biscoe,38.02256255800247,19.1139957734773,199.9250857371799,4290.464679418755,FEMALE
32,Adelie,Biscoe,36.090283719451044,19.294385595942575,206.39724488563942,4560.892874072204,FEMALE
33,Chinstrap,Dream,49.48240345900685,21.367940020177446,208.0699199946679,4575.2038307321845,MALE
34,Gentoo,Biscoe,47.64856327452932,15.110655672845661,229.56193437131998,4453.97638016736,MALE
35,Chinstrap,Biscoe,38.74044702391451,19.148102453868855,203.93852284174284,4538.335630278825,MALE
36,Chinstrap,Biscoe,48.295111738787575,20.431845587073482,230.00519540458288,5736.824698123997,FEMALE
37,Chinstrap,Dream,46.93060505448683,19.082545614143665,231.0,4082.059716296555,FEMALE
38,Gentoo,Biscoe,46.843186213617464,17.41583772260328,226.77538845449027,4174.498644942082,MALE
39,Chinstrap,Dream,49.347589024931565,21.388002876287008,231.0,4481.109561339221,MALE
40,Chinstrap,Biscoe,47.62443915094061,19.245708132423623,205.07876638761988,4068.4591830584236,MALE
41,Adelie,Biscoe,36.49526934136386,15.32256127027317,204.44448230248616,4646.068253414884,FEMALE
42,Chinstrap,Torgersen,47.18576396690638,18.459624899430676,200.65726298939285,3826.092726406473,MALE
43,Adelie,Torgersen,37.2903790204118,19.224400539806204,205.19318531763787,5662.181901098938,FEMALE
44,Adelie,Dream,35.684080496747804,15.157724279484377,196.1954757183399,3528.1842631053264,FEMALE
45,Adelie,Dream,48.41496368045422,21.081860222990617,231.0,6097.190894684528,MALE
46,Adelie,Dream,36.11792405630561,19.106294290781086,205.338666231224,4466.9380907680215,FEMALE
47,Adelie,Torgersen,37.80664888658153,19.618776182171988,206.2271956032635,4451.909225342088,MALE
48,Gentoo,Biscoe,37.73634269363591,14.882936098190704,226.74368267133303,5203.673572724533,MALE
49,Gentoo,Biscoe,47.188500812487,14.799145951079616,224.987169629501,4823.848698287552,FEMALE
50,Chinstrap,Biscoe,37.67851574001379,21.46910701453135,208.10845467225195,4897.410840655781,MALE
51,Adelie,Torgersen,38.12584842261265,19.27525411437539,206.04556785381425,5612.307186440436,MALE
52,Chinstrap,Dream,37.54781329303695,19.55056188260067,199.21469707634932,4358.341837879676,FEMALE
53,Gentoo,Biscoe,42.81364887029889,14.81206281853676,227.790254646994,5582.938629282028,MALE
54,Chinstrap,Dream,47.222645411370166,19.604810911492628,204.3280269197203,4437.36319488173,MALE
55,Gentoo,Biscoe,47.52584825804121,16.416012449293646,231.0,6193.404277410293,MALE
56,Gentoo,Biscoe,46.72403177113726,15.331050986155251,230.36076984971953,5811.808445232013,FEMALE
57,Gentoo,Biscoe,51.46931980747653,19.44350941604577,229.4104381475299,3716.462568653308,MALE
58,Adelie,Torgersen,36.67626636462102,19.04032962482457,205.2596125304181,4834.202910569121,FEMALE
59,Adelie,Dream,47.1593721780885,19.374783346187495,228.7767585985918,5659.226687370379,MALE
