,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
0,Chinstrap,Dream,47.301014475083846,19.06066269462978,198.5526650841068,4423.505068618112,FEMALE
1,Chinstrap,Dream,46.70328687861252,19.164685532649912,214.29685515269531,4610.730938577686,MALE
2,Adelie,Dream,38.109747434392794,16.70363664851929,190.5657312374499,3672.4628952825365,FEMALE
3,Adelie,Biscoe,36.481010781430626,16.934567624306368,189.26858674028048,3446.61766436646,FEMALE
4,Gentoo,Biscoe,55.685718327895536,16.053299055048765,219.99877920263413,5543.4427435021935,MALE
5,Chinstrap,Torgersen,42.19379967200986,20.19590033243766,200.43762432610686,4516.93602758957,MALE
6,Adelie,Dream,42.271240657139295,19.450582117824876,193.6053151140739,3830.9474657008373,MALE
7,Gentoo,Biscoe,48.92833842809045,15.37818571837307,230.15030214149076,6300.0,FEMALE
8,Gentoo,Biscoe,43.55682023192575,16.188213506058418,230.05321178949893,6268.747331702947,FEMALE
9,Gentoo,Dream,49.93691353730394,16.211674273580456,229.57122399545565,5923.007832674678,MALE
10,Gentoo,Biscoe,52.60148718881431,16.14001756960118,230.5766280778218,5853.96009174174,MALE
11,Chinstrap,Dream,46.560558464439765,18.664861850627037,202.64690101824536,3892.2243355893906,FEMALE
12,Adelie,Biscoe,38.6967241057905,14.666585549641274,200.3449773630758,3509.561851854198,FEMALE
13,Adelie,Biscoe,37.76389059443526,19.918416118924267,192.4405528071331,4680.791343097478,MALE
14,Adelie,Biscoe,38.20201902606733,18.73736139239963,199.76389815527935,4248.399339814934,FEMALE
15,Gentoo,Biscoe,38.52695799609009,19.13418755161874,230.37791008547634,4625.0323451027725,MALE
16,Gentoo,Biscoe,45.63724141537675,14.604845554387284,230.2186163174129,5545.806945744333,FEMALE
17,Adelie,Dream,36.082675309159534,19.19484534108106,193.8306181704395,4250.309257890607,FEMALE
18,Chinstrap,Dream,38.30888193563304,18.418740192539367,184.303216729203,3414.710804123241,FEMALE
19,Adelie,Biscoe,37.172206722951664,18.994673059894495,201.46848248873852,4689.537329039398,MALE
20,Adelie,Torgersen,35.90201135074417,16.459446566819878,190.64185267844073,3968.1083703109803,FEMALE
21,Adelie,Torgersen,36.93737834377591,18.787769409171283,197.38126524303127,4136.56566464912,FEMALE
22,Adelie,Dream,38.199199321603466,19.04056430396063,199.66663483326195,4653.89800900973,MALE
23,Gentoo,Dream,46.609389063177915,19.21604759155198,201.34567804443535,4024.1992607805364,FEMALE
24,Adelie,Dream,37.42553118720149,20.3865068837415,208.15814606552192,5255.3666789353465,MALE
25,Chinstrap,Dream,44.401931599734056,19.346161673539235,187.48308281987858,3180.661497857986,FEMALE
26,Adelie,Biscoe,43.107627943328445,19.66931986071952,229.9205209315037,6218.221207283164,MALE
27,Adelie,Dream,45.77785779410616,15.91435662206242,212.20829394575435,4731.935617254178,FEMALE
28,Adelie,Biscoe,48.66001390314686,18.739775012029256,230.1057281737641,6063.008058330275,MALE
29,Adelie,Biscoe,47.87654681497645,14.381919889599704,192.79452582728155,5503.22181568608,FEMALE
30,Gentoo,Biscoe,49.910909610340184,19.750597764654074,230.651537252144,5433.677806652221,MALE
31,Adelie,Torgersen,36.98720194753468,16.902582921948884,188.07589378671122,4031.651111575888,FEMALE
32,Gentoo,Dream,43.90936873283496,19.112187035826185,210.08188962439607,4582.316819321873,FEMALE
33,Adelie,Biscoe,37.99375272116986,18.83974746151775,198.23360653462973,4264.9213195516195,MALE
34,Adelie,Biscoe,49.187779855451176,16.141691449507135,229.7898008269073,5458.696612971731,FEMALE
35,Gentoo,Biscoe,47.49369500911244,16.12507457156336,223.49262909404075,5710.468502411375,FEMALE
36,Chinstrap,Dream,44.70417612378291,19.276565482096252,201.34041573333258,3936.134342650093,MALE
37,Chinstrap,Dream,45.43830902454675,19.415997109142094,202.0287364528185,3926.4064675730274,FEMALE
38,Adelie,Dream,36.795453785219884,18.973974474817304,189.97195142760307,4620.091069989873,FEMALE
