species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Chinstrap,Torgersen,43.1,18.4,185.8,3465.6,FEMALE
Adelie,Torgersen,38.8,17.6,191.0,3275.0,FEMALE
Adelie,Biscoe,39.5,17.1,201.7,4011.2,FEMALE
Adelie,Biscoe,36.7,19.3,195.3,2938.0,MALE
Adelie,Dream,49.8,20.9,211.1,4349.0,MALE
Adelie,Torgersen,46.7,16.1,187.6,2762.9,FEMALE
Chinstrap,Dream,51.1,20.4,199.4,4725.9,MALE
Chinstrap,Dream,49.1,15.9,187.1,3034.9,FEMALE
Chinstrap,Torgersen,36.1,15.6,188.9,3264.8,FEMALE
Gentoo,Biscoe,42.3,13.2,209.1,4490.9,FEMALE
Adelie,Dream,40.2,17.1,193.0,3400.0,FEMALE
Gentoo,Biscoe,46.9,14.5,211.2,4661.0,FEMALE
Gentoo,Biscoe,43.6,13.4,204.3,4007.3,FEMALE
Chinstrap,Dream,51.8,20.1,219.3,3766.1,MALE
Adelie,Torgersen,35.9,16.6,190.0,3050.0,FEMALE
Gentoo,Biscoe,45.9,18.2,224.5,5625.3,MALE
Adelie,Biscoe,44.6,19.7,202.8,3910.1,FEMALE
Chinstrap,Dream,47.7,17.5,193.9,3792.3,FEMALE
Adelie,Biscoe,37.4,17.0,183.4,2975.3,FEMALE
Adelie,Torgersen,39.0,17.1,191.0,3050.0,FEMALE
Gentoo,Biscoe,40.6,13.8,209.2,4453.6,FEMALE
Chinstrap,Dream,43.2,21.5,214.9,5198.9,MALE
Adelie,Dream,41.5,19.7,179.5,3980.8,MALE
Gentoo,Biscoe,51.0,16.6,227.1,5835.0,MALE
Adelie,Torgersen,36.1,17.9,192.6,3408.7,FEMALE
Chinstrap,Torgersen,47.7,17.8,199.7,3701.6,FEMALE
Chinstrap,Biscoe,41.4,20.2,209.9,4636.5,MALE
Adelie,Dream,47.5,20.2,194.8,3593.7,FEMALE
Chinstrap,Dream,40.2,16.8,188.9,3681.8,MALE
Chinstrap,Dream,43.8,19.0,185.1,3356.2,FEMALE
Adelie,Biscoe,36.5,16.4,182.7,3622.3,MALE
Adelie,Dream,35.2,17.9,190.5,3569.8,FEMALE
Chinstrap,Dream,45.8,18.9,189.0,3580.0,FEMALE
Gentoo,Biscoe,57.2,16.9,231.0,6191.3,MALE
Gentoo,Dream,38.2,18.1,186.4,4391.1,MALE
Chinstrap,Dream,47.0,17.6,182.4,3720.2,MALE
Gentoo,Biscoe,49.8,14.8,215.2,5668.0,FEMALE
Adelie,Dream,35.7,17.1,185.9,3237.3,FEMALE
Chinstrap,Biscoe,41.8,20.4,207.8,4723.5,FEMALE
Chinstrap,Biscoe,47.9,19.4,214.8,4381.5,MALE
Chinstrap,Biscoe,47.8,16.9,191.7,3809.9,MALE
Adelie,Torgersen,38.6,17.0,178.0,2901.7,FEMALE
Gentoo,Torgersen,41.3,13.7,191.8,3947.5,FEMALE
Chinstrap,Dream,48.4,16.8,189.9,3639.4,MALE
Gentoo,Biscoe,53.4,15.8,219.0,5500.0,MALE
Gentoo,Biscoe,46.2,14.9,221.0,5300.0,MALE
Gentoo,Dream,47.5,19.1,207.0,3816.5,MALE
Adelie,Dream,36.1,18.5,195.3,3114.5,FEMALE
Adelie,Torgersen,39.5,18.9,195.9,4476.7,FEMALE
Gentoo,Biscoe,55.8,17.9,231.0,6283.5,MALE
Adelie,Torgersen,35.5,18.8,177.4,3205.7,MALE
Adelie,Biscoe,42.3,17.1,196.8,3569.8,FEMALE
Adelie,Dream,42.0,19.7,199.5,4109.7,MALE
Gentoo,Biscoe,50.0,15.9,224.0,5350.0,MALE
Chinstrap,Dream,41.0,19.2,196.1,4273.7,FEMALE
Gentoo,Biscoe,45.4,14.4,217.3,4949.5,MALE
Gentoo,Biscoe,43.4,14.4,218.0,4600.0,FEMALE
Adelie,Torgersen,35.5,17.5,190.0,3700.0,FEMALE
Chinstrap,Dream,54.4,17.5,192.1,3508.5,FEMALE
Gentoo,Biscoe,49.6,14.6,216.5,5852.4,MALE
Adelie,Torgersen,36.4,16.8,184.6,3050.9,FEMALE
Chinstrap,Dream,52.7,19.8,197.0,3725.0,MALE
Adelie,Dream,41.0,19.4,212.8,4459.7,MALE
Chinstrap,Torgersen,42.2,20.5,186.5,3325.7,MALE
Gentoo,Biscoe,43.1,13.3,211.0,4562.1,FEMALE
Gentoo,Dream,45.8,13.7,203.8,4278.5,MALE
Gentoo,Biscoe,45.3,14.3,218.6,5317.2,FEMALE
Adelie,Biscoe,35.0,18.4,188.4,2975.1,FEMALE
Gentoo,Biscoe,46.4,14.3,209.5,4518.4,FEMALE
Adelie,Biscoe,39.2,19.7,201.6,4621.8,MALE
Adelie,Torgersen,35.5,18.9,186.7,3479.6,FEMALE
Gentoo,Biscoe,34.9,21.1,199.2,4490.5,FEMALE
Gentoo,Biscoe,50.4,16.3,212.9,5389.0,MALE
Gentoo,Biscoe,45.1,15.8,185.4,4814.0,MALE
Chinstrap,Torgersen,42.7,20.8,187.4,3377.2,MALE
Adelie,Dream,39.4,18.4,191.3,3982.2,FEMALE
Chinstrap,Dream,45.1,20.8,211.8,4284.9,MALE
Gentoo,Biscoe,55.0,15.6,230.6,6098.1,FEMALE
Chinstrap,Dream,39.8,17.4,193.9,3666.4,FEMALE
Chinstrap,Dream,34.9,17.7,182.9,3151.8,FEMALE
Gentoo,Biscoe,55.6,15.8,231.0,5904.1,MALE
Chinstrap,Dream,52.8,20.0,205.0,4550.0,MALE
Adelie,Torgersen,38.8,18.2,190.8,3725.4,MALE
Adelie,Dream,38.0,17.9,184.0,3536.5,FEMALE
Gentoo,Biscoe,47.8,15.4,222.2,5197.8,MALE
Adelie,Biscoe,40.1,18.9,188.0,4300.0,MALE
Gentoo,Biscoe,45.0,14.1,213.7,4676.0,FEMALE
Gentoo,Biscoe,46.0,17.3,205.7,4192.5,FEMALE
Chinstrap,Dream,42.3,16.5,212.9,5799.8,MALE
Chinstrap,Dream,50.4,20.3,195.6,4043.4,MALE
Adelie,Torgersen,42.9,21.5,211.0,4373.7,MALE
Chinstrap,Dream,52.5,20.9,201.7,4855.7,MALE
Gentoo,Biscoe,48.8,14.4,211.6,4596.8,FEMALE
Gentoo,Biscoe,46.4,15.6,221.0,5000.0,MALE
Chinstrap,Dream,39.3,19.9,200.6,4020.7,MALE
Adelie,Biscoe,45.1,18.9,190.5,3669.0,FEMALE
Adelie,Torgersen,37.3,17.7,186.8,3163.8,FEMALE
Chinstrap,Dream,49.5,18.6,193.6,3551.9,FEMALE
Chinstrap,Dream,53.7,18.6,199.4,3928.9,MALE
Adelie,Torgersen,39.2,21.4,192.3,3836.2,FEMALE
Gentoo,Torgersen,43.7,14.4,197.7,4837.2,FEMALE
Adelie,Dream,35.2,16.6,183.4,3563.7,FEMALE
Adelie,Dream,54.4,18.5,196.6,3877.7,MALE
Adelie,Torgersen,42.2,18.7,195.2,3337.9,MALE
Gentoo,Biscoe,51.7,15.1,217.5,5849.1,FEMALE
Gentoo,Dream,43.0,13.5,212.0,2700.0,FEMALE
Gentoo,Biscoe,46.0,14.7,211.7,5479.5,MALE
Adelie,Biscoe,38.7,16.7,191.6,3427.0,MALE
Gentoo,Torgersen,43.2,14.3,196.8,4791.1,FEMALE
Gentoo,Biscoe,50.5,15.9,222.0,5550.0,MALE
Adelie,Dream,33.9,16.1,189.7,3419.7,FEMALE
Chinstrap,Torgersen,37.4,16.9,178.5,3924.9,MALE
Adelie,Biscoe,39.7,18.9,184.0,3550.0,MALE
Adelie,Biscoe,37.0,17.7,197.0,3621.6,FEMALE
Adelie,Dream,41.6,20.8,179.8,3614.9,FEMALE
Adelie,Biscoe,39.2,17.5,195.3,4435.4,FEMALE
Gentoo,Biscoe,56.3,16.2,225.4,5683.7,MALE
Chinstrap,Dream,42.5,17.6,199.6,3298.8,FEMALE
Adelie,Dream,38.5,17.8,188.2,3494.1,FEMALE
Adelie,Dream,46.0,15.7,181.7,2700.0,FEMALE
Gentoo,Biscoe,42.9,13.9,207.1,4324.7,FEMALE
Adelie,Biscoe,43.4,19.1,200.1,3707.6,FEMALE
Gentoo,Torgersen,42.5,18.1,198.2,4817.2,MALE
Adelie,Torgersen,43.6,18.2,208.6,3915.3,MALE
Adelie,Dream,34.3,19.4,192.9,3690.0,FEMALE
Chinstrap,Biscoe,48.6,17.3,190.2,4814.7,MALE
Gentoo,Dream,45.5,17.9,210.8,4534.8,FEMALE
Adelie,Biscoe,38.8,17.2,180.0,3800.0,MALE
Gentoo,Biscoe,40.5,13.6,208.7,4427.0,FEMALE
Gentoo,Biscoe,45.5,13.2,214.7,4220.5,FEMALE
Gentoo,Biscoe,47.6,14.5,215.0,5400.0,MALE
Chinstrap,Dream,40.5,19.1,212.8,4358.4,FEMALE
Adelie,Biscoe,43.4,19.3,198.2,4800.8,MALE
Adelie,Torgersen,38.4,17.1,193.4,4430.4,MALE
Gentoo,Biscoe,47.1,15.8,227.0,5653.3,MALE
Chinstrap,Biscoe,36.4,13.1,193.5,4006.3,FEMALE
Adelie,Dream,40.4,17.3,187.7,3175.4,FEMALE
Gentoo,Biscoe,49.6,16.1,228.8,5616.2,MALE
Chinstrap,Dream,43.5,17.1,215.6,6016.9,MALE
Gentoo,Biscoe,45.5,14.1,207.7,4420.5,FEMALE
Gentoo,Biscoe,55.0,16.2,224.3,5693.6,MALE
Chinstrap,Dream,47.7,17.8,193.6,5297.8,MALE
Gentoo,Biscoe,45.2,17.7,221.8,5529.8,MALE
Adelie,Torgersen,38.4,20.2,187.8,3522.9,MALE
Adelie,Torgersen,41.7,18.1,191.0,3250.5,FEMALE
Adelie,Dream,40.0,17.6,182.5,3389.0,FEMALE
Adelie,Biscoe,51.0,18.6,196.4,3731.1,MALE
Chinstrap,Dream,51.6,16.7,187.2,3263.0,FEMALE
Adelie,Biscoe,39.7,20.4,193.0,3389.5,FEMALE
