,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
0,Gentoo,Biscoe,43.37772364393859,14.54492628829209,212.13970694878589,4045.4263103607154,MALE
1,Gentoo,Dream,43.51641873076532,16.04389403462834,194.5934050940497,4843.91935619519,FEMALE
2,Adelie,Biscoe,43.28290894442231,19.346388157939465,196.39181011437077,4303.579450766965,FEMALE
3,Gentoo,Biscoe,48.597352558174926,13.564418918749029,205.24343920127637,4181.488840695309,FEMALE
4,Adelie,Dream,40.648926388794585,19.07488633578752,196.5326115965506,3882.768882860897,MALE
5,Gentoo,Biscoe,40.597350690917395,13.766160172702879,209.1559946799036,4453.587070249685,FEMALE
6,Adelie,Biscoe,38.342366448994376,20.011325859317736,187.11877183082524,4079.798778074643,MALE
7,Gentoo,Biscoe,43.03977175619093,16.939661559573416,218.005489486932,5244.90162706393,MALE
8,Gentoo,Biscoe,53.28246223626368,16.844133283199177,231.0,6084.194008956645,MALE
9,Chinstrap,Dream,45.111055702957565,17.113765273965544,190.59620765084603,3567.7040887785483,FEMALE
10,Adelie,Biscoe,40.657683457449615,15.15198262916133,205.17482573290326,4918.429993792109,FEMALE
11,Gentoo,Biscoe,42.62998940443087,19.21678467775018,211.49753337513246,4245.207473501008,FEMALE
12,Adelie,Biscoe,41.33002725254732,18.584773396564366,189.46364798391363,4063.974713876603,MALE
13,Gentoo,Biscoe,50.770240152965776,16.40364636402118,230.36302943506604,5730.74810552896,MALE
14,Adelie,Torgersen,36.82844947791753,17.182884507245326,186.7157283729327,3248.912611019596,FEMALE
15,Adelie,Biscoe,35.38845740905916,17.966320119977997,191.15256563193344,3324.09650059097,FEMALE
16,Adelie,Torgersen,35.69435858046648,19.794632810264726,186.92751058948193,2764.559731289155,FEMALE
17,Gentoo,Biscoe,48.79697099197852,15.9511087620608,216.94937415726676,5143.080362170207,FEMALE
