,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
0,Chinstrap,Biscoe,37.69359350187473,17.84518237840323,186.6659115266329,3173.106924978584,FEMALE
1,Chinstrap,Dream,46.57416661074599,17.150744932122585,196.2040169266872,3657.201594316631,FEMALE
2,Gentoo,Dream,46.169257872237104,17.036722295810122,199.82094499952063,5246.140776703713,FEMALE
3,Gentoo,Biscoe,49.07943587966835,14.64875177567939,214.13079457674692,4689.91914014089,FEMALE
4,Adelie,Torgersen,43.502318310513104,19.35633765116543,197.70041386248218,3513.458316467907,MALE
5,Adelie,Torgersen,43.5114635215547,18.50553487939608,193.44479158473266,3298.426809703119,FEMALE
6,Chinstrap,Dream,41.81389216688745,16.141398996513416,212.42010532028706,5705.680656925926,MALE
7,Chinstrap,Torgersen,43.2859505215249,17.29504704954274,194.5038584612407,3514.8425329399597,MALE
8,Adelie,Dream,34.338650361745934,17.218378189431785,185.97596382340654,3448.293477470011,FEMALE
9,Adelie,Biscoe,53.993695120772074,18.275087740056506,195.65510141914962,6300.0,MALE
10,Adelie,Torgersen,39.751940830238176,18.95660728037358,207.32951236006264,3757.3618759175215,MALE
11,Chinstrap,Torgersen,51.00917267786353,17.893596530027192,182.31480422141607,3377.1852312165793,MALE
12,Chinstrap,Dream,48.926872848128994,18.161327786184863,206.47467492443073,3681.0065912693326,MALE
13,Gentoo,Torgersen,40.92662235097755,13.576273857200372,190.16511574294213,3881.5656311603007,FEMALE
14,Gentoo,Biscoe,41.1732759674942,15.298639999367639,230.0874693418085,5590.760089194054,MALE
15,Adelie,Torgersen,37.128611630636414,19.23855114165459,181.9643781706322,3461.740378235804,MALE
16,Adelie,Biscoe,37.15266926569577,18.97826717399321,190.6549521982437,3267.630694238599,FEMALE
17,Adelie,Dream,38.23466538137767,17.66232264097817,183.5842222064677,3218.1136494793113,FEMALE
18,Gentoo,Biscoe,53.15845225021365,15.086619467478986,218.78186417344705,5646.3231289433015,MALE
19,Adelie,Biscoe,41.02805799480861,19.316607142528945,201.31245446661367,3846.860129698742,MALE
20,Adelie,Dream,37.670053974364485,18.051395442199116,182.21920460850987,3401.4546579228936,FEMALE
21,Gentoo,Dream,42.769018794870235,13.122316738199778,193.8544684346922,4341.47331150365,FEMALE
22,Gentoo,Torgersen,41.277161583568194,17.898240482482407,204.46034818668358,3959.6219494815637,FEMALE
23,Adelie,Dream,37.60920646037874,18.382119327125213,196.25939767384992,3476.9833523381867,FEMALE
24,Gentoo,Biscoe,46.35869987777502,14.266115982693584,197.74979508180493,4441.402284066644,FEMALE
25,Adelie,Dream,53.990012753964976,17.12388454252587,197.74041806938146,3826.170852350519,MALE
26,Chinstrap,Dream,45.89124911773387,19.548886752531345,189.12645717931386,3565.9056119333973,FEMALE
27,Adelie,Torgersen,51.30432459366997,20.44053320534728,195.13683811880506,4207.077936978003,MALE
28,Chinstrap,Dream,44.8863807628859,18.610947665118907,186.27142299783296,3429.921581737585,FEMALE
29,Adelie,Torgersen,35.91008733321069,17.910871385645112,175.66449439689083,3445.5538275912277,FEMALE
30,Chinstrap,Dream,48.06725515786859,18.265984626408617,225.70286179422126,5399.442155015094,MALE
31,Chinstrap,Dream,52.160676924831456,16.910510181212572,189.33317465312692,3311.308503776389,FEMALE
32,Adelie,Dream,47.41705951047936,20.178725039304545,194.65522303836545,3584.4130777126206,FEMALE
33,Adelie,Torgersen,38.13620319390411,16.343298613736255,186.05724842774995,3721.2786786592374,MALE
34,Adelie,Dream,39.61882653699777,17.47571310104141,189.51197398121596,3658.280647575091,MALE
35,Adelie,Torgersen,39.03214036524482,17.963412159898922,190.68836127807128,3360.1191623522054,MALE
36,Gentoo,Biscoe,49.224878763300985,15.733971532064297,215.49651217012612,4872.081397077663,MALE
37,Chinstrap,Torgersen,38.165744936534686,18.724214638215738,191.11894177282022,3689.0296876825796,FEMALE
38,Adelie,Torgersen,35.9117511201315,18.647645369598365,178.42205797717506,3261.9694422291373,MALE
39,Adelie,Torgersen,37.574597480395916,20.873558876139278,196.96749196831666,4055.3449307041865,FEMALE
40,Adelie,Dream,42.51653112273278,17.079741415672256,191.55394940721308,3453.3271763622593,FEMALE
41,Chinstrap,Dream,51.198730337843635,18.246027214944196,197.53233685091715,3708.3157290295662,MALE
