,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
0,Chinstrap,Dream,57.82545553030582,19.52392687655967,204.2191361551483,4300.229005290714,MALE
1,Adelie,Dream,34.98159305146284,15.919674929083083,179.47506039763354,4661.376683098725,FEMALE
2,Gentoo,Biscoe,41.15914412616948,13.826103532819568,211.34129364301154,4552.335234193403,FEMALE
3,Gentoo,Biscoe,41.81007279721212,13.433084623028904,217.91282268207488,4364.817733503952,FEMALE
4,Chinstrap,Dream,42.803859870045045,17.598802752508824,188.3704006769327,3817.7000204529945,FEMALE
5,Chinstrap,Biscoe,48.99686115000523,19.925386853762955,217.11127368194053,4420.44059146882,MALE
6,Adelie,Torgersen,32.19685069581471,16.529446978006508,186.39140045111895,3695.812821982089,FEMALE
7,Gentoo,Biscoe,48.48031667106331,15.35961916836426,214.70458589821803,5479.744482241786,MALE
8,Chinstrap,Biscoe,51.15633504718522,18.600506461053016,225.39959980725192,5843.310203715071,MALE
9,Adelie,Dream,36.98182917847836,17.783898901966722,177.3455541117528,3854.8833652593203,MALE
10,Gentoo,Biscoe,41.557151317668264,14.518355747383795,209.47643452347504,4787.494696906789,FEMALE
11,Chinstrap,Dream,46.64351605468414,19.824062239128967,190.09850336471618,4105.247866626747,FEMALE
12,Gentoo,Biscoe,48.89572853139532,15.30906937509746,194.87030844044907,4374.973845166612,MALE
13,Gentoo,Biscoe,46.92469112260119,14.033628532186519,212.89533914282597,5574.176018532341,MALE
14,Adelie,Torgersen,36.93277770850323,18.15181090312088,172.0,3035.3486098826083,FEMALE
15,Adelie,Biscoe,35.33363122442021,17.758442562059617,178.0579632949387,3018.5974539247636,FEMALE
16,Adelie,Dream,38.49353817361005,17.054704218514882,188.17169794983192,3121.6972474757185,FEMALE
17,Gentoo,Biscoe,45.508865107445246,16.28473372861833,219.25539003292343,5031.864550080883,FEMALE
18,Gentoo,Biscoe,47.370398518848354,14.68513578431873,215.06497732531864,4754.626077866368,MALE
19,Gentoo,Biscoe,51.09398209103539,16.772707380651326,229.89321661333733,5251.456281227831,MALE
20,Gentoo,Biscoe,52.034647265776556,17.017223808371096,229.9339099325453,5927.367701836789,MALE
21,Gentoo,Biscoe,51.14526636864591,15.414053561418635,217.5712415290526,4949.001933531685,MALE
22,Adelie,Torgersen,41.470153166249844,18.09483320643385,190.78974054435366,4059.869776872063,FEMALE
23,Gentoo,Dream,48.01790709880582,19.01833202419463,215.50371070252038,4875.3874412633095,FEMALE
24,Adelie,Dream,38.288325141772646,19.34737090513126,195.60886865199583,3134.5771868497823,FEMALE
25,Adelie,Dream,40.09743993331221,19.00268631580096,209.61256124788395,4316.672802069454,MALE
26,Adelie,Torgersen,39.91922477233293,18.307115728870635,196.03768644255408,3316.857510663889,MALE
27,Gentoo,Biscoe,54.05852951926348,16.412250911635546,226.6585700276868,5777.629757406512,MALE
28,Adelie,Dream,40.84654085867051,14.448738259562228,195.03963254483233,4307.079150815198,MALE
29,Adelie,Torgersen,50.787418117725466,17.32182274618517,181.0071398139188,3855.442956764703,MALE
30,Adelie,Dream,36.3133474747221,18.267767545741357,193.2292899353138,3549.735048427508,MALE
31,Gentoo,Biscoe,44.01683431852742,13.760666635512884,213.34776330569892,4762.903913119076,FEMALE
32,Chinstrap,Biscoe,44.91370011556623,21.130144212171484,204.53496303478883,3911.5608778813844,MALE
33,Adelie,Dream,43.397109266765824,20.399886514441533,190.143982630109,4205.147773402952,MALE
34,Adelie,Biscoe,36.0760306361507,17.012620914206543,180.1706044959661,2812.8790756283565,FEMALE
35,Adelie,Torgersen,46.413045267468796,19.33739737861783,196.14605248787228,4279.9923820365375,FEMALE
36,Adelie,Torgersen,34.32154502818206,13.822628624831916,194.8281875451254,4465.737271620549,MALE
37,Adelie,Dream,47.06829092840487,13.567551690346441,207.7675309530244,4387.791403618809,FEMALE
38,Gentoo,Biscoe,41.96159920754167,15.742299807050411,230.72414282307074,5742.726552133793,MALE
39,Gentoo,Biscoe,34.357796981815746,21.008645092225482,197.61669839933597,4412.394026949717,FEMALE
40,Chinstrap,Dream,51.96678738790545,20.312709940845725,194.25114080848772,3782.581283001989,MALE
41,Adelie,Dream,42.436421943124536,20.133323724043592,187.59121400850455,3959.5547766667282,MALE
42,Gentoo,Biscoe,48.7065234204843,13.508850778221502,214.34146347611488,4553.073149667998,FEMALE
43,Adelie,Torgersen,35.375325644606775,18.33372306031184,177.4184811577211,3174.8916779451406,MALE
44,Gentoo,Biscoe,46.13810584728601,13.889115322723223,200.2653907980288,4407.492607683058,MALE
45,Chinstrap,Biscoe,50.17931992329014,19.994012965242142,217.64895541141524,4563.945845835846,MALE
46,Adelie,Dream,37.561457935036756,15.921894464520317,185.0923286748694,3433.7557772238124,MALE
47,Chinstrap,Torgersen,36.94147090500388,16.88907436237853,180.04871796734423,3112.126051172275,FEMALE
48,Adelie,Biscoe,36.86602859068448,16.554632828537766,183.72505058200147,3676.876323148626,MALE
49,Adelie,Dream,39.59750593042584,19.266090040771086,194.9355703279099,3914.498892354118,FEMALE
50,Adelie,Dream,43.44672058123641,18.322018527522356,202.1256093116841,4269.829525579258,MALE
51,Adelie,Torgersen,43.18015241016754,17.890701419923552,190.20165819848916,3847.189135880012,MALE
52,Chinstrap,Dream,44.31830981293201,21.202065572246237,219.74335890907182,6196.258898955817,MALE
53,Adelie,Biscoe,37.292526621864226,17.22495572894298,186.53687784321895,3217.7018473221533,MALE
54,Adelie,Torgersen,40.42441835168771,18.30903804565633,191.44786744894597,3460.2502730716483,FEMALE
55,Adelie,Torgersen,36.127563515923526,17.899548651427825,183.5465235917341,3299.813860172474,FEMALE
56,Adelie,Biscoe,42.38227664554449,19.389275382006105,216.81890535537573,4663.866467561411,MALE
57,Chinstrap,Biscoe,50.33153492112718,18.20772683396559,223.72834500853497,3585.8537583267303,MALE
58,Adelie,Biscoe,41.5348032580002,17.97520467054315,191.8884664003042,3906.3342853711038,MALE
59,Chinstrap,Dream,44.49893372860533,19.37043322260619,191.21377985621496,3509.811498880414,FEMALE
60,Chinstrap,Dream,35.119856025375164,16.49051632873203,185.34000270025456,3256.532719242074,FEMALE
61,Chinstrap,Dream,41.27980277051052,16.324817034731034,194.5511848022484,3155.6583683615404,FEMALE
62,Chinstrap,Dream,43.257397515759855,20.95370804533707,216.1045396712726,4450.430021833624,MALE
63,Adelie,Dream,49.22740061253585,17.632240125959843,185.54035407263396,3156.8959576725665,FEMALE
64,Chinstrap,Torgersen,37.880276341221304,17.019778849607043,194.1401804256939,3513.901206511293,MALE
65,Adelie,Biscoe,40.14401271120764,17.6312982200149,188.86890449344253,3720.319454201484,FEMALE
66,Gentoo,Biscoe,48.71236206936512,14.32622731965344,215.09333937932465,5155.748248128148,FEMALE
67,Chinstrap,Biscoe,41.637088373558555,15.907009124082002,207.7359193685089,3129.1982145389607,MALE
68,Gentoo,Biscoe,50.74292152626372,16.58261608646244,230.91688975257597,5176.554942642024,MALE
69,Adelie,Dream,37.57459991938294,16.798949805962206,190.0740242743414,3123.6951932439856,FEMALE
70,Gentoo,Biscoe,55.89019155944204,16.507258652550725,223.9908768734405,6085.959629489575,MALE
71,Chinstrap,Dream,44.36753776699576,17.541359391334254,192.0716755960493,3946.819973191848,MALE
72,Gentoo,Biscoe,48.90888958118403,16.08951427781487,228.19369492305452,5905.810092848648,MALE
73,Adelie,Dream,37.756029942199554,17.96553856395903,186.44012396326215,4149.823285565928,MALE
74,Chinstrap,Biscoe,44.75795926441587,20.46294081354267,208.84340851776685,4792.173720238505,MALE
75,Adelie,Dream,38.37693561965447,16.499700674098232,182.71278158758048,2904.5614974253613,FEMALE
76,Chinstrap,Biscoe,56.97828937245321,19.295680333088434,184.66464484412066,3594.479984712328,FEMALE
77,Adelie,Biscoe,37.169635568348504,16.058385678597663,188.33373041038058,3194.86363664068,MALE
78,Adelie,Dream,47.682270739370466,17.525241180118318,199.94521304288048,3715.0644108158062,MALE
79,Chinstrap,Dream,45.70919192186973,16.853859580648336,191.93821402131758,3321.44896215877,FEMALE
80,Adelie,Torgersen,37.191402057162385,17.705566629900343,180.00203026182163,3706.614218237379,FEMALE
