species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Dream,37.1,18.7,189.4,3548.4,FEMALE
Gentoo,Biscoe,48.1,14.3,214.6,5704.0,MALE
Adelie,Dream,40.0,16.3,184.5,3080.1,FEMALE
Chinstrap,Dream,47.0,17.6,182.4,3720.2,MALE
Chinstrap,Dream,47.8,21.4,202.4,3923.3,MALE
Gentoo,Dream,44.4,13.4,200.7,4127.5,MALE
Adelie,Dream,35.0,17.9,192.1,3729.7,MALE
Gentoo,Biscoe,46.1,13.9,207.5,4239.0,FEMALE
Adelie,Dream,35.2,18.4,173.9,3346.7,FEMALE
Gentoo,Biscoe,45.0,14.8,214.2,4173.7,MALE
Chinstrap,Dream,50.6,17.5,207.3,3995.3,MALE
Gentoo,Biscoe,45.6,13.7,214.2,4663.7,FEMALE
Adelie,Dream,41.1,18.5,194.7,3885.8,MALE
Adelie,Dream,38.2,17.3,192.4,4111.7,MALE
Adelie,Dream,38.9,18.7,185.9,3071.6,FEMALE
Adelie,Dream,38.5,16.9,178.5,3164.2,FEMALE
Adelie,Dream,37.9,18.0,190.3,4267.0,MALE
Chinstrap,Dream,46.7,17.6,196.7,3686.2,FEMALE
Adelie,Biscoe,34.0,15.9,184.6,3113.3,FEMALE
Chinstrap,Biscoe,50.7,18.5,225.2,3617.8,MALE
Chinstrap,Dream,45.8,19.5,188.3,3541.1,FEMALE
Adelie,Dream,38.3,19.0,201.2,4592.4,MALE
Gentoo,Dream,44.7,13.4,201.2,4155.6,MALE
Gentoo,Biscoe,47.2,14.4,215.4,5189.7,MALE
Chinstrap,Dream,43.8,18.1,185.5,3403.0,FEMALE
Adelie,Dream,34.2,17.4,185.8,3430.4,FEMALE
Chinstrap,Biscoe,41.9,19.6,199.8,4040.7,MALE
Gentoo,Torgersen,35.7,21.5,194.7,4288.4,MALE
Gentoo,Biscoe,51.0,16.6,227.1,5837.8,MALE
Adelie,Torgersen,36.0,19.3,188.1,3551.2,FEMALE
Chinstrap,Dream,41.0,16.6,183.6,3564.0,FEMALE
Gentoo,Biscoe,47.9,15.6,212.4,5794.6,MALE
Chinstrap,Biscoe,33.2,18.4,179.2,3558.3,MALE
Chinstrap,Dream,44.6,20.6,176.5,3625.2,MALE
Adelie,Dream,34.8,17.5,180.4,3439.9,FEMALE
Adelie,Biscoe,36.2,17.9,180.2,3110.2,FEMALE
Gentoo,Biscoe,52.0,16.9,231.0,5915.9,MALE
Adelie,Dream,42.6,19.1,205.0,4250.7,MALE
Chinstrap,Dream,38.5,18.8,191.5,3676.8,MALE
Adelie,Dream,36.6,17.3,179.8,2759.8,FEMALE
Chinstrap,Biscoe,41.7,19.3,203.2,4443.1,MALE
Adelie,Dream,37.8,15.3,178.6,2787.0,FEMALE
Chinstrap,Dream,49.9,18.8,191.6,3451.8,MALE
Adelie,Torgersen,34.7,18.1,190.7,3361.1,FEMALE
Adelie,Dream,38.9,17.1,179.6,3220.3,FEMALE
Gentoo,Biscoe,42.6,13.2,207.4,4448.2,FEMALE
Chinstrap,Dream,50.4,18.7,199.0,4110.7,MALE
Gentoo,Biscoe,47.3,14.9,224.4,5306.2,FEMALE
Gentoo,Biscoe,47.4,14.5,210.8,4655.2,MALE
Adelie,Torgersen,44.2,18.8,194.7,3385.6,FEMALE
Chinstrap,Torgersen,46.6,17.5,198.1,3604.2,FEMALE
Gentoo,Biscoe,49.7,15.6,221.1,5546.1,MALE
Chinstrap,Dream,50.6,16.4,185.4,3172.9,FEMALE
Gentoo,Biscoe,45.4,16.4,230.1,5295.9,MALE
Adelie,Dream,51.0,17.7,191.6,3978.5,MALE
Chinstrap,Torgersen,42.0,17.8,182.6,3279.1,FEMALE
Chinstrap,Dream,47.8,17.9,194.2,3818.5,FEMALE
Gentoo,Biscoe,50.2,16.0,224.7,4759.5,MALE
Chinstrap,Torgersen,57.1,19.8,213.2,4125.4,MALE
Adelie,Dream,35.2,17.0,183.7,3400.5,FEMALE
Chinstrap,Dream,34.4,17.0,185.7,3671.3,FEMALE
Adelie,Biscoe,38.3,17.1,181.5,3202.6,FEMALE
Chinstrap,Dream,33.2,16.1,178.3,2910.7,FEMALE
Chinstrap,Torgersen,37.6,20.2,197.0,3722.9,MALE
Gentoo,Biscoe,44.0,13.6,209.9,4632.9,FEMALE
Gentoo,Biscoe,48.1,15.4,213.3,4764.7,MALE
Gentoo,Biscoe,47.8,15.7,215.8,5043.6,FEMALE
Adelie,Biscoe,36.6,18.1,181.3,3163.7,FEMALE
Chinstrap,Torgersen,45.0,18.9,188.1,3654.0,MALE
Chinstrap,Dream,41.8,17.1,185.7,3670.9,FEMALE
Chinstrap,Biscoe,50.7,15.6,225.8,5181.2,MALE
Adelie,Dream,38.5,17.7,183.7,3242.2,FEMALE
Gentoo,Biscoe,45.9,14.1,213.6,4904.5,FEMALE
Gentoo,Biscoe,48.9,15.6,214.8,4840.1,MALE
Gentoo,Biscoe,49.7,14.2,220.7,5198.9,MALE
Gentoo,Biscoe,46.8,15.2,221.1,5206.3,MALE
Gentoo,Biscoe,59.6,17.2,231.0,6106.1,MALE
Adelie,Biscoe,42.6,19.2,192.3,4255.9,MALE
Adelie,Torgersen,39.6,17.8,196.1,4623.8,MALE
Gentoo,Biscoe,52.1,15.2,218.4,5902.0,FEMALE
Chinstrap,Dream,55.5,20.6,201.7,3954.8,MALE
Adelie,Dream,37.1,19.3,195.6,3881.3,MALE
Gentoo,Biscoe,54.1,17.2,230.3,6121.9,MALE
Chinstrap,Dream,48.2,17.8,187.0,3794.1,FEMALE
Gentoo,Torgersen,41.9,13.9,193.1,4032.7,FEMALE
Adelie,Biscoe,37.8,18.8,184.4,3031.0,FEMALE
Chinstrap,Biscoe,49.6,20.0,218.2,4561.8,MALE
Adelie,Torgersen,43.5,19.1,195.3,3522.6,FEMALE
