species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Gentoo,Biscoe,44.9,14.5,209.0,4485.4,FEMALE
Adelie,Torgersen,37.7,15.5,181.9,3176.6,FEMALE
Adelie,Biscoe,37.2,19.8,184.3,3346.1,MALE
Adelie,Biscoe,36.3,15.1,215.4,3410.8,FEMALE
Gentoo,Dream,44.8,14.7,220.3,4637.7,FEMALE
Adelie,Biscoe,40.6,14.8,185.3,4165.5,FEMALE
Adelie,Torgersen,37.7,15.3,216.5,4474.7,MALE
Gentoo,Biscoe,48.1,15.6,215.7,4463.6,FEMALE
Gentoo,Biscoe,44.7,14.7,217.8,4209.1,FEMALE
Chinstrap,Dream,45.5,18.7,185.2,3492.8,FEMALE
Gentoo,Dream,45.1,15.2,214.4,4407.2,MALE
Gentoo,Biscoe,47.6,15.1,217.1,4869.8,FEMALE
Gentoo,Biscoe,42.0,14.9,213.6,4995.2,FEMALE
Gentoo,Biscoe,48.2,15.2,213.6,4620.8,FEMALE
Adelie,Torgersen,36.7,19.4,187.3,3321.4,MALE
Gentoo,Biscoe,45.2,14.8,211.1,4220.4,FEMALE
Adelie,Biscoe,37.8,16.0,215.3,4379.8,FEMALE
Adelie,Dream,45.2,18.9,184.4,4158.6,MALE
Gentoo,Biscoe,44.9,15.3,217.6,4181.6,FEMALE
Gentoo,Biscoe,45.4,14.9,226.0,4585.8,FEMALE
Gentoo,Biscoe,46.7,15.3,213.8,4497.9,MALE
Chinstrap,Dream,52.0,20.5,202.3,5749.0,MALE
Adelie,Biscoe,37.5,19.0,181.3,3147.4,FEMALE
Gentoo,Biscoe,46.0,15.2,223.7,4981.9,MALE
Chinstrap,Dream,45.2,19.4,213.3,4344.6,FEMALE
Adelie,Dream,37.4,19.2,194.7,3364.6,MALE
Gentoo,Biscoe,45.9,14.7,215.3,4900.6,FEMALE
Adelie,Biscoe,37.1,19.3,187.2,3392.6,FEMALE
Gentoo,Biscoe,46.3,18.4,198.2,4447.9,MALE
Chinstrap,Dream,36.1,19.6,184.7,4310.4,MALE
Gentoo,Biscoe,44.9,15.0,214.4,4435.3,FEMALE
Gentoo,Biscoe,45.4,15.3,210.7,4566.4,FEMALE
Gentoo,Biscoe,45.3,15.3,216.7,4614.6,MALE
Adelie,Biscoe,38.0,18.6,188.2,3734.3,MALE
Adelie,Torgersen,43.4,19.1,188.8,3620.6,MALE
Adelie,Torgersen,37.2,15.4,187.9,3365.1,FEMALE
Gentoo,Biscoe,46.4,14.5,220.9,4880.0,FEMALE
Gentoo,Biscoe,43.0,14.6,218.9,4670.3,FEMALE
Gentoo,Biscoe,44.6,15.3,214.2,4191.0,FEMALE
Gentoo,Biscoe,47.4,15.3,212.3,4327.7,FEMALE
Gentoo,Biscoe,44.2,15.0,211.6,4164.4,FEMALE
Gentoo,Biscoe,44.6,15.2,211.4,4077.1,FEMALE
Adelie,Torgersen,36.3,19.4,184.6,3459.4,FEMALE
Chinstrap,Dream,48.3,19.2,186.1,3430.6,FEMALE
Gentoo,Biscoe,45.8,16.4,212.7,5122.0,MALE
Chinstrap,Dream,49.2,18.7,187.8,3057.7,FEMALE
Gentoo,Biscoe,46.8,15.4,215.9,4544.3,FEMALE
Gentoo,Biscoe,44.9,15.0,186.8,3407.8,FEMALE
Adelie,Dream,39.9,19.9,186.1,4336.4,MALE
Gentoo,Biscoe,45.5,15.3,218.2,4674.6,FEMALE
Gentoo,Biscoe,44.6,14.5,178.4,2741.2,FEMALE
Gentoo,Biscoe,44.9,15.2,215.7,4326.4,FEMALE
Adelie,Torgersen,37.8,19.7,184.2,3326.8,FEMALE
Gentoo,Biscoe,44.9,15.1,210.5,4403.8,FEMALE
Gentoo,Biscoe,47.3,15.8,215.4,4856.3,MALE
Gentoo,Biscoe,47.0,15.1,218.4,4427.1,MALE
Chinstrap,Dream,45.2,14.9,188.9,3204.0,FEMALE
Gentoo,Biscoe,50.7,15.4,216.4,4840.6,MALE
Adelie,Biscoe,47.5,19.5,188.0,3628.3,MALE
Adelie,Biscoe,36.9,18.5,184.9,3121.7,FEMALE
Chinstrap,Dream,47.4,20.1,213.7,3483.0,MALE
Gentoo,Biscoe,38.0,19.3,214.4,4770.6,MALE
Adelie,Biscoe,38.0,18.4,187.1,3348.5,MALE
Chinstrap,Dream,46.8,19.2,186.9,3502.5,FEMALE
Gentoo,Biscoe,44.8,14.9,211.3,4142.7,FEMALE
Adelie,Biscoe,38.1,14.5,193.1,4457.0,FEMALE
Gentoo,Biscoe,44.8,15.1,212.1,4170.3,MALE
Gentoo,Biscoe,44.1,15.0,216.5,4452.8,FEMALE
Adelie,Torgersen,37.5,19.9,186.7,3407.8,MALE
