,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
0,Adelie,Dream,37.53823109204262,18.275934682966017,189.15179700941607,3124.383963010395,MALE
1,Adelie,Dream,36.18355942037603,18.479178925338637,190.12842092228465,3384.6599804702573,FEMALE
2,Adelie,Torgersen,36.60306906391926,18.673642396942714,187.789181921773,3120.5108250285884,MALE
3,Gentoo,Biscoe,45.27425576766096,15.010871187969508,219.08009923677022,4364.343466212402,FEMALE
4,Adelie,Dream,36.53623653407379,18.2794686026988,185.6478116012166,2996.5699681332035,FEMALE
5,Adelie,Dream,36.517806216252296,18.270646738003922,187.52671260975188,3233.7599779252964,FEMALE
6,Adelie,Biscoe,36.18265506751158,17.68201136734085,173.93382822862358,3184.4494708911,FEMALE
7,Adelie,Dream,36.55461951510505,17.948789030877318,186.93963172420402,3136.1596600186404,MALE
8,Gentoo,Biscoe,45.512755338526254,14.352966615155974,213.0209347738078,4223.026864378145,FEMALE
9,Chinstrap,Dream,49.999802873247106,18.635352807318796,186.91984792101178,4351.121087805273,MALE
10,Adelie,Torgersen,42.892647628772934,14.362189009451475,187.77593754580928,4134.385023589505,FEMALE
11,Gentoo,Biscoe,44.90992244958451,14.255122149306157,217.54537429435825,4178.255010284287,FEMALE
12,Gentoo,Biscoe,45.40898756850747,14.763022569201993,218.52182456558967,4627.40212061877,FEMALE
13,Gentoo,Biscoe,44.89949837509684,14.301928524108908,216.88392494264787,4642.147937830236,FEMALE
14,Adelie,Biscoe,37.29410298342435,18.764843907022556,189.28716063039198,3492.545332544822,MALE
15,Adelie,Torgersen,35.42110525857325,16.71692637798554,189.89576174595473,3360.3190727853007,MALE
16,Chinstrap,Torgersen,44.18856192675116,18.428622340700535,194.14604263829946,4523.4095953743035,MALE
17,Adelie,Biscoe,35.486485071865175,18.132124924227163,183.48679024873007,3073.7315296913284,FEMALE
18,Chinstrap,Dream,45.68443155344898,18.207767597847077,187.88652538542405,3653.582025893193,FEMALE
19,Chinstrap,Dream,48.20611701540405,19.18951321656371,223.14152813495056,3605.7874080040983,MALE
20,Adelie,Torgersen,36.92768185973579,17.700275517100387,185.66583574261534,3423.2863989940083,FEMALE
21,Adelie,Biscoe,45.072210542844445,17.0775843911179,218.58499994837598,3503.1916471299483,MALE
22,Chinstrap,Dream,49.46766065615656,19.075364080992273,189.73558561023515,3317.1284659074818,MALE
23,Adelie,Dream,36.11372712786037,18.745495545660443,187.43188162095032,3001.3921173549206,MALE
24,Gentoo,Biscoe,48.78920538948401,15.090609981709674,219.1795833616771,5318.699387534184,MALE
