,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
0,Gentoo,Biscoe,47.143308513223644,15.52892659669271,212.73612340373393,4656.150154329409,FEMALE
1,Gentoo,Biscoe,45.0216859009985,15.738451817980462,213.22978830932954,4417.378570298032,FEMALE
2,Gentoo,Biscoe,44.63644998512569,14.27313711547962,212.24244957976268,4209.288145999659,FEMALE
3,Adelie,Dream,37.8576202168521,19.130928882294775,182.13562136405832,3282.661472841834,FEMALE
4,Adelie,Dream,37.34318640986293,19.174735312234393,182.9612478232838,3135.027035553534,FEMALE
5,Gentoo,Biscoe,45.0429202871737,15.558953972289652,217.80545118738817,4657.037839606392,FEMALE
6,Adelie,Biscoe,45.12690506393866,15.392866330713714,183.1267031254243,3455.387710074029,FEMALE
7,Adelie,Torgersen,37.75753316087954,19.29908015071964,181.46082428039864,3435.4255082341356,FEMALE
8,Chinstrap,Dream,45.23969311648594,19.264350894711484,185.35659620397482,3405.020975020849,FEMALE
9,Gentoo,Biscoe,45.679241136594506,15.593548898324086,211.18363377125934,4585.021000636566,FEMALE
10,Gentoo,Dream,44.97697737656979,15.42656704194708,214.86671577636994,4865.501194911716,FEMALE
11,Gentoo,Biscoe,48.18335624485377,16.403723712084137,213.44852754226022,5368.866734182862,MALE
12,Gentoo,Dream,47.77703808845878,15.105079991070097,199.77178809500552,4642.167358547613,MALE
13,Adelie,Dream,37.60880753655281,20.25970063852883,184.18608690298134,3521.4944863095066,MALE
14,Chinstrap,Dream,48.371633481127056,19.227935378185336,213.82783851109255,4599.09328456055,MALE
15,Chinstrap,Dream,48.71348989191057,19.624888774023347,209.838476520071,4554.6875250105095,FEMALE
16,Gentoo,Biscoe,44.9934150361854,15.318002961100621,209.98589911746166,4162.739710146699,FEMALE
17,Adelie,Biscoe,40.723326332503504,19.306442558206268,181.12331007281716,3174.831660376527,FEMALE
18,Adelie,Dream,37.072372431766546,19.177011820997944,180.0724519730304,3079.4974078400205,FEMALE
19,Gentoo,Biscoe,47.48019228543177,16.072085698446543,214.87464109931253,4894.839514853132,FEMALE
20,Chinstrap,Dream,47.891517504094224,18.846149476226138,184.34665745048463,3542.5775724779623,FEMALE
21,Gentoo,Biscoe,45.08102791547022,15.333246677775456,207.67303018750692,4218.362858943602,FEMALE
22,Gentoo,Biscoe,45.352995357645476,15.342995479092265,218.8752875800243,4244.396823908571,FEMALE
23,Gentoo,Biscoe,45.7630246081556,19.28878479838205,213.62668993279226,3209.420719401935,MALE
24,Adelie,Dream,37.00734689634564,19.219291624621807,195.00275583761103,3536.6715340736473,MALE
25,Adelie,Torgersen,38.05956066165797,19.442925942960418,184.59286373931477,3478.2452811432504,FEMALE
26,Adelie,Dream,37.04568832351121,19.01858587168209,178.80178508786918,2974.3758949731264,FEMALE
27,Adelie,Torgersen,37.24589311808895,18.79355020376302,183.4453120824739,3417.0404069632605,FEMALE
28,Gentoo,Biscoe,45.25384516986931,15.323496253539021,212.35899255707204,3495.9197136850953,FEMALE
29,Gentoo,Biscoe,45.37822416116508,15.645153034250066,210.42437324424327,4322.88856669208,FEMALE
30,Gentoo,Biscoe,45.383807843574395,15.477523235665505,215.98281969640817,4722.249820087234,FEMALE
31,Gentoo,Biscoe,44.237445928122185,15.023127158018093,201.16884136074586,4152.600896328204,FEMALE
32,Gentoo,Biscoe,47.46887380219176,16.05597343306389,213.0103285389541,4673.202291381073,FEMALE
33,Gentoo,Biscoe,47.39836558820483,15.92451969045042,212.57951100594664,4358.729163986752,FEMALE
34,Gentoo,Biscoe,45.139917261313514,15.482180064496726,222.66088028379812,4898.478811729714,FEMALE
35,Adelie,Torgersen,36.773220361356266,15.932491901544552,188.03311092895848,4133.225509084367,FEMALE
36,Adelie,Dream,40.252456685473305,19.03802341423482,184.59313807871104,3387.674058417377,FEMALE
37,Gentoo,Biscoe,45.419881008917855,15.454722221824941,213.46114304737523,4594.340230850435,FEMALE
38,Gentoo,Biscoe,45.37069729092125,15.60304069284599,209.6824333806549,4346.513323411883,FEMALE
39,Gentoo,Torgersen,47.65385021779512,14.785810578757694,216.0549366950598,4852.579602027394,MALE
40,Chinstrap,Biscoe,47.50194915414901,19.93738346705887,185.05127722634705,4491.703442918957,MALE
41,Gentoo,Biscoe,44.74682267348803,15.619925446976577,210.71022872282026,4237.7453340551165,FEMALE
42,Adelie,Dream,37.86910398444478,19.21418120879983,187.32452488626842,3491.984968273803,MALE
43,Gentoo,Biscoe,47.15059003848605,15.965253154540369,211.38903473203638,4261.6319543449,MALE
44,Adelie,Dream,37.411080257486795,19.970754218679097,184.8807046316058,3123.955531570512,MALE
45,Adelie,Dream,37.52084150812165,19.526082404420727,182.5807516664526,3378.4520591556884,MALE
46,Gentoo,Biscoe,45.19796093640161,15.50923258296511,210.64895106848368,4491.365233381779,FEMALE
47,Chinstrap,Dream,48.046825991018956,18.920481823366377,212.030607364234,3516.538715155786,FEMALE
48,Adelie,Biscoe,45.120188697999616,15.725874348374132,219.0208465539836,3449.823084274008,FEMALE
49,Adelie,Dream,44.9695563749533,19.372147814117152,188.90625238881688,3514.36281996668,FEMALE
50,Gentoo,Biscoe,47.05142380737845,19.37333286410327,215.2028384173124,3461.463692657293,FEMALE
51,Adelie,Torgersen,36.78124386122045,19.007096914665883,189.43146485365682,4475.052282294668,FEMALE
52,Adelie,Torgersen,36.33657285278925,19.2101387795587,180.20882976999698,3195.630088147947,FEMALE
53,Gentoo,Biscoe,45.63545492902342,15.629723214673803,213.50921910787193,4640.041732332458,FEMALE
54,Adelie,Biscoe,37.749018910209095,19.26834358196915,190.8898142809615,4339.6253429097305,MALE
55,Gentoo,Biscoe,45.329056890159414,15.613220593728391,211.84842463726355,4625.011943833818,MALE
56,Adelie,Dream,36.793516777215686,19.36696840901511,179.49899661904402,3181.022720597724,MALE
57,Chinstrap,Dream,45.1591860048246,19.620925719420505,210.087534945722,4431.3879343210065,FEMALE
58,Gentoo,Biscoe,45.334659973768744,15.59905763891317,211.0015954210118,4324.6443497334485,FEMALE
59,Gentoo,Biscoe,45.00620884933514,15.280484472104016,209.1342043383388,4164.237896957159,FEMALE
