,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
0,Adelie,Biscoe,41.19966344972047,19.79865360664205,180.78999443505288,3281.6889467292976,FEMALE
1,Adelie,Biscoe,36.9364949954404,18.777904861734633,191.75405895174916,3455.227958736658,FEMALE
2,Chinstrap,Dream,37.30235715618348,19.109731356258404,185.58324855395907,3259.620333819951,FEMALE
3,Gentoo,Dream,44.72802724623852,15.015970918670424,189.77658966561643,4272.1971696014225,FEMALE
4,Adelie,Dream,37.36455087878157,18.77023105414878,191.45409661956748,3240.715725493259,MALE
5,Adelie,Dream,47.10084855323794,19.17956757824649,216.27242538816537,3679.852061301297,FEMALE
6,Chinstrap,Dream,49.86629900346584,19.124833020089415,194.93131864947745,3591.7908903850134,FEMALE
7,Gentoo,Biscoe,45.49999268645293,15.305800289270213,221.2932086347462,4862.936750361971,FEMALE
8,Adelie,Torgersen,37.805256121577514,19.11134127907309,185.56375549911107,3340.268710792359,FEMALE
9,Gentoo,Biscoe,45.036323444435915,15.424006197545735,215.27243659978086,4276.158291800383,FEMALE
10,Gentoo,Biscoe,45.16850610903722,15.24171066603972,186.09161254601918,4636.101162267652,FEMALE
11,Chinstrap,Dream,48.55234244058298,18.97937947575371,222.96198635274203,4777.390662768182,MALE
12,Gentoo,Biscoe,44.654591750055616,15.808456609520425,210.25546892846714,4692.041388397493,FEMALE
13,Gentoo,Biscoe,44.57019332860791,14.975418275691094,188.1938891360001,3333.374590562559,FEMALE
14,Gentoo,Biscoe,45.76114102752569,15.578523785270374,181.90408821089952,4616.275311985512,FEMALE
15,Chinstrap,Biscoe,47.64848519709662,18.768640910831728,187.48013690270207,3219.4408251314944,MALE
16,Adelie,Dream,38.55558749720449,18.961714413208014,186.8739334558991,3676.9890786343194,MALE
17,Adelie,Torgersen,36.84547638059079,19.349303363313858,181.72584891935904,3986.0784617573154,FEMALE
18,Gentoo,Biscoe,44.93518783447217,15.777716887529158,210.66482453493754,4103.540573461663,FEMALE
19,Chinstrap,Dream,47.476926618189694,19.629610143297395,219.245621232862,3731.0940154288155,FEMALE
20,Adelie,Biscoe,36.760524190739304,19.20469625902761,185.00482146476497,3093.007334279416,FEMALE
21,Adelie,Dream,36.4813604749355,19.090447705360166,179.65529805486815,3092.2217927117654,FEMALE
22,Chinstrap,Dream,45.523583507274246,20.006652732763783,191.59826665357167,3726.720196094524,MALE
23,Adelie,Dream,38.53774290858177,19.7636829255338,190.55652423768942,4988.1745810645325,MALE
24,Gentoo,Biscoe,44.97621189703317,15.59551195552997,210.8437556188045,4143.095387367093,FEMALE
25,Gentoo,Biscoe,44.981765873686086,14.41308098458199,216.249073753933,4314.332079670986,FEMALE
26,Gentoo,Biscoe,45.20400605887701,14.864136241990215,215.47286014050164,4651.804900336427,FEMALE
27,Adelie,Torgersen,36.95912033544469,19.305673952640824,185.21614887441007,4657.431804027055,MALE
28,Adelie,Dream,37.92004973769991,19.309664256733658,190.95960374551035,3451.4569205607636,FEMALE
29,Gentoo,Dream,45.17527661419702,18.834320092590374,211.02364115616035,3152.4126605630636,FEMALE
30,Adelie,Dream,44.90258798169488,18.870782368284928,185.92737603004994,3338.4924346128682,FEMALE
31,Chinstrap,Dream,48.847075030757914,19.80938624439151,215.5558811494747,4776.08161059786,FEMALE
32,Gentoo,Biscoe,47.740348337993716,15.962010380660827,216.50445214178853,4772.144799468999,MALE
33,Chinstrap,Dream,50.97978040512986,19.435593452284518,187.20454663816776,3534.7389131174523,MALE
34,Gentoo,Biscoe,45.61581825794218,15.05177056827896,214.55150257207356,4552.129667938832,MALE
35,Adelie,Dream,36.71877004245863,19.20368119217645,182.57482662731837,3038.711667884937,FEMALE
36,Gentoo,Biscoe,44.725687485550154,15.365629770140504,213.69526234141372,4245.724159651402,FEMALE
37,Chinstrap,Dream,47.2572804193656,18.902035521108186,216.52663537730496,4313.395258722305,MALE
38,Gentoo,Biscoe,44.97520690567878,15.632312871859911,209.12807359664237,4608.069996989283,FEMALE
39,Gentoo,Biscoe,50.58988712337315,15.680488961806944,223.77063165047554,5722.295815197412,FEMALE
40,Gentoo,Biscoe,45.17515950517121,18.6612712303235,215.56552980554704,3684.378210987625,FEMALE
41,Gentoo,Biscoe,41.00847782503115,15.51799692100676,219.51335908507218,4602.002660161725,FEMALE
42,Gentoo,Biscoe,45.13255330572115,15.733239477471221,214.26974691062114,4732.611476374673,FEMALE
43,Adelie,Torgersen,36.895744900499515,15.276773486935712,183.5561539878311,4214.996387554586,FEMALE
44,Gentoo,Biscoe,44.688585038031746,15.503739527919178,216.8749017106554,3436.503954556508,FEMALE
45,Gentoo,Biscoe,44.390735143099306,15.049845233560205,215.29978990471082,4638.103935755766,FEMALE
46,Chinstrap,Dream,45.74639645870996,18.725327183404378,186.38680007734126,3420.997073126642,FEMALE
47,Gentoo,Biscoe,45.338051060131875,15.564871212810148,215.37660126815615,4722.245336963701,FEMALE
48,Gentoo,Biscoe,37.11433070957014,15.425102193230764,211.76249167617092,4404.413449605,FEMALE
49,Gentoo,Biscoe,36.716426205497726,14.834222210699776,181.38764854283775,3963.4053501414537,FEMALE
50,Chinstrap,Dream,48.592046771464275,18.487070618244676,187.85925320358436,4567.353215986763,MALE
51,Adelie,Dream,42.10365365734541,19.06621761430553,187.5872263837459,3548.919214704246,MALE
52,Gentoo,Biscoe,45.20782438749495,15.73955930212883,217.63392778120135,4932.956113884179,FEMALE
53,Chinstrap,Torgersen,47.18260891755179,15.310576048238275,189.69001603827544,3463.9205946622724,FEMALE
54,Gentoo,Biscoe,44.95498909869324,20.036110251607823,198.4445205657158,4069.3141809466197,FEMALE
55,Chinstrap,Dream,48.12079979964472,19.65847228611084,197.09832578722296,3850.8078283513073,MALE
56,Gentoo,Biscoe,45.22793722448064,17.07295747718407,215.23668201457963,5002.461581002514,MALE
57,Adelie,Torgersen,38.20086509810641,18.78704919633341,186.82859173859126,3603.0600849027965,FEMALE
58,Gentoo,Torgersen,45.861739382549075,20.94005180871517,216.43672330818362,4858.334998314861,MALE
59,Chinstrap,Dream,48.76919036455517,19.7250950689342,186.54415196339113,4315.556407265201,MALE
60,Adelie,Dream,37.69422993726753,19.121812090866733,201.37053654278546,4090.8153930177323,MALE
61,Adelie,Dream,37.11053164148855,19.571564329276377,187.64008537517796,3638.0960658711983,MALE
62,Adelie,Dream,37.08699249039171,18.812636930256645,186.53695253647282,3410.124127914592,FEMALE
63,Chinstrap,Dream,48.04601460431964,19.032656986811983,207.27830153006624,4257.973915776225,FEMALE
64,Chinstrap,Dream,47.736378929948074,20.119049509702073,186.08494573215992,3597.0258901091242,FEMALE
65,Adelie,Biscoe,37.34553344323637,19.114683767561402,185.95189587168713,3144.716153327295,MALE
66,Adelie,Dream,47.14744030280743,19.76765667417172,184.608608420229,4460.632903242251,MALE
67,Chinstrap,Dream,45.67370844997378,20.050125539141593,183.4684933082991,3567.383052323286,FEMALE
68,Gentoo,Biscoe,44.726146827355734,14.220078929057994,204.04964918769966,4068.6693230137907,FEMALE
69,Adelie,Biscoe,37.02230636740975,19.2651606361598,181.0532610814201,3061.3116123658015,MALE
70,Adelie,Dream,47.600117436863165,19.94190651969868,201.30456592122516,3800.3225297260688,FEMALE
71,Adelie,Dream,45.37711699842149,17.844585484243055,221.09875893991583,3653.7166520766905,FEMALE
72,Adelie,Biscoe,37.28975609002506,17.84893088434913,191.41469335686307,3621.1474584541993,FEMALE
73,Gentoo,Biscoe,45.05856662064477,15.25624728656564,220.63654791954528,4691.332716851867,FEMALE
74,Gentoo,Biscoe,48.050638695999545,17.293157645401465,217.57566068298144,5198.143459691423,MALE
75,Gentoo,Biscoe,44.625420620335056,15.471568674383132,211.1302105602667,4697.423237051357,FEMALE
76,Chinstrap,Dream,51.62094432976221,20.07494793267524,220.15421406541935,3662.1959203208194,MALE
