species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Gentoo,Biscoe,48.7,15.1,221.5,5821.8,MALE
Chinstrap,Dream,49.9,19.5,196.3,3720.5,MALE
Chinstrap,Dream,50.2,18.1,188.4,3545.8,FEMALE
Gentoo,Biscoe,59.6,13.1,172.0,6300.0,MALE
Gentoo,Biscoe,46.3,16.2,216.6,4782.1,MALE
Chinstrap,Dream,43.4,18.0,194.1,3633.5,FEMALE
Adelie,Torgersen,41.2,18.7,192.0,3827.9,MALE
Adelie,Dream,36.0,18.6,188.4,3463.7,FEMALE
Adelie,Dream,39.5,17.9,189.0,3953.9,MALE
Adelie,Dream,59.6,13.1,172.0,2700.0,FEMALE
Adelie,Torgersen,41.7,18.9,191.9,3819.4,MALE
Adelie,Torgersen,36.4,18.5,190.0,3600.2,FEMALE
Chinstrap,Dream,45.2,16.5,202.4,3889.2,FEMALE
Adelie,Torgersen,38.2,18.4,190.3,3713.2,MALE
Gentoo,Biscoe,45.7,14.1,215.7,4999.1,FEMALE
Chinstrap,Dream,46.2,18.9,195.7,3593.0,MALE
Gentoo,Biscoe,49.3,16.3,220.6,5685.0,MALE
Adelie,Dream,40.2,18.8,190.1,4510.8,MALE
Adelie,Torgersen,35.6,14.7,176.5,2979.0,FEMALE
Gentoo,Biscoe,49.7,16.9,227.4,6244.7,MALE
Gentoo,Biscoe,59.6,19.4,231.0,6300.0,MALE
Adelie,Torgersen,37.0,19.0,191.5,3360.0,FEMALE
Adelie,Dream,38.2,18.9,196.1,3922.7,MALE
Gentoo,Biscoe,56.1,19.4,229.0,6023.9,MALE
Adelie,Torgersen,41.6,17.6,200.8,4549.4,MALE
Gentoo,Biscoe,47.2,14.2,215.7,6268.1,MALE
Adelie,Dream,46.1,21.5,197.2,5277.9,MALE
Gentoo,Biscoe,45.9,15.4,213.9,5280.4,MALE
Adelie,Dream,39.2,18.6,190.5,4358.6,MALE
Chinstrap,Dream,49.0,19.5,194.0,4420.0,MALE
Gentoo,Biscoe,45.1,15.1,211.4,3874.6,FEMALE
Adelie,Biscoe,38.9,21.5,172.0,2700.0,FEMALE
Chinstrap,Dream,46.7,19.3,191.5,3650.3,MALE
Gentoo,Biscoe,44.9,13.1,218.9,4767.1,FEMALE
Gentoo,Biscoe,46.0,13.6,211.4,4489.6,FEMALE
Gentoo,Biscoe,48.9,14.5,220.8,4825.5,FEMALE
Adelie,Dream,40.1,20.1,187.9,4724.7,MALE
Gentoo,Biscoe,59.6,13.1,229.7,6300.0,FEMALE
Gentoo,Biscoe,45.9,14.4,212.9,4819.2,FEMALE
Adelie,Biscoe,36.6,16.8,187.6,3264.0,FEMALE
Chinstrap,Dream,47.6,18.2,207.2,3657.4,MALE
Adelie,Torgersen,36.3,19.6,190.8,3543.6,MALE
Adelie,Biscoe,45.2,17.8,196.9,4429.6,MALE
Gentoo,Biscoe,47.8,18.0,223.8,4989.8,MALE
Gentoo,Torgersen,59.6,21.5,172.0,6300.0,MALE
Adelie,Torgersen,36.3,17.9,190.1,3404.8,FEMALE
Adelie,Torgersen,34.8,18.5,190.7,3651.9,FEMALE
Adelie,Biscoe,41.2,19.3,196.3,4262.3,MALE
Adelie,Dream,43.9,19.2,189.2,4071.5,MALE
Gentoo,Biscoe,43.6,14.6,191.4,4015.9,FEMALE
Chinstrap,Dream,48.6,18.8,189.8,3693.1,FEMALE
Adelie,Dream,38.2,18.2,190.6,3272.0,FEMALE
Adelie,Torgersen,38.6,16.8,201.0,4090.2,FEMALE
Gentoo,Biscoe,47.0,13.1,231.0,6300.0,FEMALE
Gentoo,Biscoe,48.3,14.4,208.8,4660.1,FEMALE
Gentoo,Biscoe,59.6,13.1,215.6,6300.0,FEMALE
Adelie,Biscoe,39.1,20.1,196.2,4410.3,MALE
Gentoo,Biscoe,45.9,14.5,209.9,4306.1,FEMALE
Gentoo,Biscoe,50.5,17.1,230.8,5312.5,MALE
Gentoo,Biscoe,45.6,14.3,210.5,4375.6,FEMALE
Adelie,Torgersen,35.2,17.3,187.3,3365.1,FEMALE
Adelie,Biscoe,37.3,17.9,192.5,4093.2,FEMALE
Adelie,Torgersen,41.5,18.3,198.1,4013.1,MALE
Gentoo,Biscoe,46.9,17.7,219.1,5712.5,MALE
Chinstrap,Dream,58.5,21.1,215.5,4322.4,MALE
Chinstrap,Dream,50.2,19.0,195.6,4161.9,MALE
Gentoo,Biscoe,49.5,17.3,229.0,4749.2,MALE
Adelie,Biscoe,32.3,21.5,172.0,3037.0,FEMALE
Chinstrap,Dream,49.5,19.0,200.5,3589.2,MALE
Gentoo,Biscoe,45.7,13.6,220.3,4728.2,MALE
Adelie,Dream,40.3,21.5,193.1,4464.8,MALE
Adelie,Torgersen,37.3,18.5,186.9,3449.3,FEMALE
Adelie,Torgersen,37.7,19.1,191.1,3975.3,MALE
Adelie,Torgersen,35.8,18.3,190.2,3685.6,FEMALE
Gentoo,Biscoe,59.6,16.2,231.0,6300.0,MALE
Gentoo,Biscoe,59.6,21.5,231.0,6300.0,MALE
Adelie,Biscoe,32.2,21.5,172.0,2700.0,FEMALE
Adelie,Dream,41.0,18.7,191.8,4130.1,MALE
Adelie,Dream,52.6,21.5,172.0,3080.6,MALE
Adelie,Torgersen,35.2,19.7,187.5,3222.6,FEMALE
Gentoo,Biscoe,49.3,17.3,213.9,4742.0,MALE
Adelie,Biscoe,36.6,18.7,184.1,3807.2,MALE
Gentoo,Biscoe,49.7,14.4,216.5,4877.3,MALE
Adelie,Dream,40.2,17.1,191.0,3349.2,FEMALE
Adelie,Torgersen,59.6,21.5,172.0,6300.0,MALE
Adelie,Dream,32.1,17.4,188.0,2700.0,FEMALE
Chinstrap,Dream,47.2,13.1,172.0,2700.0,FEMALE
Gentoo,Biscoe,46.1,14.4,209.8,5132.2,MALE
Gentoo,Biscoe,46.6,14.3,208.9,4841.1,FEMALE
Adelie,Dream,38.1,15.6,174.1,3406.5,FEMALE
Adelie,Biscoe,32.1,21.5,172.0,3318.0,FEMALE
Adelie,Biscoe,37.9,18.8,191.4,3641.4,MALE
Adelie,Torgersen,42.2,21.5,193.5,3921.9,MALE
Adelie,Dream,38.3,18.5,181.1,3565.3,FEMALE
Adelie,Biscoe,38.1,18.6,187.2,3446.7,FEMALE
Adelie,Biscoe,37.9,17.8,195.4,3894.3,FEMALE
Gentoo,Biscoe,47.2,16.3,223.0,5165.9,MALE
Gentoo,Biscoe,46.2,14.6,205.8,4228.9,FEMALE
Adelie,Biscoe,32.3,21.5,172.0,2700.0,MALE
Adelie,Dream,40.5,17.6,190.3,2912.3,FEMALE
Adelie,Torgersen,46.3,16.0,201.3,4362.2,MALE
Gentoo,Biscoe,59.6,13.1,231.0,6300.0,FEMALE
Adelie,Torgersen,43.3,19.5,195.5,4611.2,MALE
Gentoo,Biscoe,40.4,13.5,231.0,6300.0,MALE
Adelie,Torgersen,39.3,18.3,215.2,4533.7,MALE
Adelie,Biscoe,39.7,18.6,191.7,4918.6,MALE
Gentoo,Biscoe,44.8,14.8,211.0,4879.4,FEMALE
Gentoo,Biscoe,48.8,15.1,230.8,5519.8,MALE
Adelie,Torgersen,38.4,18.6,188.5,3986.5,MALE
Gentoo,Biscoe,59.6,14.4,231.0,5407.4,MALE
Adelie,Dream,38.4,19.3,190.6,3667.2,MALE
Adelie,Dream,50.7,21.5,172.0,4620.6,MALE
Adelie,Dream,36.4,18.9,187.6,4079.5,MALE
Gentoo,Biscoe,32.1,13.1,231.0,6300.0,FEMALE
Adelie,Torgersen,38.4,19.5,195.5,4038.8,MALE
Chinstrap,Dream,49.1,18.6,191.6,3601.4,MALE
Chinstrap,Dream,59.6,18.9,187.2,4896.8,MALE
Adelie,Dream,40.4,19.5,190.7,4574.9,MALE
Chinstrap,Dream,51.3,18.9,191.0,3488.3,MALE
Gentoo,Biscoe,40.6,13.1,210.9,3866.4,FEMALE
Adelie,Torgersen,39.7,18.9,195.8,3880.7,MALE
Gentoo,Biscoe,40.9,13.1,231.0,3933.4,FEMALE
Gentoo,Biscoe,45.3,15.8,217.0,5610.7,MALE
Gentoo,Biscoe,47.1,13.1,227.0,5470.6,MALE
Adelie,Dream,37.5,18.6,191.9,3839.2,MALE
Adelie,Biscoe,37.8,18.7,186.6,3357.8,FEMALE
Gentoo,Biscoe,59.6,13.9,192.1,6300.0,MALE
Gentoo,Biscoe,44.5,13.1,210.0,4837.1,FEMALE
Chinstrap,Dream,50.2,19.5,209.7,4219.6,MALE
Adelie,Biscoe,36.2,18.2,191.6,3833.5,FEMALE
Adelie,Biscoe,43.6,17.7,213.2,5618.9,MALE
Adelie,Dream,39.6,17.8,192.1,3371.0,FEMALE
Adelie,Dream,37.5,17.7,191.9,3562.0,MALE
Chinstrap,Dream,44.8,17.6,193.0,4084.4,FEMALE
Adelie,Torgersen,38.9,18.8,191.1,3995.2,MALE
Adelie,Dream,32.4,18.3,189.8,2700.0,FEMALE
Adelie,Biscoe,40.3,18.0,192.6,3800.8,MALE
Gentoo,Biscoe,39.6,13.1,194.5,4161.1,FEMALE
Adelie,Biscoe,41.7,18.2,196.4,4406.4,MALE
Adelie,Torgersen,35.8,17.0,188.0,2885.6,FEMALE
Adelie,Torgersen,32.5,18.8,191.5,3564.0,MALE
Gentoo,Biscoe,59.6,17.0,231.0,6244.4,MALE
Adelie,Dream,32.1,21.5,219.1,6300.0,FEMALE
Gentoo,Biscoe,46.5,15.1,224.5,5540.3,FEMALE
Gentoo,Biscoe,59.6,17.1,229.2,6300.0,MALE
Gentoo,Biscoe,45.2,15.0,213.2,3898.0,FEMALE
