species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Biscoe,39.3,16.9,197.0,4192.3,MALE
Gentoo,Biscoe,48.5,14.8,221.2,4876.2,FEMALE
Adelie,Biscoe,39.3,18.6,185.4,3631.4,MALE
Chinstrap,Dream,46.7,17.9,195.0,3300.0,FEMALE
Gentoo,Biscoe,45.7,13.9,214.0,4400.0,FEMALE
Gentoo,Biscoe,51.7,17.2,229.8,6291.7,MALE
Chinstrap,Dream,55.8,19.8,207.0,4000.0,MALE
Gentoo,Dream,50.4,16.9,222.7,4965.0,MALE
Adelie,Dream,39.2,18.6,190.0,4250.0,MALE
Gentoo,Biscoe,45.1,15.1,211.4,3874.6,FEMALE
Adelie,Dream,38.4,18.5,188.1,4079.7,MALE
Chinstrap,Dream,50.7,19.7,203.0,4050.0,MALE
Chinstrap,Dream,51.5,19.2,228.6,4715.8,MALE
Adelie,Dream,36.9,17.4,189.9,3530.7,FEMALE
Gentoo,Biscoe,44.9,14.4,210.5,4486.2,FEMALE
Adelie,Torgersen,36.6,17.8,185.0,3700.0,FEMALE
Chinstrap,Dream,50.0,19.5,196.0,3900.0,MALE
Gentoo,Biscoe,47.8,18.0,223.8,4989.8,MALE
Gentoo,Biscoe,47.7,15.0,216.0,4750.0,FEMALE
Chinstrap,Dream,49.6,21.3,197.3,4684.0,MALE
Chinstrap,Biscoe,41.9,17.9,190.3,4223.9,MALE
Adelie,Dream,40.1,16.2,185.9,3541.0,FEMALE
Gentoo,Biscoe,50.2,15.4,227.9,5800.3,MALE
Adelie,Dream,59.5,21.5,172.0,2700.0,MALE
Adelie,Dream,37.5,18.9,190.0,3401.3,FEMALE
Adelie,Torgersen,59.6,21.5,172.0,6167.7,MALE
Gentoo,Biscoe,50.8,17.3,228.0,5600.0,MALE
Chinstrap,Dream,49.5,17.6,191.6,3004.7,FEMALE
Adelie,Dream,40.6,17.2,187.0,3475.0,MALE
Gentoo,Biscoe,42.4,13.4,221.2,4737.6,FEMALE
Chinstrap,Dream,59.6,21.5,172.0,2700.0,MALE
Gentoo,Biscoe,50.1,13.7,213.1,5299.5,MALE
Chinstrap,Dream,50.6,18.6,209.7,3537.9,MALE
Adelie,Dream,36.9,16.4,179.7,2813.5,FEMALE
Gentoo,Biscoe,59.5,13.1,231.0,6290.9,MALE
Chinstrap,Dream,47.0,17.3,185.0,3700.0,FEMALE
Gentoo,Biscoe,43.1,14.3,216.8,5295.0,FEMALE
Chinstrap,Dream,59.6,21.5,195.5,4202.4,MALE
Adelie,Dream,40.5,18.5,195.1,3668.6,FEMALE
Adelie,Dream,38.2,18.6,185.5,3645.6,MALE
Gentoo,Biscoe,47.4,16.6,215.6,4894.2,MALE
Gentoo,Biscoe,59.6,21.3,231.0,6300.0,MALE
Adelie,Dream,35.9,18.9,178.8,2865.7,FEMALE
Adelie,Dream,59.6,21.5,172.0,2700.0,FEMALE
Adelie,Dream,39.5,18.9,190.5,3988.2,MALE
Adelie,Biscoe,37.7,16.0,183.0,3075.0,FEMALE
Gentoo,Biscoe,48.5,15.6,219.7,4947.1,MALE
Adelie,Biscoe,35.8,21.5,172.0,2700.0,FEMALE
