,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
0,Adelie,Biscoe,41.15428950466819,16.9,212.09033689172267,4626.048411090261,MALE
1,Adelie,Biscoe,36.46020033787622,21.5,172.0,2700.0,MALE
2,Gentoo,Biscoe,47.58723731981366,13.321985668785368,218.5637952332877,4734.850451797181,FEMALE
3,Adelie,Dream,45.7,17.9,193.97922093715576,3738.5398828836633,MALE
4,Adelie,Torgersen,38.473829661409624,18.6,191.8627291322407,3868.05030773995,MALE
5,Adelie,Biscoe,33.688923691923,16.92620611126284,188.9593378767505,3412.9542525365737,FEMALE
6,Adelie,Dream,39.212346145796324,18.6,189.99916014020548,3911.8626484767683,MALE
7,Adelie,Biscoe,36.38379994902111,18.312978063487552,191.0,3889.144040771055,MALE
8,Gentoo,Biscoe,59.6,17.55181492459737,215.309404009736,6058.10965620314,MALE
9,Gentoo,Biscoe,45.923189631179746,13.1,214.56452235665725,4846.2084322992205,MALE
10,Gentoo,Biscoe,59.6,21.5,231.0,6300.0,MALE
11,Adelie,Dream,39.021695434729494,18.9,192.0283617988494,4567.735861458619,MALE
12,Gentoo,Biscoe,50.03020445226617,14.446322402931411,227.82855656365146,5173.079736286988,MALE
13,Adelie,Torgersen,39.33294076319793,18.9,193.2282099980986,4035.293342043361,MALE
14,Adelie,Torgersen,43.17484925342509,18.8,194.40568000287385,3932.2984531349503,MALE
15,Adelie,Dream,32.1,21.5,172.0,2700.0,MALE
16,Gentoo,Torgersen,59.6,21.5,231.0,6300.0,MALE
17,Adelie,Dream,45.7,19.1,191.01446138076201,4028.4490699860658,MALE
18,Gentoo,Biscoe,47.21471696455935,14.236074616816628,215.6508096600481,6268.065853145505,MALE
19,Adelie,Torgersen,59.6,21.5,231.0,2700.0,MALE
20,Adelie,Torgersen,37.3146007561414,18.5,186.90659219689616,3449.3485797822505,FEMALE
21,Gentoo,Biscoe,59.6,13.1,189.85253251032572,6300.0,FEMALE
22,Adelie,Torgersen,44.51226626310954,18.8,187.51135424388943,3400.964538084362,MALE
23,Adelie,Dream,42.474654026265156,17.9,190.66052826578817,3494.5095728000347,MALE
24,Gentoo,Biscoe,59.6,21.5,231.0,5711.285918384099,MALE
25,Adelie,Torgersen,41.23077562887109,18.7,191.98665572389422,3827.9171736645067,MALE
26,Adelie,Torgersen,41.04390314937979,18.6,191.76503237312707,3725.428264142799,MALE
27,Adelie,Dream,36.4219217124304,16.304982166915856,186.9476086468158,3353.2419667994063,FEMALE
28,Adelie,Torgersen,32.90202947682569,18.897635398042663,181.22657892068406,3411.5063642425334,FEMALE
29,Gentoo,Dream,59.6,21.5,231.0,2700.0,MALE
30,Adelie,Biscoe,38.16435387704457,18.3,191.0,3392.564174128165,FEMALE
31,Adelie,Dream,43.14355284879239,18.984841534864053,196.8771478322343,4317.324272915081,MALE
32,Gentoo,Biscoe,59.6,17.41956433957031,231.0,5569.2280242380875,MALE
33,Adelie,Biscoe,39.66367920512745,18.4,190.7580828007382,3915.7101686276787,MALE
34,Chinstrap,Dream,46.485721451581526,18.627579830229884,193.10227116160075,3957.698924167859,MALE
35,Adelie,Torgersen,40.284885984347866,14.558160744970914,172.0,2700.0,FEMALE
36,Adelie,Biscoe,46.7751708739462,18.7,209.244106930569,3688.7833174210327,MALE
37,Gentoo,Biscoe,47.11321064485833,15.941103357756486,218.5584643053787,4795.775079512815,FEMALE
38,Adelie,Torgersen,45.7,21.5,187.36978997694183,4503.398197447608,MALE
39,Gentoo,Biscoe,41.90492836164168,13.1,201.53276265895906,4726.298372868088,FEMALE
40,Chinstrap,Dream,47.369613244626315,18.9,190.0,3742.5714321452424,MALE
41,Adelie,Torgersen,37.68307363494067,18.5,187.21000927676215,3631.312816872091,FEMALE
42,Gentoo,Biscoe,50.42813542375618,16.9,219.7476164023834,5560.116992949815,MALE
43,Adelie,Torgersen,41.76828540538689,17.0,204.60062739232777,4065.1184466490636,MALE
44,Adelie,Torgersen,43.76623074270348,18.9,190.76231774378908,4003.581519933257,MALE
45,Gentoo,Biscoe,47.728665427517285,14.272898676961438,203.8520275624406,4777.697872501596,FEMALE
46,Adelie,Torgersen,37.308352035205836,18.909069994558358,190.0,3666.4141998853843,MALE
47,Adelie,Torgersen,35.57862360984588,18.283924991484238,185.6524122740393,3449.3960776777276,FEMALE
48,Gentoo,Biscoe,39.579433951365125,13.1,194.5383744780031,4161.057886579482,FEMALE
49,Adelie,Torgersen,37.152025862804976,20.85758271647189,190.98723126418574,3688.4212691842295,MALE
50,Chinstrap,Dream,51.2597611343266,18.9108366779186,191.03741608681628,3488.2925883520124,MALE
51,Adelie,Dream,35.64486843520501,17.760190467420546,188.22820618304016,3296.6671260709563,FEMALE
52,Adelie,Torgersen,37.39519831343812,18.6,195.57872248222898,3977.9740107758707,MALE
53,Adelie,Torgersen,46.49700981598572,19.0,194.25789533107076,4404.191362763459,MALE
54,Gentoo,Biscoe,59.6,16.57249995583044,231.0,6300.0,MALE
55,Adelie,Torgersen,46.50359672808272,19.4,209.14170862264479,5317.920706446108,MALE
56,Adelie,Dream,42.393167679271315,18.8,190.5032997644682,3813.3466070035256,MALE
57,Adelie,Dream,37.700518685668214,18.6,189.1507318164476,3717.3423910928013,MALE
58,Gentoo,Biscoe,45.69924905942294,14.292194359114893,210.64707178930257,4570.943638626904,FEMALE
59,Chinstrap,Dream,52.68806829370089,19.824786022750974,196.91146502878573,3615.3500645683366,MALE
60,Gentoo,Biscoe,59.148890444666215,17.0,217.86767886810884,5341.498527827017,MALE
61,Gentoo,Biscoe,49.442556725341696,15.81888276338426,219.35908394222324,5222.9698712253885,MALE
62,Adelie,Dream,44.52867836834032,18.711404181103777,189.77515325616068,3884.6960239889095,MALE
63,Gentoo,Biscoe,47.77646131568754,14.685534136214729,218.38042894137976,5308.700280691468,MALE
64,Chinstrap,Dream,50.10541059144358,19.50602955746325,210.11898325130724,4060.6764613846203,MALE
65,Gentoo,Biscoe,59.07536629191193,17.5,231.0,5517.275550008455,MALE
66,Adelie,Dream,32.1,21.5,231.0,2700.0,MALE
67,Gentoo,Biscoe,41.89960208719291,14.884210969234175,214.19421229770404,4371.90121678584,FEMALE
68,Adelie,Dream,38.303936197974146,18.9,189.1231230287684,3855.4899622989365,MALE
69,Gentoo,Biscoe,59.6,13.1,231.0,6300.0,MALE
70,Adelie,Dream,45.52158039986779,18.279105588348,191.70957344362336,3549.8131029271726,MALE
71,Adelie,Dream,39.718129442762326,17.776396395384168,190.2,4183.531483881645,FEMALE
72,Gentoo,Biscoe,45.7,16.46240466479664,210.14284355792202,5146.559066099348,FEMALE
73,Gentoo,Biscoe,59.6,13.1,231.0,4356.140416971772,MALE
74,Chinstrap,Dream,46.23831678652511,18.8,192.64973551187222,4073.485307603094,FEMALE
75,Adelie,Dream,38.925600245307514,14.860933490268621,173.02422270780406,2700.0,FEMALE
76,Adelie,Dream,32.1,21.5,172.0,2700.0,FEMALE
77,Gentoo,Biscoe,46.39560856887492,14.03399752840146,217.7010596702334,4893.171953036225,MALE
78,Gentoo,Biscoe,46.267015803270134,13.1,209.88066319172384,4503.897484033753,FEMALE
79,Gentoo,Biscoe,32.1,13.1,172.0,2700.0,FEMALE
80,Adelie,Torgersen,36.13459797266146,16.76240336390747,190.98296065415857,3300.494083870421,FEMALE
81,Adelie,Dream,38.48476051332458,18.5,190.16709050197304,3415.3042411562997,FEMALE
82,Gentoo,Biscoe,46.109616116650294,14.311346595448278,217.51711444877347,5032.961141201255,MALE
83,Gentoo,Dream,49.44776862595172,16.208407930225345,218.11608622839805,4663.711591625336,MALE
84,Gentoo,Biscoe,59.6,13.1,231.0,6156.404073835195,MALE
85,Gentoo,Biscoe,59.6,21.5,231.0,2700.0,MALE
86,Gentoo,Biscoe,49.647076895989684,17.046635024979505,228.05924165473428,4517.409705968509,MALE
87,Gentoo,Biscoe,49.81201043622376,17.2,215.84137499306402,5497.858187055585,MALE
88,Adelie,Dream,38.12631530102538,16.9,190.38194443382775,2766.0147606688047,FEMALE
89,Gentoo,Biscoe,46.41895269362361,13.471299643479695,212.58431691434703,4569.436935088121,FEMALE
90,Chinstrap,Dream,59.13921137313449,19.464581154676846,199.96507944037762,4384.599658144271,MALE
91,Adelie,Biscoe,41.00376350889309,15.672093660154097,194.81442180543314,4263.760167039071,MALE
92,Adelie,Dream,49.654578253704166,21.5,172.0,4367.358724579324,MALE
93,Adelie,Biscoe,37.62017963764747,21.5,190.7159888125776,3992.3327238757347,MALE
94,Adelie,Dream,59.6,21.5,172.0,2700.0,MALE
95,Adelie,Torgersen,43.5141332323551,18.9,192.53513906295524,3603.229679213115,MALE
96,Gentoo,Torgersen,59.6,21.5,231.0,2700.0,MALE
97,Adelie,Dream,37.204826588119325,15.977544144578696,189.37212585888756,3240.3614008544687,FEMALE
98,Adelie,Dream,39.38716162584478,20.032622930819997,190.8644112458563,4501.957266669445,MALE
99,Gentoo,Biscoe,49.20470495815019,18.0,219.24673450173287,4865.791131572732,MALE
100,Adelie,Biscoe,36.38910533942951,19.11510405844311,191.0,4001.2903128288644,MALE
101,Adelie,Torgersen,46.0,18.6,210.89537863308527,4647.206271942738,MALE
102,Adelie,Torgersen,34.850461430484096,17.757323523269157,186.18843192705646,3397.5536378563816,FEMALE
103,Adelie,Torgersen,59.6,21.5,172.0,2700.0,MALE
104,Chinstrap,Dream,59.6,21.5,172.0,2700.0,FEMALE
105,Gentoo,Biscoe,50.405220470960195,15.595417355761665,219.51673835070926,5983.071581552351,MALE
106,Gentoo,Biscoe,38.791408324585746,13.1,231.0,4063.4938792774815,FEMALE
107,Adelie,Torgersen,39.180209804976954,19.40139331031728,190.74989236314286,3746.952009549635,MALE
108,Gentoo,Biscoe,43.579680341004185,15.999685983196716,219.75667687566482,5312.061364792578,FEMALE
109,Adelie,Dream,39.3185151031694,17.93397960820798,190.2,3607.438167360605,FEMALE
110,Adelie,Torgersen,38.11488637647327,17.103775221249315,192.02155848873187,4453.136968885365,MALE
111,Chinstrap,Torgersen,59.6,21.5,172.0,6300.0,MALE
112,Chinstrap,Dream,52.95076244925672,19.4,211.92386075852363,4670.645190029927,MALE
