,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
0,Adelie,Torgersen,33.09291395616404,18.4,190.2,3384.8647718261345,FEMALE
1,Gentoo,Biscoe,59.6,13.1,231.0,3558.4089667814164,MALE
2,Gentoo,Torgersen,59.6,21.5,231.0,6300.0,MALE
3,Gentoo,Biscoe,59.6,14.1,231.0,4984.71743961668,MALE
4,Adelie,Biscoe,32.1,19.1,172.0,2700.0,FEMALE
5,Gentoo,Biscoe,59.6,14.5,231.0,6300.0,MALE
6,Adelie,Dream,40.40151233106321,18.8,191.1,4168.196632914872,MALE
7,Adelie,Biscoe,38.1392058856206,18.6,188.67824953632106,3936.273933121974,MALE
8,Chinstrap,Dream,56.424265280468624,18.8,192.57119601927667,3871.76774795595,MALE
9,Chinstrap,Dream,48.79596403549955,18.9,197.6665634468109,3669.410222051544,MALE
10,Gentoo,Biscoe,47.87201256496808,17.8,231.0,5449.489905111113,MALE
11,Chinstrap,Biscoe,41.2,18.2,190.1,3935.819327058759,MALE
12,Adelie,Dream,40.5,18.0,190.4,3878.1295372679656,MALE
13,Gentoo,Biscoe,59.6,13.1,231.0,6300.0,FEMALE
14,Adelie,Torgersen,45.8,18.8,215.26854304656487,4027.4173899954867,MALE
15,Adelie,Dream,42.94722725273465,17.2,192.37324435831022,3599.351367385553,FEMALE
16,Adelie,Dream,32.1,21.5,172.0,2700.0,MALE
17,Gentoo,Biscoe,32.361615775587296,13.1,231.0,3596.187168891869,FEMALE
18,Gentoo,Biscoe,59.6,21.5,231.0,6300.0,MALE
19,Adelie,Torgersen,38.64806581025046,19.0,189.0894651897611,3652.990893934175,MALE
20,Adelie,Torgersen,41.130280499990434,18.6,188.9235333454265,4490.1352734658385,MALE
21,Chinstrap,Dream,47.1,17.11230644840026,208.83045415657463,3677.806281875347,FEMALE
22,Adelie,Biscoe,38.7,18.6,194.72487650873924,3742.671651503475,MALE
23,Gentoo,Biscoe,45.6,13.384325684013135,214.71503101509322,5305.768023990974,FEMALE
24,Chinstrap,Torgersen,59.6,21.5,231.0,6300.0,MALE
25,Gentoo,Biscoe,59.6,13.63860845440828,231.0,6300.0,MALE
26,Gentoo,Biscoe,45.05467876222226,13.5,199.98880083311732,4716.721092546401,FEMALE
27,Gentoo,Biscoe,59.6,13.1,231.0,6300.0,MALE
28,Adelie,Torgersen,39.6,21.5,190.67339780647018,3973.2550459267445,MALE
29,Adelie,Dream,46.39591016219435,21.5,191.5867238082373,4198.631104862376,MALE
30,Gentoo,Biscoe,39.13433326516354,13.1,221.86960628993316,4215.264905073703,FEMALE
31,Adelie,Dream,37.8,17.1,188.22916603314533,3248.263353001742,FEMALE
32,Adelie,Biscoe,41.03522382998879,14.5,190.3,3835.315159328815,FEMALE
33,Gentoo,Biscoe,45.528199848202,13.1,221.35371366287427,4461.711438435778,FEMALE
34,Gentoo,Biscoe,59.6,18.6,231.0,5540.800092047756,MALE
35,Gentoo,Biscoe,45.271993824717185,13.14253368351028,202.7195934623707,4264.3503064493925,FEMALE
36,Chinstrap,Dream,45.7,18.5,194.4351180635148,3712.076432925374,FEMALE
37,Gentoo,Biscoe,43.5,14.2,214.81218011166553,4793.399797032485,FEMALE
38,Adelie,Torgersen,59.6,21.5,172.0,6300.0,MALE
39,Adelie,Dream,43.73240306181006,19.1,189.24739848955554,4322.13162602445,MALE
40,Adelie,Torgersen,37.7,18.723649385779183,173.16725174703936,3449.826655290837,FEMALE
41,Chinstrap,Dream,48.87283069065921,16.769363649245328,192.0,3502.659840371982,FEMALE
42,Adelie,Torgersen,38.55131308828854,18.7,209.0470180457727,3943.916233810827,MALE
43,Adelie,Torgersen,38.82219792745475,18.8,192.60022085753675,4543.108131328147,MALE
44,Gentoo,Biscoe,49.69968367876085,14.4,215.03778344998733,4832.374969646401,MALE
45,Adelie,Biscoe,38.90316183522273,18.097091632426263,190.77368854530178,2845.937218185354,FEMALE
46,Chinstrap,Biscoe,59.6,21.5,231.0,6300.0,MALE
47,Adelie,Dream,40.2,21.5,172.0,5445.502109957992,MALE
48,Gentoo,Biscoe,53.83431569373495,15.0,225.52242108810304,5576.025318204182,MALE
49,Gentoo,Biscoe,49.39695101824934,16.53992149294788,231.0,5329.7529174459205,MALE
50,Adelie,Torgersen,36.74516557200433,18.6,172.0,2700.0,FEMALE
51,Adelie,Biscoe,43.56225725233004,19.4,191.79109394060401,4584.69827252367,MALE
