,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
0,Gentoo,Biscoe,49.70880184003333,18.8,231.0,6300.0,MALE
1,Chinstrap,Dream,59.08391718389581,18.5,194.5082865183199,3784.8676578337436,MALE
2,Adelie,Biscoe,35.013971673032025,18.0,185.2855283926632,3230.67369292089,FEMALE
3,Gentoo,Biscoe,50.00608133806142,17.1,224.83659769043047,5887.956684017241,MALE
4,Gentoo,Biscoe,43.31722237142297,14.5,214.0929485928697,4876.548816722533,FEMALE
5,Adelie,Dream,37.6,18.4,187.5466850774829,3680.4442453041606,MALE
6,Chinstrap,Dream,46.632813551749884,18.5,214.5877437950817,3566.648238709175,MALE
7,Adelie,Biscoe,39.11172308072054,19.6,190.2,3944.7581053417935,MALE
8,Chinstrap,Torgersen,59.6,21.5,231.0,6300.0,MALE
9,Gentoo,Biscoe,49.8,17.7,224.8234992601696,5600.822120248283,MALE
10,Gentoo,Biscoe,47.74078610169442,17.00301931291518,224.63992315159132,5539.8505246275945,MALE
11,Adelie,Torgersen,37.7,21.5,192.48112239399927,4254.290113808233,MALE
12,Adelie,Dream,33.66912707889586,18.2,191.27825485714095,3301.722739619534,FEMALE
13,Adelie,Biscoe,40.702587525850014,18.3,197.39092935683195,4647.045135766867,MALE
14,Adelie,Dream,40.2,18.5,187.1956484213824,3776.9964747459107,FEMALE
15,Gentoo,Biscoe,38.97791384297279,14.5,200.60218608321384,3607.229142024061,FEMALE
16,Adelie,Dream,37.48901383414474,16.961538024884366,188.29023924281466,3242.427314347875,FEMALE
17,Chinstrap,Dream,48.6,16.9,192.96880586129762,3576.0262602978155,FEMALE
18,Adelie,Torgersen,39.3,18.9,196.58152251269848,4104.780486027497,MALE
19,Adelie,Biscoe,42.11281699856527,17.2,172.0,3576.0937523010703,FEMALE
20,Chinstrap,Dream,54.250170125169674,18.5,194.47057107922663,3595.2640556707684,FEMALE
21,Adelie,Dream,47.11243955976472,21.5,172.1115617243775,4798.965298585901,MALE
22,Adelie,Biscoe,39.04600775645531,15.3,190.53143037392343,3580.973573354618,FEMALE
23,Gentoo,Biscoe,35.94800230694553,13.1,231.0,6300.0,FEMALE
24,Gentoo,Biscoe,44.0,17.2,217.80741008112795,4746.006086920514,MALE
25,Adelie,Torgersen,45.6,18.5,190.4959118058146,3743.9583585441446,MALE
26,Adelie,Dream,36.27845632903238,17.984292961728517,191.1,3310.253205598216,FEMALE
27,Gentoo,Biscoe,47.2,14.9,216.12106598489027,5490.966466314716,MALE
28,Gentoo,Biscoe,45.2983052784104,14.522883888671561,214.5084300548435,4726.315311743057,FEMALE
29,Adelie,Biscoe,38.7929274519911,16.31723946105043,186.30261492312877,3222.495257453169,FEMALE
30,Adelie,Torgersen,40.2,19.1,215.54214830517677,4538.99587220836,MALE
31,Adelie,Dream,43.7,17.0,191.0,3806.733622750831,MALE
32,Gentoo,Biscoe,45.922649899969784,15.2085221133947,216.84756481546341,4781.857269334257,FEMALE
33,Gentoo,Biscoe,43.6,15.6,214.14391920663908,4724.220234104928,FEMALE
34,Adelie,Torgersen,44.263294965461405,17.908078647045176,198.97281925272742,4234.75296415654,MALE
35,Gentoo,Biscoe,45.7,13.986216202462968,231.0,5615.839560995307,MALE
36,Adelie,Dream,35.71720447103212,18.4,189.47967840936607,2700.0,FEMALE
37,Gentoo,Biscoe,44.26108484383844,14.6,215.98579033149406,4724.839469758714,FEMALE
38,Gentoo,Biscoe,43.24843531012371,14.317850521479404,212.86550824193526,4390.087072597228,FEMALE
39,Adelie,Torgersen,39.88097477412548,19.651608263226297,184.68381096641554,3894.1517303378987,MALE
40,Adelie,Dream,40.90519688983084,17.9,192.8728650352315,3811.469387320322,MALE
41,Adelie,Dream,40.3,19.3,191.1,3928.426163181853,MALE
42,Chinstrap,Dream,45.515320035537805,15.491270001351387,190.2,3709.128050012029,FEMALE
43,Gentoo,Biscoe,59.6,18.2,231.0,5604.507606766518,MALE
44,Chinstrap,Dream,59.6,21.5,231.0,6300.0,MALE
45,Adelie,Dream,34.89040849925036,18.9,191.51961942869914,3826.9327475350847,MALE
46,Adelie,Torgersen,46.3,21.5,172.0,2700.0,MALE
47,Chinstrap,Dream,46.596193569436956,15.746933954791771,193.6591675182468,3204.722105677661,FEMALE
48,Adelie,Torgersen,43.40735237177501,18.9,193.40105194828868,4046.3420586822567,MALE
49,Gentoo,Biscoe,48.66439307786642,14.33704152120334,214.578281271505,4641.93864606353,FEMALE
50,Adelie,Biscoe,37.88248061122084,17.77132141699074,190.68742118162703,3688.3043473663097,FEMALE
51,Gentoo,Biscoe,46.8,17.1,214.80570094557538,4132.869073760521,FEMALE
52,Gentoo,Biscoe,39.83216277793797,13.45998597662638,196.1974068633439,4002.889603191127,FEMALE
53,Adelie,Dream,41.646713849374486,18.0,188.34060357603508,3637.4953476243304,MALE
54,Gentoo,Biscoe,46.8,16.7,216.4704092940263,5797.7722467313415,MALE
