species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,42.4,18.6,188.6,4429.5,MALE
Gentoo,Biscoe,50.3,17.8,209.6,3488.4,FEMALE
Gentoo,Biscoe,51.1,18.7,226.5,4837.2,MALE
Adelie,Biscoe,34.4,18.4,198.6,3466.6,FEMALE
Chinstrap,Dream,46.6,16.9,195.8,4015.6,MALE
Gentoo,Dream,43.1,18.5,199.1,5911.3,MALE
Adelie,Torgersen,37.9,16.1,177.8,3824.5,FEMALE
Adelie,Biscoe,41.4,17.2,194.9,3353.2,FEMALE
Gentoo,Dream,48.3,14.9,211.4,5680.3,MALE
Gentoo,Biscoe,50.3,14.3,212.6,5183.0,MALE
Gentoo,Biscoe,49.4,17.1,199.1,4281.1,FEMALE
Chinstrap,Dream,34.8,17.9,208.0,3576.2,FEMALE
Chinstrap,Biscoe,41.7,17.9,198.2,4174.7,MALE
Adelie,Torgersen,49.2,16.6,192.7,3672.0,FEMALE
Gentoo,Torgersen,41.0,19.2,201.0,5003.5,FEMALE
Gentoo,Dream,38.0,16.6,184.3,3587.7,FEMALE
Gentoo,Biscoe,50.9,17.9,200.8,6207.7,MALE
Adelie,Biscoe,45.3,18.6,211.9,6098.7,MALE
Adelie,Biscoe,52.2,18.4,187.7,3769.2,FEMALE
Chinstrap,Biscoe,54.0,14.3,198.6,4176.5,FEMALE
Gentoo,Biscoe,52.3,18.4,221.1,4022.7,MALE
Gentoo,Biscoe,40.8,15.0,211.4,4739.8,MALE
Gentoo,Biscoe,42.7,17.9,199.9,4102.6,MALE
Gentoo,Biscoe,41.9,17.7,226.3,5255.4,MALE
Gentoo,Biscoe,45.0,17.5,215.6,4767.0,MALE
Gentoo,Biscoe,42.9,18.5,194.9,5278.6,MALE
Chinstrap,Dream,37.4,18.8,213.0,5365.4,MALE
Gentoo,Biscoe,42.0,16.9,217.8,4141.5,FEMALE
Gentoo,Biscoe,49.1,17.7,219.4,5760.4,MALE
