species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Gentoo,Biscoe,47.8,18.9,220.4,4479.6,MALE
Adelie,Biscoe,40.4,19.7,220.0,3739.5,FEMALE
Gentoo,Biscoe,48.1,14.2,214.2,5030.4,MALE
Chinstrap,Dream,46.7,17.9,195.0,3300.0,FEMALE
Gentoo,Biscoe,45.7,13.9,214.0,4400.0,FEMALE
Gentoo,Biscoe,45.5,16.8,219.5,5030.1,MALE
Chinstrap,Dream,55.8,19.8,207.0,4000.0,MALE
Chinstrap,Dream,48.1,15.2,210.9,4308.3,FEMALE
Adelie,Dream,39.2,18.6,190.0,4250.0,MALE
Adelie,Biscoe,40.9,20.2,192.2,4327.0,MALE
Adelie,Biscoe,40.9,20.2,205.2,5376.5,MALE
Chinstrap,Dream,50.7,19.7,203.0,4050.0,MALE
Gentoo,Torgersen,48.6,16.9,216.5,4157.6,MALE
Gentoo,Biscoe,47.1,15.3,225.8,5426.0,MALE
Gentoo,Biscoe,50.6,14.9,224.7,5012.0,MALE
Adelie,Torgersen,36.6,17.8,185.0,3700.0,FEMALE
Chinstrap,Dream,50.0,19.5,196.0,3900.0,MALE
Gentoo,Biscoe,47.3,14.8,213.8,4765.8,FEMALE
Gentoo,Biscoe,47.7,15.0,216.0,4750.0,FEMALE
Gentoo,Biscoe,45.5,15.5,211.1,5035.2,MALE
Chinstrap,Biscoe,45.6,17.6,197.8,4106.7,FEMALE
Gentoo,Biscoe,46.1,16.9,221.8,4405.2,MALE
Adelie,Dream,34.9,17.7,195.6,3841.1,FEMALE
Gentoo,Biscoe,47.6,17.1,230.2,4632.9,MALE
Gentoo,Biscoe,49.1,15.6,215.8,5422.8,MALE
Gentoo,Biscoe,44.1,16.1,215.8,5850.2,MALE
Gentoo,Biscoe,50.8,17.3,228.0,5600.0,MALE
Gentoo,Biscoe,50.5,16.0,224.8,5578.5,MALE
Adelie,Dream,40.6,17.2,187.0,3475.0,MALE
Adelie,Biscoe,48.0,17.1,217.0,4735.1,MALE
Adelie,Biscoe,40.0,17.3,194.6,3687.6,FEMALE
Adelie,Torgersen,38.1,17.9,184.0,2799.9,FEMALE
Chinstrap,Biscoe,48.0,13.9,218.7,4737.6,FEMALE
Gentoo,Biscoe,47.9,15.0,211.6,4758.1,FEMALE
Gentoo,Biscoe,50.4,14.6,229.3,5510.9,MALE
Chinstrap,Dream,47.0,17.3,185.0,3700.0,FEMALE
Adelie,Biscoe,39.1,17.5,183.2,3429.5,FEMALE
Gentoo,Biscoe,51.2,15.4,208.1,4737.3,MALE
Chinstrap,Biscoe,47.4,17.4,213.3,4545.6,FEMALE
Gentoo,Biscoe,37.8,14.4,207.6,3707.1,FEMALE
Gentoo,Dream,51.7,20.4,196.5,4672.8,FEMALE
Adelie,Biscoe,38.6,20.3,188.0,3463.2,MALE
Gentoo,Biscoe,49.8,17.4,206.8,4412.8,MALE
Chinstrap,Dream,50.0,18.5,190.0,4103.8,MALE
