,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
0,Gentoo,Biscoe,44.747211967815204,18.27285462618139,228.22300477837746,6300.0,MALE
1,Gentoo,Dream,42.41590166651342,17.141310235952613,182.11218546396037,3631.7989866537223,FEMALE
2,Adelie,Dream,40.43201591448765,17.362280566237814,190.74398173895565,3764.0966603659276,MALE
3,Gentoo,Biscoe,48.98737204529493,15.321797213580474,220.62588964196163,5351.596705388851,MALE
4,Adelie,Dream,52.203598659180685,19.303288166133463,223.91831308207736,4567.459490301847,MALE
5,Gentoo,Biscoe,36.46074755612758,15.91346037983465,202.78514492662035,4459.678102924149,MALE
6,Adelie,Biscoe,46.651207023005966,15.170877605420985,213.24996883163146,4866.624765504952,FEMALE
7,Gentoo,Biscoe,40.94937295711911,18.107563093314337,224.04977411316668,4095.5920410052386,.
8,Adelie,Dream,36.80912714232935,17.00495685251003,207.91259169901585,3840.8651803707303,FEMALE
9,Adelie,Torgersen,41.48124384834663,16.143348308570832,221.47783668052543,4590.000173394528,MALE
10,Adelie,Biscoe,37.948331969692546,18.340167372128207,204.08289599425203,3846.2269169037077,MALE
11,Gentoo,Biscoe,53.62162098435489,18.416964807066535,221.684777601312,5549.179545303634,MALE
12,Adelie,Dream,36.16128736514692,15.336380281490916,186.43553570399962,3854.185588991516,FEMALE
13,Chinstrap,Biscoe,43.78438233173423,14.565969928383144,218.7108184528502,4682.657239468637,MALE
14,Adelie,Biscoe,33.7053317119291,18.23590749065659,192.5501493860281,2859.279318457985,FEMALE
15,Gentoo,Biscoe,46.0995525813968,13.125857192945187,220.27566514832597,4004.4584276026094,FEMALE
16,Gentoo,Dream,45.39537259506381,15.394682095555167,219.29515601412353,5024.891399034931,FEMALE
17,Gentoo,Dream,46.76512511622559,14.525663714115254,212.87209159123577,4474.12299392312,FEMALE
18,Gentoo,Biscoe,47.915580999907334,15.846051592210669,204.26599528691779,3661.9241080591237,MALE
19,Gentoo,Biscoe,50.43698354803188,15.521448806128674,213.9685488554671,5568.620573796666,MALE
20,Gentoo,Biscoe,42.21634872824768,13.929849149779816,221.87623564503244,5887.917714570561,MALE
21,Chinstrap,Torgersen,51.93133422242729,17.922559259248647,190.3350421234288,3628.4371347055744,FEMALE
22,Adelie,Dream,53.38923232394374,17.915030693922006,190.5351176327918,4309.949997696362,MALE
23,Adelie,Dream,39.59179271880404,17.69736909213479,217.98572991824787,4557.2447966291365,MALE
24,Adelie,Dream,44.14564948597361,17.98619563825132,221.15307307841766,5170.871569686668,MALE
25,Gentoo,Biscoe,41.25273366661309,16.015412642549585,226.6469541650247,4447.2804063631675,MALE
26,Adelie,Dream,39.99886756934242,18.773978275512835,194.15023198642808,3606.778128417761,FEMALE
27,Gentoo,Biscoe,44.350860420673854,17.513228453316085,178.59449211877055,4949.690225954024,MALE
28,Gentoo,Biscoe,44.83620083480622,16.189007018478794,218.2656978331965,4092.3957595859374,FEMALE
29,Adelie,Dream,38.6362141498976,19.469533224980932,200.10462275036852,4509.743486687591,MALE
30,Adelie,Dream,41.99676372755032,17.409369811318435,207.7064481704483,3564.830974629794,FEMALE
31,Gentoo,Biscoe,51.45503093509326,15.230316591505336,193.04142892026664,5720.602970697035,MALE
32,Adelie,Biscoe,35.718313869460296,18.16862651781903,215.9310061155993,3631.5565207211616,FEMALE
33,Gentoo,Biscoe,43.02362373829243,16.43252403222243,219.790216904314,4554.876589872896,MALE
34,Adelie,Biscoe,41.53351778106259,16.87812092927636,221.05173140126848,3570.503306926429,FEMALE
35,Gentoo,Biscoe,49.85369197142876,18.512174509292077,196.49261504285636,3371.6059577251867,MALE
36,Chinstrap,Dream,41.494096622681596,18.04423595953862,192.03445204966818,3607.2996327940427,FEMALE
37,Adelie,Dream,33.62641481684766,18.317245153191475,204.35343519097736,3476.4376252150655,FEMALE
38,Adelie,Biscoe,48.11886881263246,16.030529348275767,214.017781294138,3839.144057355828,MALE
39,Gentoo,Biscoe,42.828790412946574,16.822718275111438,211.59601092104145,5015.94042020004,FEMALE
40,Gentoo,Biscoe,38.09200583500373,13.928150697870132,206.74450280035808,3613.37016623981,FEMALE
41,Adelie,Biscoe,39.623323747472405,16.084692048881184,214.95480380458076,4720.220065106958,MALE
42,Gentoo,Biscoe,42.06389048171307,14.91352965122912,187.16587073818405,4283.2578596132425,FEMALE
43,Gentoo,Dream,49.11466710323244,17.090221963360104,216.49754722424493,4170.620207851624,MALE
44,Gentoo,Biscoe,43.82163311620699,16.86511674461708,213.00832535742072,4024.0031249176122,MALE
45,Gentoo,Dream,35.02363135502426,17.09402482279559,222.06533496919985,3789.277589187648,MALE
46,Gentoo,Torgersen,34.98453271597182,14.860378349899971,211.6618196285713,3766.4229714133685,FEMALE
47,Gentoo,Biscoe,42.56169685057612,17.92409667654703,215.4225923239391,4919.628323121659,MALE
48,Gentoo,Biscoe,39.00735062242096,17.66510142029266,212.3093097458778,3272.284456292246,FEMALE
49,Adelie,Biscoe,36.64346226659364,17.531306853429065,191.18550537066676,3407.574959525809,MALE
50,Gentoo,Biscoe,45.508943718087615,15.608845789353097,215.4046066553472,4845.210370970239,MALE
51,Gentoo,Dream,37.25457185941674,13.1,224.01671056743191,3393.794598410689,FEMALE
52,Adelie,Biscoe,40.59994674023031,18.848416515501018,217.91975834674886,4877.814853675227,MALE
53,Gentoo,Biscoe,51.53067827448911,17.964483292736706,213.2480429759964,5728.744968937519,MALE
54,Gentoo,Biscoe,48.63718742824127,15.20450705246094,211.42303685781846,4398.560176083468,MALE
55,Adelie,Dream,45.10468837069285,17.59023715447827,192.95675642685674,3520.229972940604,FEMALE
56,Adelie,Dream,39.94699834816562,17.99447860503723,223.22772233293801,3881.136549227572,MALE
57,Adelie,Biscoe,44.1648881505251,17.42629057233551,213.66671915266107,3750.926654944637,FEMALE
58,Gentoo,Torgersen,32.1,16.46948285375389,189.88413589746835,3241.190507223525,FEMALE
59,Chinstrap,Biscoe,37.6734790038233,17.87701591538564,186.48714145243108,3496.4353383978378,FEMALE
60,Adelie,Biscoe,35.212152987543796,16.72614914959351,181.296505602197,2769.158157009193,FEMALE
61,Gentoo,Biscoe,37.96984084576306,16.532648895946558,207.80292419979685,3182.9713132558963,FEMALE
62,Adelie,Torgersen,41.86154834697509,15.81376452147638,173.26771738154895,3743.8506669009194,FEMALE
63,Adelie,Biscoe,41.90583646476149,18.359079026190226,186.2903896646717,4118.4098144618765,MALE
64,Adelie,Biscoe,47.684501898751684,19.368550298898043,229.13472246161527,4690.592515578992,MALE
65,Gentoo,Biscoe,45.10661189038939,17.17950309361704,201.59885786688938,4195.697422489849,MALE
66,Adelie,Biscoe,45.64571529339795,17.202190673964203,229.3713003047859,4182.993496345339,MALE
67,Gentoo,Biscoe,51.13582815082139,18.678943320038883,218.24347834940687,5690.349608874748,MALE
68,Chinstrap,Biscoe,45.2018569704956,17.722345747108722,211.5587638880994,3772.030252401569,MALE
69,Adelie,Dream,36.99267436589143,17.63817395972466,182.8004459660663,3073.321135616983,FEMALE
70,Gentoo,Biscoe,45.12491712494091,17.298390832171496,214.01557895855532,4007.9248371635317,MALE
71,Gentoo,Torgersen,34.58013757125028,13.783448211885762,205.89903316856686,4246.796680254374,FEMALE
72,Gentoo,Biscoe,47.45056767683529,16.872846260437036,219.490788257053,3333.2221633741665,MALE
73,Chinstrap,Biscoe,44.989373201526355,17.382252793378715,212.51406815094512,4347.1495021488145,MALE
74,Gentoo,Biscoe,53.39465702338814,19.02557721771605,212.68122927540244,4937.676651020997,MALE
75,Gentoo,Biscoe,49.90419014303423,15.611788506543908,220.74776977886646,5676.553195942604,MALE
76,Gentoo,Biscoe,43.07963314229068,17.731863543246604,192.5240667804558,3717.9003181679586,FEMALE
77,Chinstrap,Biscoe,38.74020130732625,15.969398858994332,215.70117956714935,3329.2549898011716,FEMALE
78,Gentoo,Biscoe,51.954497176866326,17.73551994608148,227.52875585393133,5505.766467972572,MALE
79,Chinstrap,Biscoe,50.80976942356106,17.26200601884623,210.38413191868148,3887.2600266864147,MALE
80,Adelie,Biscoe,40.86892431024355,16.922263675939654,227.98914335069207,5196.053866674702,FEMALE
81,Gentoo,Torgersen,44.63135273839775,17.43081366574226,204.47652846595216,5545.313124293047,FEMALE
82,Adelie,Biscoe,46.73516519001714,20.07625987664336,209.56429845803245,3986.31388106416,MALE
83,Gentoo,Biscoe,40.620398939262515,18.198083683478476,184.10606913195676,4323.211660710179,MALE
84,Adelie,Dream,40.98973973962827,17.57092958418572,181.03814631328677,3523.7846297307965,FEMALE
85,Gentoo,Dream,43.25879850400005,18.227577446436545,202.35183942321729,4561.797370872661,MALE
86,Gentoo,Biscoe,43.33121948264521,16.707816288378435,213.39537395607852,4748.028427209658,MALE
87,Gentoo,Biscoe,51.433137031345005,15.668050168015402,226.0359222488097,5534.8565696869755,MALE
88,Gentoo,Biscoe,54.179962693609255,18.039586605451632,212.55950979749625,5449.151360469593,MALE
89,Gentoo,Biscoe,49.877851559061554,16.82503588222224,219.1798044759816,5232.716524748019,.
90,Chinstrap,Dream,47.94712189630142,17.88341185584688,182.7826852450138,3321.783701490573,FEMALE
91,Adelie,Dream,49.11605331871552,19.323389565103355,230.26140676011883,5571.96312398903,MALE
92,Gentoo,Biscoe,41.168376174518635,16.20170021198644,216.87782552018567,4865.471842911365,MALE
93,Gentoo,Dream,44.184461346725314,17.431160674673723,219.07009118477126,3627.7070185106422,MALE
94,Adelie,Biscoe,35.48598756111882,17.981482404453917,222.50072997469644,5025.491759991812,MALE
95,Gentoo,Biscoe,51.437914979578004,18.35978402324274,226.45639381713417,5754.077374858288,MALE
96,Gentoo,Biscoe,38.386603772977786,18.63028463842653,218.47048048239205,5293.579098161405,MALE
97,Adelie,Dream,36.218495090685835,18.085524116909536,199.34162661413382,4532.2879699679615,MALE
98,Gentoo,Biscoe,43.54580550955534,16.826089953043756,207.2367468350823,4511.982859529208,FEMALE
99,Gentoo,Dream,47.59454727957591,15.319500974888207,203.94021334774538,4649.190611810001,MALE
100,Gentoo,Dream,41.5230004278669,19.14180782603932,221.5065162910909,5412.94512328067,MALE
101,Adelie,Biscoe,32.32691801102517,16.437278686718635,180.96400862127217,2700.0,FEMALE
102,Adelie,Biscoe,42.02261760529776,19.897382262068962,205.79631914003025,4853.765589379856,MALE
103,Gentoo,Dream,46.01032760202709,17.078061120963504,219.65821414532732,4799.584770211849,MALE
104,Chinstrap,Torgersen,46.45178066216007,19.225346067505107,175.1635421352011,3618.9666917501486,FEMALE
105,Gentoo,Dream,50.00784665638569,19.101897141083064,212.66077667127803,4821.916810748939,MALE
106,Gentoo,Biscoe,42.00692248936051,13.568672285422714,210.73284959660265,4716.329645350381,FEMALE
107,Chinstrap,Torgersen,43.3790122383997,19.23033793903691,206.13235690524857,4553.545827040061,MALE
108,Gentoo,Biscoe,52.550182113518716,16.967992250092706,217.575994411889,5305.173706231321,MALE
109,Adelie,Biscoe,36.2203903212796,18.17601917214032,219.57896116834505,4962.288384516505,MALE
110,Gentoo,Dream,50.91307132592752,15.20409377899621,212.96208754218236,5084.385980954217,MALE
111,Gentoo,Biscoe,36.122728563838386,17.70523850944629,220.0925909270169,5232.375368082709,MALE
112,Gentoo,Dream,52.766293411003076,19.54717788738232,216.91351560125497,6300.0,MALE
113,Adelie,Dream,37.32602983646125,17.72595673924929,193.0147863760989,3725.050182910936,FEMALE
114,Chinstrap,Dream,50.851127643966386,17.95803285250353,192.8484772042535,3374.233238327353,MALE
115,Gentoo,Biscoe,49.44221568642396,17.36710891438533,224.67799617012432,4200.267753038027,FEMALE
116,Adelie,Dream,36.264336501091634,17.56560351277697,221.1576525971974,3370.487891004089,FEMALE
117,Gentoo,Biscoe,47.81356344163295,17.33774091305343,172.0,3332.873478586067,FEMALE
118,Chinstrap,Dream,41.413206479395505,14.536161355549275,189.0473484054408,3655.668226557927,FEMALE
119,Gentoo,Biscoe,47.13372814947313,17.352430902368244,208.98524576775768,4143.361867583874,FEMALE
120,Gentoo,Biscoe,46.32427371130787,16.440249056555743,216.39000084462398,4745.31293231489,FEMALE
121,Chinstrap,Biscoe,37.31250943880036,18.052474344160757,187.69794900898285,3498.750355700996,FEMALE
122,Adelie,Biscoe,37.78644705625473,20.318838416493467,191.72785168225923,3706.9346182877202,MALE
123,Adelie,Dream,42.41825957231231,18.505379056343724,190.91704417830456,4343.353625004109,MALE
124,Gentoo,Dream,51.06004170987893,19.015693784520934,213.01608569884,4217.042831450373,MALE
125,Gentoo,Biscoe,55.442542390080376,18.31466853701725,221.74168408652872,4327.285468667882,MALE
126,Adelie,Dream,38.52377294260877,19.78707700591935,197.68727169037768,3971.1527123777923,FEMALE
127,Gentoo,Biscoe,48.65695238658978,13.663283522181795,211.05958927868846,3586.5995735315255,FEMALE
128,Gentoo,Dream,51.68314806747311,20.446223299206437,196.49955948478788,4672.810467351465,FEMALE
129,Gentoo,Biscoe,51.36786794681543,17.69897321827386,231.0,5470.04502842519,MALE
130,Gentoo,Biscoe,45.88859513376153,16.544189709772574,222.50248951036303,4279.672287754681,FEMALE
131,Adelie,Dream,40.43240274426596,18.137393218716994,182.86931710877423,4813.342300630906,MALE
132,Gentoo,Dream,41.28217454430762,16.999575053396562,220.8830842492256,4821.411356772319,MALE
133,Gentoo,Biscoe,40.87393662496574,14.607104449537825,216.12210991938687,4617.558004997038,FEMALE
134,Gentoo,Biscoe,49.23633579748639,16.92673079211465,204.86363822876478,4496.298924908866,MALE
135,Gentoo,Biscoe,50.138354470255535,19.371164427303356,228.88235934143577,6047.927854942188,MALE
