,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
0,Gentoo,Torgersen,42.76660747694763,19.357940855822502,203.65374884155767,4770.295955695657,FEMALE
1,Chinstrap,Dream,50.775293195949736,18.164544938337322,186.0882034184468,3857.1948478207178,MALE
2,Chinstrap,Biscoe,37.90844482212136,19.49571669414941,187.1238616877487,3923.843594566031,FEMALE
3,Gentoo,Biscoe,50.29925190755288,18.037136058729462,195.61795526299503,3997.71788556371,MALE
4,Adelie,Torgersen,35.356179207149886,19.90140826652448,229.48740116171135,4150.178967916287,FEMALE
5,Gentoo,Biscoe,49.16313281770822,14.446718670779134,227.06553216543603,4998.230087994407,MALE
6,Adelie,Biscoe,52.89284127235183,17.339764035000627,227.54776691841408,3948.3073350579025,MALE
7,Chinstrap,Dream,49.263358170364896,19.830401260567903,225.42038449405783,4148.608263794384,FEMALE
8,Gentoo,Biscoe,35.56906402685961,17.909749212550725,219.68818249030426,3892.6052189042466,MALE
9,Adelie,Biscoe,47.5159173195412,17.705816819357317,225.88329364608958,5413.813867384134,MALE
10,Chinstrap,Biscoe,47.40281304926084,19.923390735507258,184.25737230132398,3482.3443113664025,FEMALE
11,Adelie,Dream,35.188577022420255,14.590808842829574,210.34325044209174,4217.860025970516,MALE
12,Chinstrap,Torgersen,50.86789085181419,17.908631746407362,210.08408391535642,5082.39649520688,MALE
13,Chinstrap,Dream,36.53472138702355,17.462118698178326,186.10835270638808,4211.744939264204,FEMALE
14,Gentoo,Biscoe,50.75113051532174,19.551945975591696,227.10385926940788,4214.726256607298,FEMALE
15,Gentoo,Biscoe,47.35283021277911,20.134455395177554,222.62455097608586,5037.181668297148,MALE
16,Adelie,Biscoe,53.303324996023285,17.96462707893544,226.1902841545039,5691.668871188802,MALE
17,Gentoo,Dream,53.86140122655828,18.09689683037995,225.11999392304688,4509.78780873783,MALE
18,Gentoo,Biscoe,50.01366303241206,16.854027264385028,211.31243673718157,5677.077420365941,MALE
19,Adelie,Dream,43.607558626331794,18.612955797396484,209.8807781783683,3836.223840010713,FEMALE
20,Gentoo,Torgersen,50.585905834497964,18.030295788342872,223.43909632294773,4835.576042701539,MALE
21,Chinstrap,Biscoe,48.15284075643942,17.97845732115379,210.6652211908824,5370.893067400527,MALE
22,Gentoo,Dream,50.544024388360164,17.734297778985674,212.04447336115533,3972.1126541341305,FEMALE
23,Chinstrap,Torgersen,42.77607811164572,18.11187720399545,231.0,4355.972488285597,MALE
24,Adelie,Biscoe,46.18626051312936,19.44984073705264,210.7698411487121,5681.281407282558,MALE
25,Gentoo,Biscoe,50.46069130063869,17.216947535191856,231.0,4908.010407815327,FEMALE
26,Adelie,Dream,41.121458721270194,18.04585277662545,226.48613873181088,4153.204841221891,MALE
27,Adelie,Torgersen,41.45919033952976,18.71124676845715,230.13091640492792,4617.179092448692,MALE
28,Gentoo,Biscoe,42.20690237458798,17.4904359701413,199.32111364616333,4062.2275829598525,MALE
