,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
0,Gentoo,Biscoe,42.62642662481219,18.324667847574705,226.6170460313661,5638.930018960904,MALE
1,Adelie,Biscoe,39.225799803634914,16.948658820697474,195.54850765528468,3587.7649290463796,MALE
2,Chinstrap,Dream,47.365320770437336,15.9560506091321,225.25252471427197,3542.7259417624464,MALE
3,Gentoo,Biscoe,47.693800520107274,14.025349229275884,221.74988289419773,5454.013400341092,FEMALE
4,Gentoo,Biscoe,33.454456270895115,14.057302726191054,223.597498331153,4011.9579915086706,FEMALE
5,Gentoo,Biscoe,40.255951012029136,18.318500671742935,219.19938098849693,5279.966899381453,MALE
6,Gentoo,Biscoe,41.4635212045159,18.102788829503268,223.3995681729656,4057.0572298561856,FEMALE
7,Gentoo,Biscoe,49.09405230882378,13.992413696869399,213.45653054015952,4362.279340432894,MALE
8,Adelie,Dream,42.04282513121069,16.785181795215745,195.84166978433083,3019.217134407361,FEMALE
9,Chinstrap,Dream,37.510229424728784,18.137908268346095,211.47853557877826,4434.701023501275,FEMALE
10,Chinstrap,Dream,49.0548868787896,18.67282211719779,191.72621335405825,3845.7592680878215,MALE
11,Adelie,Biscoe,35.4767734667627,13.670864541550962,213.97187693093375,6192.316422803979,FEMALE
12,Gentoo,Biscoe,42.82660570163362,18.453346883170337,211.66065103731822,5674.5576658107975,MALE
13,Chinstrap,Biscoe,47.78046973178994,18.339770015842575,222.19402221172606,4153.36777753159,MALE
14,Adelie,Dream,47.10882541569044,18.70561046975095,223.7135255471722,4007.535726424307,MALE
15,Adelie,Biscoe,42.85394382345634,17.240020436938405,221.74586251419,3678.639041059923,FEMALE
16,Chinstrap,Dream,48.01028266744726,17.929709377056472,224.4783662435863,3793.6775195554337,MALE
17,Chinstrap,Dream,34.37488782198132,15.52072376354478,190.79040047675147,4324.491813987292,MALE
18,Adelie,Dream,41.08897305299761,16.25485120067668,221.42322877997472,4533.4377166502,MALE
19,Gentoo,Dream,36.94086432522611,17.906297317111253,229.86712622837166,4286.010520370216,MALE
20,Chinstrap,Biscoe,47.91263567769861,14.303655574814158,216.44175125810645,3306.429331648876,MALE
21,Chinstrap,Dream,49.79750935632955,18.467127237010356,224.9525799402885,3756.4852283611435,MALE
22,Chinstrap,Torgersen,49.16881681155199,19.236238957618546,224.84527004194808,5595.814010511457,MALE
23,Gentoo,Biscoe,51.4102699579989,18.579996465281184,186.2852712901167,3820.782995756917,MALE
24,Chinstrap,Biscoe,47.97213843836789,20.41157483956726,185.3425662836896,3864.2165676532895,FEMALE
25,Chinstrap,Dream,50.886477738609464,18.201474280678433,227.7573709172566,3865.0851561418344,MALE
26,Chinstrap,Biscoe,42.69608964847794,19.61688715561188,193.79982561504497,3852.3478470663126,MALE
27,Chinstrap,Biscoe,43.96770016437998,18.51887818191866,197.41284470246507,4105.303619042418,MALE
28,Gentoo,Biscoe,37.95327921233745,18.22891195616087,197.5022886855519,5610.534383101033,MALE
29,Adelie,Dream,49.80692328191454,18.044617371193894,225.78698835914525,3599.3103184144265,MALE
30,Adelie,Biscoe,37.34126079622369,17.22543659644734,219.9065919140717,4026.5831063421642,FEMALE
31,Chinstrap,Biscoe,37.062688784640486,18.37611037931255,200.46859360843763,3892.7589456517044,MALE
32,Gentoo,Biscoe,41.316249136163115,17.956516503071292,195.69483220441248,3877.69565388082,MALE
33,Chinstrap,Dream,40.809128472533644,17.48645504561923,223.32575974309674,4956.560267428678,MALE
34,Gentoo,Dream,48.0238247795286,17.754838595937567,226.98719226141267,5635.683034024504,MALE
35,Adelie,Dream,49.51121729762068,18.694667163616504,176.26120965825046,4014.013794075738,MALE
36,Gentoo,Biscoe,34.15892479315513,16.46632198125007,178.81174221564416,3753.1978279662185,FEMALE
37,Gentoo,Biscoe,42.90688866806513,14.054206760046078,184.6882599214339,4212.041834411166,MALE
38,Adelie,Dream,42.22500841185885,17.76336674378972,210.94396877666003,5221.442665310412,MALE
39,Chinstrap,Biscoe,51.25945341938153,14.254675687039674,222.16046919372187,3046.78465575059,FEMALE
40,Gentoo,Biscoe,49.19351609031688,13.877705940438192,218.0007331184176,5223.949191813557,FEMALE
41,Gentoo,Dream,48.627461315932536,18.070586035439703,225.17396418119313,3931.0619802663987,MALE
42,Chinstrap,Torgersen,40.406482311389425,17.286375168350638,181.52964550983702,4045.874372788775,MALE
43,Chinstrap,Biscoe,37.658819994945404,16.272991493539898,198.25496560226213,3968.945684024339,FEMALE
44,Chinstrap,Dream,41.933936352432056,17.834990932557435,186.57191060856567,3726.892298181807,MALE
45,Gentoo,Biscoe,42.63984140672087,18.392252730432205,213.34862218728352,2863.6784886478945,MALE
46,Chinstrap,Biscoe,41.46321822766745,17.725157234874484,229.20028624761514,3737.136871263761,MALE
47,Gentoo,Dream,51.823897783826936,17.511041356158593,225.33439969137353,5066.932584732193,FEMALE
48,Adelie,Torgersen,36.91738721397618,14.255134844855268,225.86602333884832,4279.567163327749,MALE
49,Gentoo,Biscoe,53.7625309268692,16.63811155598652,197.90747989347355,3961.4179987083808,MALE
50,Adelie,Dream,54.52598022743571,20.971160787727342,197.43679532796997,3749.002187351244,MALE
51,Chinstrap,Dream,50.090549120633014,17.598621140901205,222.14037728607607,4406.872949784638,FEMALE
52,Chinstrap,Dream,42.31488269595334,18.271371285194032,180.06653691345173,2700.0,FEMALE
53,Gentoo,Biscoe,41.24199362510664,14.68613375755893,218.88950538401528,5157.119704479027,MALE
54,Gentoo,Biscoe,49.293135856832805,18.591180261976454,197.60064613195644,5802.435019108187,MALE
55,Gentoo,Biscoe,51.125402470036555,18.641065467791076,190.34383244164164,3231.715916082937,MALE
56,Adelie,Dream,38.1436777622278,17.878442761308772,223.0546743197837,5115.664714834042,MALE
57,Gentoo,Dream,48.56033895507061,14.419528704495985,198.28967200762526,3551.2964594238824,FEMALE
58,Gentoo,Biscoe,40.67155727401387,16.897549093201732,198.80460688263193,5301.668538222509,MALE
59,Adelie,Biscoe,38.22368324418794,17.1828544285224,211.6548129901749,5591.45054787773,MALE
60,Chinstrap,Biscoe,47.73982848799538,14.464057906672876,227.7438678035753,4285.5291554251335,FEMALE
61,Gentoo,Biscoe,41.79324978655552,18.04977551307142,224.3142258494047,4366.425567174432,MALE
62,Gentoo,Biscoe,47.69556983389047,18.324383582022033,214.6604623104387,5471.374955447745,MALE
63,Chinstrap,Dream,36.39173663400501,17.9047559629261,209.90604438996783,4516.41002930113,FEMALE
64,Gentoo,Dream,47.15607163609546,17.665354137173733,214.9309146825407,5681.081057872998,MALE
65,Gentoo,Biscoe,49.471142671353434,16.788283534200072,212.07036220654476,4376.712501148739,MALE
66,Gentoo,Dream,36.925550109307856,17.988465544185573,222.56675110727295,3934.411787660529,MALE
67,Gentoo,Biscoe,48.57099663896329,15.685912153206123,222.02746089875367,3873.6516779865237,MALE
68,Gentoo,Biscoe,46.69918665770562,14.62029651355407,214.69042920883524,3974.6012882464443,FEMALE
69,Gentoo,Biscoe,47.64090079090736,14.057311124996147,227.46169138978624,4777.395397088365,MALE
70,Gentoo,Biscoe,47.79167834635106,14.371696030159045,208.30734566852942,3967.5768066337087,MALE
71,Gentoo,Dream,49.77836840756017,18.238247313041075,199.908784931214,4448.419084184535,MALE
72,Chinstrap,Dream,35.981248621726515,17.599515068598457,198.70193640423773,3084.9337222214012,MALE
73,Chinstrap,Dream,49.18554190041429,17.289068033759047,221.34524722451678,5707.724392853324,MALE
74,Chinstrap,Biscoe,40.89371871666829,17.92261524115094,212.76906012076833,3264.92669529443,FEMALE
75,Gentoo,Biscoe,45.326512215299076,17.90086631016323,196.69300481922235,5610.718743736966,MALE
76,Gentoo,Biscoe,47.0355797283549,15.249508458497536,226.50818827666149,4728.354553516679,MALE
77,Adelie,Dream,38.59982170625485,15.119181336695071,215.42468872187322,5147.8777178835535,FEMALE
78,Gentoo,Biscoe,42.00010327358936,17.376496403449767,216.21270268152733,3783.0319020968573,MALE
79,Gentoo,Biscoe,42.462235184086886,14.759308451045008,209.87861443804124,4152.743387077263,MALE
80,Adelie,Dream,38.12694002455013,18.255204548549024,198.15669921436898,3887.458613412502,MALE
81,Chinstrap,Dream,48.60367026285599,18.39169436137854,226.48359055801708,4325.269821136675,MALE
82,Gentoo,Biscoe,43.98710370759843,17.961128841719727,202.2806074421305,3715.0381868964187,MALE
83,Gentoo,Biscoe,40.794825404513475,18.27445725218556,196.71241371841504,3877.6242301277593,MALE
84,Chinstrap,Biscoe,46.772860005397234,14.604003178732624,222.06129648456627,4148.068591187491,FEMALE
85,Chinstrap,Dream,47.75811361336216,18.235641885342854,225.4523593413031,5406.343306622364,MALE
86,Gentoo,Dream,36.02144280145861,13.661523196174535,201.59977739780112,3861.8732232915795,FEMALE
87,Gentoo,Biscoe,42.49169817203103,17.677539561866006,220.97145917699893,5677.875190331176,MALE
88,Gentoo,Biscoe,47.54718985891053,13.771039658119212,199.4950881322151,3953.3404617458077,FEMALE
89,Gentoo,Torgersen,42.37458726191942,18.99677630338909,223.55849633662757,3967.4059570113177,MALE
