species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Gentoo,Torgersen,54.2,14.7,198.0,4375.0,.
Adelie,Torgersen,38.8,17.6,191.0,3275.0,FEMALE
Chinstrap,Torgersen,49.3,19.5,199.0,4675.0,FEMALE
Gentoo,Dream,46.3,21.2,201.0,4300.0,.
Chinstrap,Dream,49.9,19.8,182.0,5050.0,MALE
Gentoo,Torgersen,37.0,16.7,181.0,4500.0,.
Gentoo,Torgersen,47.7,19.7,197.0,5000.0,.
Adelie,Biscoe,43.2,20.3,208.0,3825.0,.
Adelie,Torgersen,46.9,21.5,197.0,3950.0,FEMALE
Adelie,Biscoe,38.1,14.0,225.0,5200.0,MALE
Adelie,Dream,40.2,17.1,193.0,3400.0,FEMALE
Adelie,Biscoe,37.5,13.3,224.0,4250.0,.
Gentoo,Biscoe,35.6,15.0,216.0,5800.0,FEMALE
Gentoo,Torgersen,42.5,18.1,195.0,4050.0,FEMALE
Adelie,Torgersen,35.9,16.6,190.0,3050.0,FEMALE
Gentoo,Torgersen,40.2,19.4,223.0,3825.0,.
Adelie,Torgersen,49.9,14.0,223.0,6000.0,FEMALE
Chinstrap,Dream,51.5,20.8,187.0,2900.0,FEMALE
Adelie,Dream,50.9,21.1,190.0,4375.0,FEMALE
Adelie,Torgersen,39.0,17.1,191.0,3050.0,FEMALE
Adelie,Torgersen,47.8,14.8,195.0,5100.0,MALE
Adelie,Biscoe,38.1,16.2,212.0,3525.0,FEMALE
Gentoo,Torgersen,51.5,18.9,196.0,3650.0,.
Gentoo,Torgersen,43.3,16.4,201.0,4200.0,.
Gentoo,Dream,45.1,13.1,187.0,4950.0,FEMALE
Chinstrap,Biscoe,41.8,13.1,221.0,4375.0,MALE
Adelie,Torgersen,50.1,17.8,195.0,3250.0,FEMALE
Adelie,Biscoe,42.9,20.1,203.0,5400.0,.
Adelie,Biscoe,51.1,14.3,197.0,4250.0,FEMALE
Gentoo,Biscoe,52.2,18.2,212.0,5150.0,.
Adelie,Torgersen,49.9,16.8,190.0,3825.0,FEMALE
Gentoo,Torgersen,55.8,13.1,210.0,3650.0,.
Chinstrap,Biscoe,36.3,19.2,208.0,4975.0,MALE
Adelie,Biscoe,51.9,13.8,189.0,4100.0,FEMALE
Adelie,Biscoe,51.0,13.6,174.0,3325.0,FEMALE
Gentoo,Biscoe,55.8,16.0,208.0,4550.0,FEMALE
Gentoo,Biscoe,48.5,15.4,197.0,5150.0,.
Adelie,Torgersen,39.1,14.7,180.0,4100.0,.
Gentoo,Torgersen,54.3,20.7,215.0,4625.0,FEMALE
Adelie,Torgersen,46.2,14.8,195.0,3975.0,.
Adelie,Biscoe,40.5,19.5,220.0,3350.0,MALE
Chinstrap,Dream,42.6,16.8,212.0,4250.0,.
Gentoo,Dream,52.2,17.2,193.0,4625.0,MALE
Adelie,Biscoe,41.5,15.2,185.0,4950.0,MALE
Gentoo,Biscoe,53.4,15.8,219.0,5500.0,MALE
Gentoo,Biscoe,46.2,14.9,221.0,5300.0,MALE
Adelie,Dream,50.3,21.2,181.0,3050.0,.
Adelie,Dream,45.0,15.9,195.0,4350.0,FEMALE
Adelie,Biscoe,51.3,14.5,187.0,3050.0,.
Adelie,Biscoe,37.7,17.8,213.0,3825.0,.
Gentoo,Biscoe,47.0,14.7,188.0,5450.0,MALE
Chinstrap,Biscoe,36.5,13.5,221.0,5450.0,FEMALE
Adelie,Torgersen,52.0,19.4,185.0,4975.0,.
Gentoo,Biscoe,50.0,15.9,224.0,5350.0,MALE
Gentoo,Dream,51.5,13.4,219.0,4050.0,.
Adelie,Biscoe,44.5,18.7,198.0,4250.0,FEMALE
Gentoo,Biscoe,43.4,14.4,218.0,4600.0,FEMALE
Adelie,Torgersen,35.5,17.5,190.0,3700.0,FEMALE
Adelie,Dream,50.8,15.9,184.0,3775.0,.
Chinstrap,Dream,47.8,17.3,198.0,2700.0,MALE
Chinstrap,Biscoe,35.1,18.6,225.0,3150.0,FEMALE
Chinstrap,Dream,52.7,19.8,197.0,3725.0,MALE
Chinstrap,Torgersen,51.7,18.9,185.0,4900.0,MALE
Gentoo,Dream,41.5,18.2,178.0,4625.0,FEMALE
Gentoo,Dream,42.2,13.6,208.0,5550.0,.
Chinstrap,Biscoe,41.6,13.4,228.0,3550.0,FEMALE
Gentoo,Biscoe,39.2,16.6,210.0,4375.0,.
Gentoo,Dream,52.8,18.9,210.0,3900.0,FEMALE
Chinstrap,Dream,40.6,14.4,187.0,3825.0,FEMALE
Chinstrap,Dream,49.1,19.3,194.0,4275.0,FEMALE
Chinstrap,Torgersen,42.8,16.2,215.0,5400.0,FEMALE
Gentoo,Dream,46.1,14.8,203.0,3500.0,.
Adelie,Biscoe,35.9,17.4,215.0,4275.0,.
Chinstrap,Torgersen,46.3,17.6,195.0,5100.0,MALE
Adelie,Biscoe,43.2,21.1,188.0,3050.0,.
Adelie,Biscoe,48.4,18.3,221.0,5250.0,.
Gentoo,Torgersen,39.7,13.4,190.0,3350.0,.
Chinstrap,Biscoe,33.1,17.3,217.0,3675.0,MALE
Adelie,Dream,36.0,17.7,196.0,4250.0,FEMALE
Chinstrap,Dream,35.0,15.2,187.0,4550.0,MALE
Chinstrap,Dream,41.1,14.5,193.0,5250.0,MALE
Chinstrap,Dream,52.8,20.0,205.0,4550.0,MALE
Adelie,Dream,52.1,16.7,191.0,4950.0,MALE
Adelie,Biscoe,35.3,16.8,203.0,5100.0,MALE
Chinstrap,Biscoe,45.2,14.2,212.0,4875.0,.
Adelie,Biscoe,40.1,18.9,188.0,4300.0,MALE
Chinstrap,Biscoe,51.0,14.6,187.0,4500.0,.
Chinstrap,Torgersen,38.1,19.9,208.0,4575.0,MALE
Chinstrap,Torgersen,40.7,14.3,202.0,3475.0,MALE
Adelie,Torgersen,41.7,18.4,224.0,3250.0,FEMALE
Adelie,Biscoe,55.1,13.9,216.0,3300.0,FEMALE
Chinstrap,Biscoe,38.7,20.5,197.0,4550.0,FEMALE
Chinstrap,Torgersen,35.7,14.6,218.0,5850.0,.
Gentoo,Biscoe,46.4,15.6,221.0,5000.0,MALE
Chinstrap,Biscoe,43.4,17.8,174.0,3075.0,FEMALE
Chinstrap,Dream,35.1,13.2,187.0,3500.0,.
Gentoo,Torgersen,39.5,14.8,203.0,4350.0,.
Chinstrap,Torgersen,32.1,18.0,199.0,4250.0,MALE
Chinstrap,Biscoe,41.1,17.2,218.0,5800.0,FEMALE
Adelie,Dream,32.1,13.4,190.0,5450.0,.
Chinstrap,Dream,40.5,16.1,203.0,4750.0,MALE
Adelie,Dream,48.5,15.6,182.0,3425.0,FEMALE
Gentoo,Dream,45.2,19.4,197.0,3075.0,FEMALE
Adelie,Dream,58.0,21.1,193.0,3100.0,MALE
Adelie,Dream,35.0,17.0,183.0,3850.0,.
Chinstrap,Dream,37.6,19.6,178.0,4500.0,.
Chinstrap,Dream,35.9,14.9,182.0,4575.0,MALE
Gentoo,Dream,46.3,19.3,186.0,4900.0,.
Adelie,Biscoe,42.6,19.5,215.0,4500.0,FEMALE
Gentoo,Biscoe,50.5,15.9,222.0,5550.0,MALE
Adelie,Torgersen,42.4,14.4,190.0,4925.0,.
Adelie,Biscoe,40.6,16.7,196.0,5950.0,.
Adelie,Biscoe,39.7,18.9,184.0,3550.0,MALE
Gentoo,Dream,50.7,15.8,193.0,4550.0,MALE
Gentoo,Torgersen,35.1,14.3,199.0,3625.0,MALE
Gentoo,Biscoe,43.1,18.6,221.0,3450.0,MALE
Adelie,Torgersen,46.0,21.2,197.0,3200.0,.
Chinstrap,Biscoe,49.5,19.0,215.0,3900.0,.
