,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
0,Gentoo,Biscoe,54.3,14.2,190.0,5700.0,.
1,Gentoo,Biscoe,41.4,21.5,222.0,5800.0,FEMALE
2,Gentoo,Torgersen,44.0,13.5,197.0,5600.0,FEMALE
3,Gentoo,Dream,49.2,16.0,190.0,2850.0,MALE
4,Adelie,Dream,42.6,19.5,192.0,3625.0,.
5,Adelie,Torgersen,47.8,14.8,195.0,5100.0,MALE
6,Chinstrap,Dream,45.0,19.0,195.0,5450.0,.
7,Gentoo,Biscoe,49.8,15.1,220.0,3900.0,FEMALE
8,Chinstrap,Dream,50.3,18.6,210.0,5000.0,MALE
9,Chinstrap,Dream,36.4,13.1,203.0,5850.0,MALE
10,Gentoo,Biscoe,46.2,14.9,217.0,3600.0,FEMALE
11,Gentoo,Biscoe,45.7,18.6,214.0,3200.0,FEMALE
12,Adelie,Torgersen,36.7,18.2,195.0,3775.0,.
13,Gentoo,Torgersen,50.1,17.0,184.0,4500.0,.
14,Chinstrap,Dream,35.9,20.5,212.0,5400.0,FEMALE
15,Gentoo,Biscoe,41.7,19.1,181.0,4550.0,MALE
16,Chinstrap,Torgersen,40.3,17.1,187.0,5000.0,FEMALE
17,Adelie,Torgersen,35.6,14.6,190.0,5550.0,MALE
18,Adelie,Dream,41.6,15.3,190.0,3625.0,FEMALE
19,Adelie,Dream,41.6,13.7,186.0,4150.0,FEMALE
20,Chinstrap,Torgersen,43.3,17.9,185.0,4300.0,FEMALE
21,Chinstrap,Dream,39.7,18.7,207.0,3075.0,MALE
22,Adelie,Biscoe,41.0,13.7,191.0,4600.0,.
23,Gentoo,Dream,40.1,15.2,195.0,4550.0,MALE
24,Chinstrap,Dream,48.6,18.7,196.0,3750.0,FEMALE
25,Gentoo,Biscoe,41.7,17.0,221.0,3825.0,MALE
26,Chinstrap,Biscoe,45.4,13.3,192.0,3825.0,.
27,Adelie,Dream,42.3,20.1,196.0,5550.0,FEMALE
28,Adelie,Dream,40.6,20.5,210.0,3725.0,MALE
29,Gentoo,Biscoe,41.5,14.2,210.0,4800.0,.
30,Chinstrap,Biscoe,50.3,18.7,224.0,3600.0,FEMALE
31,Chinstrap,Dream,55.1,18.8,198.0,3200.0,.
32,Adelie,Torgersen,52.5,13.7,181.0,3775.0,MALE
33,Chinstrap,Dream,48.2,17.6,181.0,3000.0,MALE
34,Chinstrap,Dream,42.6,16.8,212.0,4250.0,.
35,Adelie,Biscoe,46.7,13.4,212.0,3950.0,FEMALE
36,Gentoo,Dream,48.7,17.0,181.0,5800.0,.
37,Adelie,Dream,35.2,14.9,186.0,3500.0,FEMALE
38,Adelie,Biscoe,41.7,13.3,187.0,5450.0,FEMALE
39,Gentoo,Dream,40.5,14.7,183.0,4975.0,FEMALE
40,Gentoo,Biscoe,46.9,13.2,217.0,3100.0,FEMALE
41,Gentoo,Torgersen,42.6,21.5,230.0,4650.0,MALE
42,Chinstrap,Biscoe,42.0,18.3,184.0,4625.0,FEMALE
43,Gentoo,Dream,42.3,17.6,184.0,4500.0,.
44,Gentoo,Torgersen,35.6,19.0,199.0,3825.0,FEMALE
45,Adelie,Dream,35.7,16.6,216.0,3100.0,.
46,Adelie,Biscoe,42.7,17.3,187.0,4950.0,.
47,Adelie,Dream,50.3,15.3,192.0,4600.0,MALE
48,Adelie,Dream,41.0,19.1,188.0,4375.0,FEMALE
49,Adelie,Dream,41.8,16.3,190.0,5550.0,FEMALE
50,Chinstrap,Torgersen,41.7,19.8,185.0,4925.0,MALE
51,Chinstrap,Torgersen,38.6,21.1,195.0,4550.0,FEMALE
52,Chinstrap,Biscoe,47.5,14.1,186.0,3300.0,FEMALE
53,Adelie,Dream,35.9,13.6,195.0,3600.0,FEMALE
54,Chinstrap,Torgersen,35.1,20.6,194.0,5400.0,FEMALE
55,Adelie,Dream,35.7,13.5,191.0,4100.0,.
56,Adelie,Dream,43.4,21.5,193.0,3425.0,FEMALE
57,Gentoo,Biscoe,44.0,15.1,209.0,3850.0,MALE
58,Gentoo,Biscoe,35.1,15.7,185.0,3150.0,.
59,Adelie,Dream,46.2,20.1,201.0,4550.0,FEMALE
60,Adelie,Dream,43.1,19.5,187.0,5500.0,FEMALE
61,Gentoo,Dream,44.4,13.2,192.0,3700.0,FEMALE
62,Gentoo,Biscoe,39.8,17.3,208.0,2700.0,MALE
63,Chinstrap,Dream,41.5,18.1,199.0,3650.0,FEMALE
64,Gentoo,Dream,49.4,15.6,189.0,4150.0,MALE
65,Chinstrap,Dream,50.8,18.1,192.0,5250.0,FEMALE
66,Gentoo,Dream,42.8,16.4,187.0,6000.0,MALE
67,Gentoo,Dream,43.8,16.5,210.0,4000.0,MALE
68,Adelie,Biscoe,48.1,18.5,221.0,4575.0,MALE
69,Gentoo,Torgersen,46.1,17.9,187.0,4650.0,MALE
70,Gentoo,Biscoe,42.7,18.8,202.0,3475.0,.
71,Adelie,Torgersen,45.0,20.1,197.0,5550.0,MALE
72,Chinstrap,Dream,37.7,18.4,193.0,3575.0,FEMALE
73,Adelie,Torgersen,40.9,17.1,198.0,5200.0,MALE
