,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
0,Gentoo,Dream,36.5,16.7,191.0,3425.0,MALE
1,Adelie,Dream,51.5,18.4,191.0,3900.0,MALE
2,Adelie,Torgersen,51.1,15.0,191.0,3650.0,MALE
3,Chinstrap,Dream,46.3,15.5,210.0,3700.0,MALE
4,Chinstrap,Dream,50.8,14.9,210.0,3900.0,.
5,Gentoo,Torgersen,35.0,13.1,184.0,4350.0,MALE
6,Adelie,Dream,50.1,13.4,210.0,4600.0,MALE
7,Adelie,Dream,35.1,20.5,191.0,5400.0,MALE
8,Chinstrap,Biscoe,51.3,15.2,191.0,5100.0,MALE
9,Chinstrap,Dream,41.1,13.8,213.0,2850.0,.
10,Adelie,Torgersen,38.7,18.3,199.0,3975.0,FEMALE
11,Adelie,Biscoe,46.9,14.9,217.0,4575.0,MALE
12,Chinstrap,Biscoe,43.8,17.4,186.0,5300.0,.
13,Gentoo,Biscoe,43.4,17.6,212.0,4250.0,FEMALE
14,Chinstrap,Biscoe,35.0,17.7,172.0,4400.0,FEMALE
15,Chinstrap,Torgersen,50.0,16.4,197.0,4000.0,MALE
16,Gentoo,Dream,46.8,16.1,189.0,3800.0,.
17,Gentoo,Biscoe,51.5,15.6,203.0,4300.0,MALE
18,Adelie,Biscoe,36.8,19.4,192.0,2700.0,FEMALE
19,Chinstrap,Dream,48.7,16.8,212.0,3800.0,FEMALE
20,Adelie,Biscoe,37.7,15.5,229.0,5250.0,MALE
21,Adelie,Dream,45.7,18.9,185.0,3975.0,FEMALE
22,Adelie,Dream,49.1,18.9,195.0,4850.0,MALE
23,Gentoo,Torgersen,46.7,13.9,214.0,4200.0,MALE
24,Gentoo,Biscoe,46.8,15.9,190.0,4600.0,.
25,Adelie,Biscoe,49.4,17.9,220.0,5550.0,.
26,Gentoo,Torgersen,32.1,16.9,190.0,4950.0,FEMALE
27,Chinstrap,Dream,39.7,16.4,178.0,4550.0,MALE
28,Gentoo,Biscoe,41.6,17.2,216.0,5450.0,.
29,Adelie,Torgersen,35.9,20.1,190.0,5650.0,FEMALE
30,Chinstrap,Dream,35.0,18.2,193.0,3075.0,FEMALE
31,Chinstrap,Dream,37.7,17.8,215.0,4575.0,.
32,Gentoo,Torgersen,50.0,13.1,197.0,4800.0,MALE
33,Chinstrap,Torgersen,47.5,17.3,189.0,2850.0,FEMALE
34,Adelie,Dream,42.5,21.1,197.0,5550.0,FEMALE
35,Gentoo,Biscoe,50.7,16.7,218.0,4350.0,.
36,Adelie,Dream,43.5,17.0,193.0,6300.0,FEMALE
37,Chinstrap,Dream,59.6,16.2,194.0,3850.0,FEMALE
