,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
0,Adelie,Dream,45.6,19.2,194.0,4800.0,MALE
1,Chinstrap,Biscoe,52.0,16.1,219.0,3050.0,MALE
2,Chinstrap,Biscoe,35.3,19.6,229.0,3900.0,FEMALE
3,Gentoo,Dream,38.8,13.6,228.0,3300.0,FEMALE
4,Adelie,Dream,51.0,19.6,187.0,3100.0,.
5,Gentoo,Biscoe,45.1,16.7,181.0,4100.0,MALE
6,Adelie,Dream,39.6,18.7,186.0,2700.0,.
7,Gentoo,Biscoe,37.0,14.1,215.0,5000.0,MALE
8,Adelie,Biscoe,51.4,16.9,188.0,5950.0,MALE
9,Chinstrap,Dream,47.0,15.1,188.0,3800.0,.
10,Adelie,Dream,46.1,15.4,197.0,4600.0,FEMALE
11,Gentoo,Biscoe,34.4,15.1,216.0,4925.0,MALE
12,Chinstrap,Dream,35.5,15.4,187.0,3300.0,FEMALE
13,Gentoo,Torgersen,37.8,18.8,191.0,2925.0,FEMALE
14,Chinstrap,Biscoe,39.1,17.1,208.0,5100.0,.
15,Adelie,Torgersen,49.8,16.0,187.0,5500.0,MALE
16,Adelie,Dream,52.0,13.1,207.0,3300.0,.
17,Chinstrap,Biscoe,38.6,15.9,212.0,3325.0,.
18,Adelie,Biscoe,34.4,14.9,220.0,4650.0,MALE
19,Gentoo,Biscoe,51.7,13.1,212.0,5300.0,FEMALE
20,Adelie,Torgersen,36.6,18.3,191.0,4350.0,FEMALE
21,Gentoo,Torgersen,52.5,19.2,198.0,4650.0,FEMALE
22,Adelie,Dream,55.9,17.5,210.0,4775.0,MALE
23,Adelie,Dream,41.3,18.5,190.0,4050.0,FEMALE
24,Chinstrap,Dream,45.6,16.8,191.0,5800.0,FEMALE
25,Adelie,Biscoe,42.1,19.3,221.0,2850.0,.
26,Chinstrap,Biscoe,47.0,19.7,203.0,5600.0,FEMALE
27,Gentoo,Biscoe,46.6,13.6,215.0,3450.0,FEMALE
28,Chinstrap,Torgersen,45.3,17.4,181.0,4475.0,FEMALE
29,Adelie,Biscoe,43.8,18.7,218.0,5200.0,.
30,Chinstrap,Dream,43.1,14.9,193.0,5150.0,.
31,Chinstrap,Torgersen,37.8,20.1,199.0,5250.0,FEMALE
32,Adelie,Torgersen,35.0,19.6,181.0,5550.0,.
33,Gentoo,Biscoe,48.7,13.4,229.0,3650.0,MALE
34,Chinstrap,Biscoe,46.6,17.9,220.0,4100.0,.
35,Chinstrap,Dream,42.2,15.0,210.0,4075.0,.
36,Adelie,Biscoe,39.8,21.5,213.0,3100.0,.
37,Adelie,Dream,40.1,18.8,194.0,3775.0,MALE
38,Adelie,Dream,46.6,15.1,178.0,3700.0,FEMALE
39,Adelie,Dream,43.5,16.6,196.0,4850.0,.
40,Adelie,Torgersen,59.6,13.1,195.0,5250.0,.
41,Adelie,Torgersen,51.1,18.9,193.0,5250.0,MALE
42,Adelie,Dream,43.2,15.8,178.0,4850.0,FEMALE
43,Chinstrap,Dream,48.5,13.4,187.0,3250.0,FEMALE
44,Adelie,Biscoe,50.8,17.4,210.0,5250.0,.
45,Adelie,Biscoe,39.2,20.5,215.0,3075.0,FEMALE
46,Chinstrap,Dream,49.3,14.4,197.0,4350.0,.
47,Chinstrap,Torgersen,39.2,15.4,197.0,3150.0,FEMALE
48,Adelie,Dream,47.8,16.8,189.0,3575.0,.
49,Chinstrap,Dream,35.7,19.2,181.0,5450.0,MALE
50,Adelie,Biscoe,47.8,19.8,221.0,5400.0,.
51,Gentoo,Dream,52.0,18.8,208.0,3525.0,FEMALE
52,Gentoo,Dream,50.2,20.8,202.0,4975.0,.
53,Adelie,Biscoe,35.5,21.1,184.0,3875.0,.
54,Chinstrap,Torgersen,35.1,19.3,223.0,3700.0,MALE
55,Chinstrap,Biscoe,51.1,20.5,218.0,5250.0,FEMALE
56,Adelie,Torgersen,36.5,15.5,172.0,4925.0,.
57,Chinstrap,Torgersen,39.1,18.8,199.0,3575.0,.
58,Gentoo,Biscoe,35.7,14.2,225.0,4900.0,.
59,Adelie,Biscoe,35.2,19.6,218.0,4100.0,.
60,Chinstrap,Dream,38.1,18.1,221.0,3600.0,FEMALE
61,Chinstrap,Dream,37.7,15.6,196.0,3850.0,FEMALE
62,Gentoo,Dream,52.2,19.4,201.0,3200.0,FEMALE
63,Gentoo,Dream,52.1,15.4,222.0,5300.0,FEMALE
64,Adelie,Torgersen,38.9,19.2,214.0,3525.0,.
65,Gentoo,Dream,49.5,13.4,194.0,3825.0,FEMALE
66,Gentoo,Dream,41.1,16.6,191.0,3250.0,.
67,Chinstrap,Dream,36.6,15.1,190.0,3950.0,FEMALE
68,Adelie,Torgersen,52.2,14.9,191.0,4275.0,MALE
69,Chinstrap,Dream,48.4,16.9,190.0,4475.0,MALE
70,Chinstrap,Dream,36.5,17.1,205.0,3150.0,MALE
71,Adelie,Dream,40.7,17.7,199.0,4400.0,.
72,Chinstrap,Dream,41.3,16.2,187.0,3100.0,FEMALE
73,Chinstrap,Torgersen,33.5,17.1,176.0,3825.0,FEMALE
74,Adelie,Torgersen,40.3,19.3,190.0,4625.0,MALE
75,Gentoo,Dream,34.0,14.1,186.0,4650.0,FEMALE
76,Adelie,Torgersen,49.7,18.3,189.0,3100.0,FEMALE
77,Chinstrap,Dream,44.4,16.1,198.0,4500.0,.
78,Chinstrap,Biscoe,52.8,13.1,222.0,4200.0,.
79,Gentoo,Torgersen,50.8,14.3,213.0,5000.0,MALE
80,Chinstrap,Biscoe,54.2,20.1,213.0,3425.0,MALE
81,Adelie,Dream,36.9,18.0,195.0,6300.0,MALE
82,Adelie,Biscoe,51.3,19.4,219.0,4550.0,MALE
83,Chinstrap,Dream,36.6,16.5,212.0,4800.0,.
84,Adelie,Biscoe,44.0,14.5,217.0,6000.0,MALE
85,Gentoo,Dream,36.0,14.8,201.0,6300.0,MALE
86,Adelie,Torgersen,52.2,13.8,172.0,4350.0,FEMALE
87,Chinstrap,Biscoe,37.7,17.8,214.0,3475.0,MALE
88,Adelie,Biscoe,45.5,17.6,191.0,3100.0,MALE
89,Chinstrap,Dream,42.5,13.3,194.0,5550.0,FEMALE
90,Chinstrap,Torgersen,38.9,19.2,176.0,3625.0,MALE
91,Gentoo,Biscoe,43.6,15.6,225.0,3100.0,MALE
92,Adelie,Biscoe,45.7,14.7,193.0,4550.0,MALE
93,Gentoo,Torgersen,38.8,14.4,193.0,4475.0,MALE
94,Chinstrap,Torgersen,34.6,19.5,187.0,4200.0,.
95,Adelie,Dream,50.6,14.2,194.0,4775.0,FEMALE
96,Adelie,Biscoe,40.6,16.7,215.0,2900.0,.
97,Gentoo,Biscoe,41.6,16.6,215.0,4650.0,.
98,Gentoo,Biscoe,42.4,17.7,216.0,3900.0,.
99,Chinstrap,Biscoe,43.8,20.6,212.0,4900.0,FEMALE
100,Chinstrap,Dream,55.9,19.8,187.0,2850.0,FEMALE
101,Gentoo,Biscoe,39.0,19.0,189.0,5800.0,MALE
102,Adelie,Dream,54.3,17.4,191.0,2700.0,MALE
103,Chinstrap,Biscoe,40.6,17.2,210.0,3400.0,MALE
104,Gentoo,Biscoe,42.7,18.5,214.0,4375.0,.
105,Gentoo,Dream,46.6,17.1,203.0,3600.0,.
106,Gentoo,Dream,38.1,14.7,191.0,5250.0,.
107,Chinstrap,Torgersen,47.0,14.7,199.0,3875.0,FEMALE
108,Adelie,Dream,40.5,17.7,203.0,4375.0,MALE
109,Chinstrap,Biscoe,52.1,15.9,184.0,4450.0,FEMALE
110,Chinstrap,Dream,48.2,18.1,193.0,5250.0,MALE
111,Gentoo,Biscoe,55.9,13.3,215.0,4575.0,MALE
112,Gentoo,Biscoe,50.0,15.6,213.0,3600.0,.
113,Chinstrap,Dream,51.9,17.8,187.0,3625.0,FEMALE
114,Adelie,Dream,39.2,18.8,196.0,5500.0,FEMALE
115,Adelie,Torgersen,38.8,15.5,195.0,3700.0,.
116,Gentoo,Torgersen,35.6,18.7,225.0,3325.0,.
117,Chinstrap,Torgersen,51.5,15.5,195.0,4350.0,FEMALE
118,Gentoo,Torgersen,44.0,18.4,199.0,5450.0,FEMALE
119,Chinstrap,Dream,43.4,19.8,199.0,4300.0,FEMALE
120,Gentoo,Biscoe,43.5,15.6,215.0,5200.0,MALE
121,Chinstrap,Biscoe,36.0,15.3,230.0,4300.0,FEMALE
122,Gentoo,Biscoe,37.8,17.8,181.0,4550.0,MALE
123,Gentoo,Biscoe,52.2,15.4,215.0,5650.0,.
124,Adelie,Torgersen,44.0,14.4,191.0,3775.0,FEMALE
125,Gentoo,Torgersen,42.3,13.4,213.0,4925.0,FEMALE
126,Gentoo,Dream,53.5,19.4,190.0,3450.0,MALE
127,Chinstrap,Torgersen,50.0,16.1,185.0,3175.0,.
128,Gentoo,Dream,35.2,18.7,196.0,3475.0,MALE
129,Chinstrap,Dream,38.1,13.4,190.0,5800.0,MALE
130,Gentoo,Dream,34.0,21.2,191.0,5250.0,.
131,Chinstrap,Torgersen,51.4,19.4,183.0,2700.0,FEMALE
132,Adelie,Torgersen,46.0,13.1,191.0,3600.0,FEMALE
133,Gentoo,Biscoe,41.7,16.7,209.0,5050.0,.
134,Gentoo,Biscoe,35.1,15.8,182.0,6000.0,FEMALE
135,Chinstrap,Dream,44.4,15.6,184.0,5700.0,MALE
136,Gentoo,Biscoe,35.2,15.8,184.0,3350.0,MALE
137,Adelie,Dream,42.0,18.7,201.0,2700.0,FEMALE
138,Gentoo,Torgersen,38.8,17.3,206.0,3200.0,MALE
139,Chinstrap,Biscoe,47.2,13.3,188.0,4900.0,.
140,Adelie,Torgersen,48.4,15.8,193.0,4725.0,MALE
141,Adelie,Biscoe,37.3,18.9,181.0,3175.0,FEMALE
142,Gentoo,Torgersen,44.9,20.1,213.0,4775.0,FEMALE
143,Chinstrap,Dream,50.3,14.2,190.0,5700.0,MALE
144,Chinstrap,Dream,43.1,18.4,185.0,4350.0,MALE
145,Chinstrap,Torgersen,53.5,19.1,185.0,4725.0,MALE
146,Adelie,Biscoe,40.9,16.9,215.0,3625.0,.
147,Adelie,Biscoe,54.2,13.4,189.0,4975.0,MALE
148,Chinstrap,Dream,45.5,18.9,181.0,5800.0,.
149,Gentoo,Biscoe,52.1,14.5,216.0,3950.0,FEMALE
150,Adelie,Dream,46.5,19.3,193.0,4475.0,MALE
151,Chinstrap,Biscoe,41.1,14.2,230.0,3550.0,FEMALE
152,Chinstrap,Dream,38.3,13.1,192.0,4600.0,MALE
153,Adelie,Dream,34.6,16.6,183.0,5450.0,MALE
154,Chinstrap,Dream,33.5,19.8,192.0,5200.0,FEMALE
155,Chinstrap,Dream,37.7,16.0,210.0,4350.0,FEMALE
156,Adelie,Biscoe,50.4,14.3,188.0,2925.0,FEMALE
157,Chinstrap,Biscoe,51.7,16.4,210.0,4250.0,MALE
158,Chinstrap,Dream,40.9,18.2,190.0,4475.0,.
159,Adelie,Torgersen,48.6,18.1,224.0,3750.0,MALE
160,Gentoo,Biscoe,48.1,14.8,210.0,3350.0,MALE
161,Gentoo,Dream,39.0,14.1,188.0,3250.0,FEMALE
162,Chinstrap,Dream,47.6,14.1,195.0,5300.0,.
163,Chinstrap,Dream,39.3,17.8,213.0,4625.0,.
164,Adelie,Biscoe,38.9,16.4,210.0,4925.0,.
165,Adelie,Dream,45.5,17.0,187.0,5800.0,.
166,Gentoo,Dream,47.7,14.2,230.0,4200.0,.
167,Adelie,Dream,38.3,17.1,202.0,5600.0,FEMALE
168,Adelie,Torgersen,52.7,15.9,198.0,3450.0,MALE
169,Chinstrap,Biscoe,36.4,13.4,210.0,3550.0,MALE
170,Chinstrap,Biscoe,46.6,19.7,190.0,4600.0,.
171,Chinstrap,Dream,49.0,18.5,193.0,4625.0,.
172,Chinstrap,Dream,52.2,20.7,193.0,4300.0,FEMALE
173,Chinstrap,Dream,45.0,15.3,187.0,3650.0,FEMALE
174,Adelie,Biscoe,40.6,17.9,229.0,5400.0,.
175,Chinstrap,Torgersen,42.4,18.9,197.0,3325.0,FEMALE
176,Adelie,Biscoe,36.4,19.7,224.0,4800.0,MALE
177,Chinstrap,Dream,37.5,18.3,191.0,3700.0,.
178,Adelie,Dream,33.5,15.2,199.0,5450.0,MALE
179,Gentoo,Biscoe,51.1,15.3,208.0,4975.0,MALE
180,Gentoo,Biscoe,51.7,14.6,228.0,4450.0,FEMALE
181,Adelie,Torgersen,50.7,13.2,193.0,3575.0,FEMALE
182,Adelie,Dream,46.5,13.2,185.0,4725.0,FEMALE
183,Chinstrap,Dream,40.7,13.7,188.0,5200.0,MALE
184,Chinstrap,Biscoe,49.6,16.4,188.0,4075.0,MALE
185,Chinstrap,Dream,49.7,15.0,202.0,4075.0,.
186,Chinstrap,Biscoe,37.8,16.4,230.0,4750.0,.
187,Adelie,Dream,43.6,17.7,190.0,5750.0,MALE
188,Chinstrap,Torgersen,55.9,19.6,197.0,5400.0,MALE
189,Gentoo,Torgersen,44.0,15.8,209.0,4600.0,MALE
190,Gentoo,Biscoe,48.6,17.8,174.0,5550.0,MALE
191,Chinstrap,Biscoe,37.3,18.0,228.0,4350.0,.
192,Adelie,Dream,42.7,18.9,201.0,5350.0,MALE
193,Chinstrap,Dream,59.6,19.3,192.0,5700.0,FEMALE
194,Chinstrap,Dream,45.7,19.1,196.0,3550.0,FEMALE
