species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Biscoe,47.1,18.0,192.3,4819.5,MALE
Gentoo,Biscoe,40.1,18.3,194.9,3734.6,FEMALE
Adelie,Dream,36.2,18.2,191.9,3621.2,MALE
Gentoo,Dream,49.6,18.8,224.2,3871.8,MALE
Adelie,Torgersen,40.7,18.7,195.1,3850.3,FEMALE
Adelie,Biscoe,40.1,18.0,217.7,4995.9,MALE
Adelie,Biscoe,39.3,18.2,195.7,3711.2,MALE
Chinstrap,Torgersen,49.3,18.0,218.4,3871.0,FEMALE
Gentoo,Biscoe,47.7,18.2,190.0,4961.6,FEMALE
Adelie,Dream,48.6,18.6,194.0,4874.5,MALE
Adelie,Dream,41.2,18.3,196.0,3663.5,FEMALE
Adelie,Biscoe,40.3,15.1,195.2,3767.8,MALE
Adelie,Biscoe,39.6,18.3,194.9,3707.2,MALE
Adelie,Dream,47.7,14.5,191.2,4791.8,MALE
Adelie,Biscoe,38.7,16.6,192.9,3503.5,FEMALE
Adelie,Biscoe,49.6,15.4,192.6,3707.5,MALE
Gentoo,Dream,48.0,18.4,194.9,5077.5,FEMALE
Adelie,Biscoe,46.5,18.1,189.2,3635.4,FEMALE
Adelie,Biscoe,49.0,18.5,193.5,3880.9,FEMALE
Gentoo,Biscoe,40.2,18.7,196.6,3775.6,MALE
Adelie,Dream,49.7,18.6,189.3,3815.2,MALE
Adelie,Dream,38.7,17.9,214.9,4745.3,FEMALE
Adelie,Torgersen,35.3,18.0,190.8,3604.6,FEMALE
Adelie,Biscoe,39.2,18.1,191.8,3539.3,MALE
Adelie,Torgersen,40.2,18.5,191.8,5037.6,MALE
Adelie,Biscoe,48.0,18.6,215.6,3670.2,MALE
Chinstrap,Dream,48.0,17.9,217.2,3664.1,FEMALE
Gentoo,Biscoe,48.7,14.5,211.9,5070.8,MALE
Adelie,Dream,39.6,18.7,194.2,3862.8,MALE
Gentoo,Biscoe,40.1,14.7,189.8,3635.7,MALE
Adelie,Biscoe,39.2,18.0,192.0,3663.9,FEMALE
Adelie,Biscoe,40.2,17.5,193.6,3705.2,MALE
Chinstrap,Biscoe,49.3,18.4,196.0,4948.8,FEMALE
Adelie,Dream,39.1,18.3,193.7,3709.3,MALE
Adelie,Dream,40.7,18.2,190.9,4609.2,FEMALE
Adelie,Biscoe,40.1,18.7,192.3,3631.1,MALE
Adelie,Biscoe,48.6,18.2,194.2,3716.5,FEMALE
Adelie,Dream,38.4,18.8,188.3,3728.2,MALE
Adelie,Dream,39.9,17.9,193.2,3590.2,FEMALE
Adelie,Dream,40.9,18.8,197.4,3855.5,MALE
Gentoo,Biscoe,47.4,18.4,191.8,3746.8,FEMALE
Adelie,Dream,39.9,18.6,193.9,3751.4,MALE
Adelie,Biscoe,37.0,16.7,190.1,3020.4,FEMALE
Adelie,Biscoe,47.5,18.9,189.4,5006.4,MALE
Adelie,Dream,39.2,17.8,214.9,4703.1,MALE
Chinstrap,Dream,47.2,17.9,191.1,3681.9,FEMALE
Gentoo,Biscoe,47.7,17.7,216.4,4832.4,FEMALE
Adelie,Biscoe,39.7,18.5,191.8,3534.5,MALE
Chinstrap,Dream,49.5,18.3,193.8,4961.1,MALE
Adelie,Dream,48.0,18.2,190.0,3746.7,FEMALE
Adelie,Dream,38.6,18.0,194.3,5223.6,MALE
Adelie,Torgersen,39.0,17.9,215.6,4989.9,MALE
Adelie,Biscoe,50.0,18.2,191.6,4797.9,MALE
Chinstrap,Biscoe,49.0,18.5,195.5,3787.3,FEMALE
Gentoo,Biscoe,47.7,18.1,194.1,3686.4,FEMALE
Adelie,Dream,39.8,18.5,197.9,3658.8,MALE
Adelie,Dream,50.6,18.8,197.9,3910.6,MALE
Adelie,Dream,47.2,18.2,193.2,3729.7,FEMALE
Adelie,Dream,40.0,17.8,214.0,3666.1,MALE
Adelie,Biscoe,48.2,17.8,191.8,3515.2,FEMALE
Chinstrap,Dream,40.4,18.3,194.8,3788.3,FEMALE
Adelie,Biscoe,48.6,18.0,194.1,3652.1,FEMALE
Gentoo,Biscoe,39.3,18.4,194.1,3728.0,MALE
Chinstrap,Torgersen,47.6,17.9,216.7,4915.8,FEMALE
Adelie,Biscoe,39.8,18.6,197.7,5126.1,MALE
Adelie,Dream,39.4,18.4,193.0,3840.0,MALE
Adelie,Biscoe,39.7,18.3,196.1,3732.8,FEMALE
Adelie,Dream,40.4,18.0,191.0,3755.6,MALE
Adelie,Dream,47.3,18.3,189.4,3726.5,MALE
Gentoo,Biscoe,48.9,18.9,192.7,3840.9,MALE
Adelie,Torgersen,40.1,18.6,192.6,3704.2,FEMALE
Gentoo,Dream,40.3,18.6,196.1,3870.5,MALE
Adelie,Biscoe,48.5,18.4,192.6,3708.4,MALE
Adelie,Dream,39.5,18.6,196.0,4980.2,MALE
Chinstrap,Dream,38.9,18.3,191.0,4935.7,MALE
Adelie,Biscoe,39.8,18.9,195.1,3754.1,MALE
Adelie,Biscoe,40.1,18.6,217.4,4927.8,MALE
Adelie,Biscoe,47.4,18.1,191.1,3603.6,MALE
Adelie,Dream,50.8,18.7,223.6,5107.5,MALE
Adelie,Biscoe,48.0,14.7,213.8,4986.9,FEMALE
Adelie,Biscoe,49.9,18.7,195.3,3832.7,MALE
Adelie,Dream,40.8,18.6,197.3,3904.8,MALE
Adelie,Dream,40.3,18.4,191.9,4658.2,MALE
Adelie,Dream,40.1,19.8,193.2,3813.5,MALE
Gentoo,Biscoe,49.9,17.9,193.5,5330.5,MALE
Adelie,Biscoe,36.8,17.8,191.0,3522.5,FEMALE
Gentoo,Torgersen,39.5,14.8,190.8,3681.0,FEMALE
Adelie,Biscoe,49.2,18.6,193.4,3865.8,MALE
Gentoo,Dream,38.9,14.4,194.0,3658.0,FEMALE
Gentoo,Biscoe,48.9,14.5,216.5,4984.5,MALE
Adelie,Dream,47.5,18.1,220.7,3714.0,FEMALE
Chinstrap,Dream,49.1,18.5,194.1,5108.4,MALE
Adelie,Torgersen,39.0,17.6,194.1,3511.1,FEMALE
Gentoo,Dream,39.3,18.2,192.5,3762.4,FEMALE
Adelie,Dream,39.8,18.1,190.9,3664.0,FEMALE
Adelie,Biscoe,42.3,18.8,219.1,3621.2,MALE
Adelie,Biscoe,47.7,18.1,192.2,4940.2,MALE
Chinstrap,Dream,48.0,18.4,193.7,3717.9,MALE
Adelie,Dream,39.7,18.7,191.8,5172.3,MALE
Adelie,Biscoe,40.1,18.4,191.8,3593.7,FEMALE
Adelie,Biscoe,49.7,18.6,216.6,5070.1,MALE
Adelie,Biscoe,42.3,17.8,216.0,4622.7,MALE
Adelie,Dream,36.8,18.0,192.4,3551.6,MALE
Adelie,Biscoe,39.3,18.4,192.7,3765.7,MALE
Gentoo,Biscoe,39.8,18.2,192.2,3629.3,FEMALE
Adelie,Dream,48.3,18.6,193.2,3782.2,MALE
Adelie,Biscoe,46.8,18.2,194.3,4649.9,FEMALE
Chinstrap,Dream,49.0,18.7,214.9,5317.5,MALE
Adelie,Biscoe,38.7,17.8,191.2,4747.8,FEMALE
Chinstrap,Dream,38.6,18.0,213.6,3479.0,MALE
Adelie,Torgersen,40.0,18.6,194.5,3787.7,MALE
Gentoo,Torgersen,39.1,18.2,190.3,3888.9,FEMALE
Adelie,Biscoe,47.7,18.7,228.0,5277.3,MALE
Adelie,Dream,40.2,18.2,195.6,3919.8,FEMALE
Adelie,Biscoe,39.7,18.2,222.5,5143.8,MALE
Adelie,Dream,40.2,18.8,189.1,3511.0,MALE
Adelie,Biscoe,47.6,18.0,192.3,4668.8,FEMALE
Adelie,Biscoe,47.9,18.4,194.0,3793.6,MALE
Adelie,Biscoe,38.8,17.9,189.3,3437.1,FEMALE
Adelie,Dream,40.8,18.8,197.9,5235.4,MALE
Gentoo,Biscoe,48.6,18.3,189.9,4998.9,MALE
Adelie,Dream,37.2,18.4,190.0,3619.4,FEMALE
Adelie,Dream,38.6,17.6,188.6,3436.0,MALE
Adelie,Biscoe,40.6,18.5,217.1,3634.1,MALE
Adelie,Biscoe,39.5,18.4,193.7,3634.5,MALE
Gentoo,Dream,39.6,18.3,194.2,3623.6,FEMALE
Adelie,Biscoe,48.8,18.6,193.6,3818.9,MALE
Adelie,Dream,47.9,18.1,194.3,3616.7,FEMALE
Gentoo,Biscoe,49.3,18.7,196.7,3763.2,FEMALE
Gentoo,Torgersen,39.2,16.9,215.2,3092.8,FEMALE
Adelie,Dream,40.7,18.5,194.6,3729.8,MALE
Adelie,Dream,47.0,18.1,191.1,3621.5,MALE
Adelie,Torgersen,40.1,18.8,196.3,5094.1,MALE
Adelie,Torgersen,38.8,18.5,194.9,3647.6,FEMALE
Adelie,Dream,48.6,19.9,219.6,4866.7,MALE
Adelie,Torgersen,39.1,15.2,192.5,3556.5,MALE
Adelie,Dream,39.5,18.2,195.5,4951.5,MALE
Adelie,Biscoe,47.6,17.8,215.8,4770.8,FEMALE
Adelie,Biscoe,47.0,18.0,212.3,3681.2,FEMALE
Adelie,Dream,48.0,18.3,196.4,3956.9,FEMALE
Adelie,Biscoe,39.9,18.2,220.7,4962.3,FEMALE
Adelie,Biscoe,49.5,18.5,194.4,4761.6,MALE
Adelie,Biscoe,39.0,18.1,190.8,3554.9,MALE
Gentoo,Biscoe,39.0,14.6,192.9,3653.3,MALE
Adelie,Biscoe,49.2,18.2,193.6,3687.7,MALE
Gentoo,Dream,48.8,18.4,197.0,3784.7,MALE
Adelie,Biscoe,47.2,18.8,194.1,3873.1,MALE
Gentoo,Biscoe,39.7,18.5,191.6,3618.7,FEMALE
Gentoo,Biscoe,49.6,18.5,221.6,5226.6,FEMALE
Adelie,Biscoe,39.3,18.3,216.1,3793.0,FEMALE
Adelie,Biscoe,49.1,18.0,216.7,4900.4,FEMALE
Gentoo,Dream,48.6,18.4,218.0,3947.2,MALE
Adelie,Dream,40.7,18.8,193.5,3687.6,MALE
Adelie,Biscoe,41.2,18.7,222.0,5074.8,MALE
Adelie,Biscoe,39.9,18.6,193.4,3794.7,MALE
Gentoo,Biscoe,39.4,18.1,218.8,3762.3,FEMALE
Adelie,Biscoe,39.1,18.1,189.0,4681.1,MALE
Gentoo,Torgersen,39.5,18.5,196.5,3731.9,FEMALE
Adelie,Torgersen,38.9,18.5,193.0,3757.7,MALE
Gentoo,Biscoe,47.9,15.0,190.8,5106.8,MALE
Chinstrap,Dream,47.9,17.8,191.1,3664.3,MALE
Adelie,Torgersen,49.2,18.6,192.7,3796.2,MALE
Adelie,Torgersen,38.6,17.9,185.4,3767.4,FEMALE
Chinstrap,Biscoe,47.5,18.3,193.4,3722.1,MALE
