species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Biscoe,40.4,18.4,194.4,3673.6,MALE
Gentoo,Biscoe,39.4,18.1,218.8,3762.3,FEMALE
Adelie,Dream,49.3,18.5,222.2,3750.2,FEMALE
Adelie,Torgersen,39.2,18.6,193.8,3811.7,MALE
Adelie,Biscoe,40.3,15.1,195.2,3767.8,MALE
Gentoo,Biscoe,39.3,18.2,219.8,5081.2,FEMALE
Gentoo,Biscoe,47.8,16.8,215.0,3886.4,FEMALE
Chinstrap,Dream,47.6,18.0,195.8,3658.7,FEMALE
Adelie,Dream,39.2,18.0,193.2,4946.1,MALE
Adelie,Torgersen,39.0,14.5,218.9,3700.1,MALE
Adelie,Biscoe,39.8,18.2,195.2,3803.0,MALE
Adelie,Biscoe,39.4,18.5,194.4,3549.2,FEMALE
Gentoo,Biscoe,39.9,18.4,219.2,3884.2,FEMALE
Adelie,Biscoe,40.2,18.2,192.4,4552.0,MALE
Gentoo,Biscoe,47.3,18.1,215.6,4812.4,FEMALE
Adelie,Biscoe,39.7,18.0,195.2,4956.0,FEMALE
Gentoo,Torgersen,46.8,14.2,212.6,4842.4,FEMALE
Gentoo,Dream,48.5,18.6,195.7,4882.1,FEMALE
Gentoo,Biscoe,47.7,18.3,192.6,4898.2,MALE
Chinstrap,Biscoe,49.9,19.8,193.6,3853.0,MALE
Gentoo,Biscoe,47.6,15.1,192.0,5057.1,MALE
Adelie,Dream,41.7,18.6,194.4,3565.2,FEMALE
Adelie,Dream,39.8,15.5,197.0,5114.3,MALE
Adelie,Biscoe,47.6,18.0,193.1,4825.0,FEMALE
Adelie,Torgersen,39.0,17.9,215.6,4989.9,MALE
Adelie,Torgersen,39.7,18.1,193.5,5045.0,FEMALE
Gentoo,Biscoe,46.6,18.0,191.8,3670.0,MALE
Adelie,Biscoe,39.1,18.4,194.0,3736.8,MALE
Gentoo,Biscoe,46.7,14.2,216.8,4873.9,MALE
Gentoo,Dream,49.2,15.4,194.1,3652.5,MALE
Chinstrap,Dream,49.2,17.2,214.5,5085.8,MALE
Gentoo,Dream,37.8,17.9,193.4,5227.4,MALE
Gentoo,Biscoe,49.1,15.8,221.0,5516.1,MALE
Gentoo,Biscoe,49.4,18.6,192.0,3752.9,MALE
Adelie,Biscoe,38.9,18.2,189.4,4760.1,MALE
Adelie,Biscoe,39.2,19.5,217.2,3734.5,MALE
Gentoo,Dream,49.5,14.9,195.8,5160.1,MALE
Gentoo,Biscoe,48.1,18.5,219.1,5067.5,MALE
Chinstrap,Dream,47.9,17.8,191.1,3664.3,MALE
Adelie,Dream,50.2,20.3,195.4,3976.3,MALE
Adelie,Dream,40.3,18.4,191.9,4658.2,MALE
Adelie,Biscoe,41.3,18.3,196.5,3770.2,MALE
Gentoo,Biscoe,40.6,15.5,193.3,5180.2,MALE
Adelie,Dream,39.3,16.9,191.7,3543.5,MALE
Gentoo,Biscoe,47.8,18.1,217.5,3714.5,MALE
Gentoo,Biscoe,49.4,18.7,197.2,5098.3,FEMALE
Adelie,Biscoe,41.0,19.0,194.7,3888.1,MALE
Adelie,Dream,36.5,17.9,193.4,3652.4,FEMALE
Adelie,Dream,47.1,18.1,192.0,4727.4,MALE
Gentoo,Dream,45.4,18.1,190.2,3487.6,MALE
Adelie,Biscoe,39.7,17.7,188.3,3602.9,MALE
Adelie,Torgersen,38.9,17.7,193.4,3686.7,MALE
Gentoo,Biscoe,47.6,18.3,218.4,5195.0,MALE
Adelie,Biscoe,47.5,18.0,194.8,4973.4,FEMALE
Gentoo,Biscoe,49.1,14.8,191.7,4585.9,FEMALE
Adelie,Dream,39.5,19.1,194.3,3803.6,MALE
Gentoo,Biscoe,48.7,15.0,195.1,4961.2,FEMALE
Gentoo,Dream,47.2,17.5,213.6,4857.0,MALE
Adelie,Biscoe,38.8,17.8,193.2,4441.6,FEMALE
Adelie,Biscoe,38.9,18.1,194.5,3787.7,FEMALE
Adelie,Biscoe,41.3,18.7,193.7,5136.9,MALE
Adelie,Torgersen,40.7,17.7,193.5,3758.8,FEMALE
Gentoo,Dream,38.8,17.8,193.7,3699.3,FEMALE
Adelie,Dream,41.6,18.6,197.0,3934.6,MALE
Adelie,Dream,34.4,14.8,189.3,2926.5,FEMALE
Gentoo,Biscoe,47.8,18.1,194.8,4981.0,FEMALE
