,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
0,Adelie,Biscoe,48.46226445045381,18.167081134237048,188.89278223218966,3141.739897791023,FEMALE
1,Gentoo,Dream,40.13554224808728,18.31220784305991,219.90730841682745,3626.9559920845895,MALE
2,Adelie,Biscoe,38.69732861332518,18.252176590128904,189.88380365493293,3826.8030296678658,MALE
3,Chinstrap,Biscoe,47.35809955205225,17.51456546287093,192.20860238012128,3578.812228954659,FEMALE
4,Adelie,Biscoe,40.0498424313275,18.269055877165066,194.78918890862937,3754.269538012281,FEMALE
5,Adelie,Biscoe,39.06954362843254,18.30697254372744,192.91153782613492,3688.4532350136533,FEMALE
6,Adelie,Dream,36.19883810646666,17.81384673676132,198.1443704484332,3450.3175257300727,FEMALE
7,Adelie,Dream,37.60288157399977,18.2635189286587,193.79530022534578,3744.6583298177597,MALE
8,Adelie,Dream,40.992886617520675,18.295639449454033,194.20015355950528,3775.398293968218,MALE
9,Adelie,Dream,39.45905987139166,18.02925853771207,189.87569533129835,3594.92210031527,FEMALE
10,Gentoo,Dream,40.145237399118294,18.043543473070073,217.63122434609102,3804.042777324408,MALE
11,Gentoo,Biscoe,40.918759791466364,18.495271480338772,193.28221472117627,3872.611514822218,FEMALE
12,Adelie,Torgersen,40.72217949093386,17.73506879204838,193.45007575465678,3758.7885388744185,FEMALE
13,Chinstrap,Biscoe,47.68575745295315,14.378253615120236,217.4410990357314,4708.728221940574,MALE
14,Adelie,Dream,39.133766157699704,17.764787256699545,218.08275624997557,4886.251508636439,FEMALE
15,Gentoo,Biscoe,39.61510795870287,14.365732919293363,215.2402830755758,4844.661708447358,MALE
16,Adelie,Biscoe,47.648626967553625,17.445376663592423,191.66393246774084,4904.670316137467,FEMALE
17,Gentoo,Biscoe,38.32682163081937,14.180887609400614,211.37040299187623,3642.165732981698,MALE
18,Adelie,Dream,40.08837246223255,18.133053783740323,194.13218299335935,4984.812479352482,FEMALE
19,Adelie,Dream,49.50912131189065,18.630544124329113,195.46070765520912,4968.999225241275,FEMALE
20,Gentoo,Torgersen,49.295844025468206,18.674172343069912,191.91435494781612,5175.487690215431,FEMALE
21,Adelie,Dream,41.51689639678551,18.365777375309374,190.7878188370233,3496.791170433167,FEMALE
22,Chinstrap,Biscoe,49.48699508867126,18.394990624275298,191.10617990369755,5383.587422146624,MALE
23,Gentoo,Biscoe,47.5277473716264,14.910117107119074,215.7674207613191,5055.282619505376,MALE
24,Gentoo,Biscoe,47.756047579556466,14.836710772226171,217.846129819892,5003.869033953197,MALE
25,Adelie,Dream,48.88799196418719,18.094754397836603,192.82505362895986,3722.6544459198153,MALE
26,Gentoo,Biscoe,39.74595658667921,15.362664364598821,218.2328757930595,3870.7914249250744,MALE
27,Adelie,Biscoe,40.57986691726087,17.866942541259792,218.4592148991218,3759.040524760152,MALE
28,Chinstrap,Dream,47.919725486599965,18.055037088710417,192.67414614409378,4692.398086417497,MALE
29,Adelie,Dream,46.62886048028628,18.220605524433466,191.33926856421542,3747.127913742201,MALE
30,Gentoo,Biscoe,39.338742549003264,14.947964420497273,215.15967981794094,3731.762259827888,MALE
31,Adelie,Biscoe,49.10964505247116,18.52152747097771,196.82725056795695,5070.445277293572,MALE
32,Chinstrap,Dream,49.902665811422125,18.710339485622615,223.14610867643685,3820.587306378324,MALE
33,Adelie,Biscoe,49.41102075903379,18.124418852035397,192.00477078139784,4852.393568820251,FEMALE
34,Adelie,Torgersen,39.85373783696811,18.45535219551107,190.35530617393243,3846.5456112227234,MALE
35,Adelie,Biscoe,38.804677318858694,14.465172101275241,190.24166172486028,3630.1222134525224,MALE
36,Adelie,Torgersen,38.71099019621485,17.932156675209725,188.55792288704694,3088.0744719648187,MALE
37,Adelie,Biscoe,39.89388162420907,14.718453582976933,194.2898371067147,4903.117001035227,FEMALE
38,Adelie,Biscoe,40.341541070244794,18.18481375452475,219.0586642089543,3675.7817670064983,MALE
39,Chinstrap,Torgersen,49.25026211110964,17.998913892036715,218.42800638525628,3871.0054793721347,FEMALE
40,Chinstrap,Dream,39.68726280208401,17.015769876369355,186.38712947623847,2916.82561990116,FEMALE
41,Adelie,Biscoe,47.572567369555124,18.20745252269983,188.8572773926698,3643.9106942607964,MALE
42,Adelie,Dream,47.752140558325735,17.899941396654032,214.00421364894882,3633.012988357762,FEMALE
43,Adelie,Biscoe,39.77560142433222,15.572881659785734,192.19403773289463,3823.0535365237884,MALE
44,Adelie,Biscoe,47.95947077981255,14.319365283421424,213.24098951148247,3600.3677403862175,FEMALE
45,Chinstrap,Dream,49.74008140878899,15.357924553808838,195.98924856238085,5028.419303837072,FEMALE
46,Gentoo,Biscoe,40.756701126932896,18.65983877704082,193.35181136526435,5327.488101884548,MALE
47,Chinstrap,Dream,49.76451464339997,18.386709748096838,194.93950922186005,4845.1685760790415,MALE
48,Adelie,Biscoe,40.528198007181146,18.993443904896356,194.88984287350675,3819.044806187243,MALE
49,Adelie,Biscoe,50.00594287963816,18.971470283947816,194.38870066950065,3890.2002399837693,FEMALE
50,Adelie,Dream,38.19683623119759,17.95099052396698,215.041085170743,5036.534483906913,MALE
51,Adelie,Torgersen,40.37355740252171,18.511626717139226,198.21322603345777,3754.697579433924,FEMALE
52,Adelie,Dream,40.48470120642504,18.27681261672299,197.03325194877522,3490.594482319923,FEMALE
53,Adelie,Dream,39.06375171028651,17.578578226899598,192.42473147228986,3606.140233008976,FEMALE
