,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
0,Adelie,Dream,47.832961525667564,18.074872698810577,216.19494786096783,4827.291680778806,FEMALE
1,Gentoo,Dream,41.012944273498064,18.952065408279385,197.41773018901674,3957.5161518227987,MALE
2,Adelie,Dream,39.982520926827306,18.395406816491395,194.07473782882317,3764.2608525664755,FEMALE
3,Adelie,Biscoe,49.4717793424219,18.64161318051828,196.93419445038967,5057.393202529066,MALE
4,Adelie,Biscoe,38.99886773710139,16.729429052127696,192.4665782069958,3456.8509893770843,FEMALE
5,Adelie,Biscoe,49.392829462372575,18.220042811909142,196.30649607113446,3823.166264489075,FEMALE
6,Adelie,Dream,48.92411630286244,18.4204527473936,194.87693561901784,5090.3121226433595,MALE
7,Adelie,Dream,40.28613565147347,18.220949194130945,194.79003313365996,3628.1886704552876,FEMALE
8,Adelie,Biscoe,40.47397846533811,18.617248524120118,196.57079718852063,3724.9386713245854,FEMALE
9,Adelie,Dream,40.29535662581111,18.776006197864955,218.75975042485925,4000.369371677918,MALE
10,Adelie,Dream,40.359549499841485,18.6254235284892,220.99354897506723,3818.220028025934,MALE
11,Adelie,Dream,40.705577584788756,15.990687618035071,196.45216640209705,3902.4600321807047,MALE
12,Adelie,Biscoe,39.374158620405474,18.285821846814294,193.99705096023203,3752.110848016876,FEMALE
13,Adelie,Biscoe,48.06157888736505,17.917696990517943,213.90085299915572,3635.304471931609,FEMALE
14,Adelie,Dream,37.68406526975941,17.959866312775397,195.1334234055139,3577.677005497983,FEMALE
15,Gentoo,Dream,48.580579765930636,18.73001106201875,218.93456063868894,3796.773028665815,MALE
16,Adelie,Biscoe,37.14064552552887,18.22523858300205,188.81889612589774,3702.1447013918237,MALE
17,Gentoo,Biscoe,48.634362277902014,18.34348217878251,221.27287675333534,5104.852795334309,MALE
18,Adelie,Biscoe,48.86042933967503,18.56298918302695,193.3268236533192,3643.843274347869,MALE
19,Adelie,Torgersen,38.295287974265,18.012056945109734,191.03864141029703,3657.6183953698987,MALE
20,Chinstrap,Biscoe,48.5014030287464,15.024149686463163,194.52725297695847,4804.285212663924,MALE
21,Adelie,Biscoe,40.752085258996445,15.21566710327199,219.80622875185003,3820.1647505013493,MALE
22,Gentoo,Biscoe,39.08597455750263,15.112961470222464,196.23361928462168,3743.5986194056813,MALE
23,Chinstrap,Dream,47.276655465060855,13.958177521931876,214.34887882527443,3503.7348004691903,FEMALE
24,Adelie,Biscoe,50.27791904900689,19.05919867012444,196.61229461815395,3850.6748228151523,MALE
25,Adelie,Dream,38.93437772037579,17.84210486359393,193.31126540833247,3709.979443561825,FEMALE
26,Adelie,Torgersen,39.90617640396893,18.234516992505196,196.43130682398746,3743.0746219224748,FEMALE
27,Chinstrap,Dream,50.39381070936805,15.169651238896208,196.68514100870132,3861.3678576215716,FEMALE
28,Adelie,Biscoe,39.670083415138315,18.277152757625238,193.23681312927602,3619.8983114161765,FEMALE
29,Gentoo,Dream,47.92240305427589,18.021756432095305,217.27583254211078,5047.507207164702,MALE
30,Adelie,Dream,39.40285821534466,18.04991577726846,195.2572312358727,5091.55027080452,FEMALE
31,Gentoo,Torgersen,39.938426035424015,15.451004640800424,194.3785986528319,5119.370714432092,MALE
32,Chinstrap,Dream,48.08999935318467,18.520038911157304,193.7192790882556,3784.9899046874793,MALE
33,Adelie,Biscoe,40.6806194543627,18.638332014115065,193.77289440492936,3625.6794356991636,MALE
34,Adelie,Biscoe,39.10814164881567,18.596876879256754,192.58799013396026,4701.736717614454,MALE
35,Adelie,Biscoe,39.18637471926011,18.14844664117893,194.01572056034863,3542.5449547052344,MALE
36,Adelie,Dream,39.697486740484216,18.20965462423112,217.5869731544211,5008.600323254316,FEMALE
37,Adelie,Biscoe,46.92150057613094,17.819132442360857,188.7100052707244,3545.5849488792046,FEMALE
38,Adelie,Biscoe,48.139622208174,17.716349080128072,211.75131001268892,3549.460849488252,FEMALE
39,Adelie,Biscoe,40.24275930976507,18.610986901117442,190.77147465589528,3773.4647265788954,MALE
40,Adelie,Biscoe,40.28227149052949,18.17359233522967,194.45296635524707,3745.1805680211846,MALE
41,Gentoo,Dream,47.79332619448457,18.12830727528535,217.51957076819218,4819.018275913943,MALE
42,Adelie,Biscoe,48.20628488020085,18.4707558237803,193.87933920997284,4939.120143123713,FEMALE
43,Adelie,Dream,38.730030848870996,14.31995073730933,190.63103142926354,3594.3852569773344,MALE
44,Adelie,Torgersen,39.54348776804293,15.061273008314828,219.09297620822844,3878.4379541734206,FEMALE
45,Chinstrap,Dream,48.694076573378986,14.681148406092705,216.05061207745982,3654.2207564226806,FEMALE
46,Chinstrap,Dream,47.49240097756089,14.180034124215467,192.11331545781334,4759.038474859644,FEMALE
47,Adelie,Biscoe,48.72320373454534,18.693465056705374,190.4235397483609,3462.3693590121325,MALE
48,Gentoo,Biscoe,47.33012394885254,17.94495139757044,192.9989953665833,3703.409855079871,FEMALE
49,Adelie,Dream,38.30736298235557,17.415765546513665,191.7374534994776,3447.488225155132,MALE
50,Adelie,Dream,40.39315403091337,19.948047617968317,196.5179270012207,4879.772194362741,MALE
51,Gentoo,Torgersen,40.686479118680005,18.794100085814442,197.06574591847806,5069.152677075389,MALE
52,Adelie,Biscoe,39.4464595159038,18.667949999899488,193.93721627270145,3898.4850271540854,MALE
53,Adelie,Dream,38.810118754837596,18.57649008212668,194.9373992497015,3780.7530442151547,MALE
54,Adelie,Dream,40.25001217496694,18.019031982560357,192.97455300736146,3660.8558067489594,MALE
55,Adelie,Biscoe,45.951610681374945,17.765293054987595,192.3181901668611,4551.016770285566,FEMALE
56,Adelie,Dream,48.728532778907145,18.184295261047197,194.5893355501961,3719.0313858202408,MALE
57,Adelie,Biscoe,48.82680481374625,18.358824949297254,197.41255682092756,4997.686678019712,MALE
58,Adelie,Biscoe,38.73990238090177,18.230669921512842,216.5143382854869,3753.3290685708776,MALE
59,Adelie,Biscoe,40.52776835038551,18.788185014573344,193.96336560113923,3727.11674464753,MALE
60,Adelie,Dream,50.40439791308079,15.51492970091176,194.76936770597158,3947.6607602304794,MALE
61,Adelie,Biscoe,39.17508813926616,18.27413425918659,221.20208187158278,3743.644913092134,FEMALE
62,Adelie,Torgersen,37.3896871308239,18.55620281252743,191.4070358730822,3837.399360684054,FEMALE
63,Chinstrap,Dream,47.00223091700132,14.604183083715995,193.2428771031033,3687.246810752694,MALE
64,Gentoo,Dream,47.3069503959426,17.872025829618565,217.71124610915257,3717.1597678595112,FEMALE
65,Adelie,Torgersen,38.65452141598924,17.697015085286317,190.90858675802482,3534.848752349745,FEMALE
66,Gentoo,Dream,40.167221200453135,14.89145829475008,195.79842612181508,3763.352923128406,MALE
67,Adelie,Biscoe,40.28646758218165,18.72279205996597,190.74453589697836,3707.521064100281,MALE
68,Adelie,Biscoe,46.62229785359266,17.83078059473288,189.29838275146773,4667.437354080833,MALE
69,Adelie,Biscoe,40.92531848566413,18.8002686727522,193.79774149978968,3810.4047790679024,MALE
70,Gentoo,Dream,47.2846979085923,14.09811388644577,212.22567860434856,4718.980572775176,MALE
