,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
0,Adelie,Biscoe,49.029167320541326,18.62990626613052,194.88733802040164,4843.055847927037,MALE
1,Gentoo,Dream,40.064327823946634,18.74529985231921,197.47218888037509,3845.9545459284454,MALE
2,Adelie,Biscoe,40.89174389089954,18.421992470459212,223.1275899511823,3910.631590420441,MALE
3,Gentoo,Biscoe,48.368369277731254,15.658428846944762,192.30889036883408,4828.51155029307,FEMALE
4,Adelie,Dream,39.590429391692986,17.85331170191784,192.77336571919835,3451.4784719957656,FEMALE
5,Adelie,Biscoe,39.62256723486344,18.248178879417058,194.78822145892195,4882.227305027662,MALE
6,Chinstrap,Dream,38.927917288870425,14.578548853744357,216.78064634754097,3695.688860499446,FEMALE
7,Adelie,Biscoe,39.904655860031134,18.375787958520206,191.9027211261811,3849.1516910662267,FEMALE
8,Chinstrap,Dream,47.14418524648654,18.02453807246693,195.5451297087714,3766.581334129755,FEMALE
9,Gentoo,Biscoe,48.57635424786506,15.545243049342963,220.66290286500632,5580.512518853426,MALE
10,Chinstrap,Dream,49.4379593140738,18.110953984499908,192.8114442679383,3760.87266897591,MALE
11,Chinstrap,Dream,50.51973948863884,18.70747530475501,197.50411211075317,3886.865281811344,MALE
12,Gentoo,Biscoe,39.10513886259452,17.973148143377937,216.0037694548373,3589.7166690463378,MALE
13,Chinstrap,Dream,49.24410192336434,19.001893977302615,221.13116356273378,3788.839831813055,FEMALE
14,Adelie,Dream,40.26542678132634,18.452322119798424,194.7255515244484,3772.8274342470922,FEMALE
15,Adelie,Dream,49.289860948068366,18.507376620000276,194.43741128615628,3570.278249834197,FEMALE
16,Adelie,Dream,39.072743452380294,17.672291116045912,192.96979645982125,3491.885553484994,FEMALE
17,Adelie,Torgersen,39.213946130104254,18.074376481809235,190.31818340462542,3630.327032359939,FEMALE
18,Chinstrap,Dream,48.12706966768689,18.28238746567457,219.77575436535164,3790.1092048918385,FEMALE
19,Adelie,Dream,39.038790488513285,18.198704624887135,192.04671106700303,3479.4866668014593,FEMALE
20,Gentoo,Dream,39.909566718695665,18.509800656728615,195.21879553264407,4972.62717797584,FEMALE
21,Gentoo,Biscoe,48.93880264411638,14.920913153095295,219.10433026394662,3798.4754001131446,FEMALE
